Tree,Station,Timestamp,MC2_Port2_Wm2SolarRadiation,MC2_Port5_degreeCAirTemperature,MC2_Port5_RHRelativeHumidity,MC2_Port5_kPaAtmosphericPressure,MC2_Port5_kPaVPD,MC2_Port6_minLeafWetness,MC2_Port6_minLeafWetnesshigh,MC2_Port6_WetnessLevel,MC3_Port2_degreesWindDirection,MC3_Port2_msWindSpeed,MC3_Port2_msGustSpeed,MC3_Port2_degreeCAnemometerTemp,MC3_Port2_degreesXaxisLevel,MC3_Port2_degreesYaxisLevel
ET3,S4,2022-08-03T11:00:00Z,43,18.5,1,87.88,0,NA,NA,NA,88,1.64,4.5,18.6,1.1,0.7
ET3,S4,2022-08-03T11:15:00Z,49.6,18.5,1,87.88,0,NA,NA,NA,79,2.26,7.53,18.6,1,0.6
ET3,S4,2022-08-03T11:30:00Z,35.2,18.4,1,87.88,0,NA,NA,NA,82,1.72,4.4,18.4,1,0.6
ET3,S4,2022-08-03T11:45:00Z,88.8,17.7,1,87.9,0,NA,NA,NA,69,1.7,6.32,17.8,0.9,0.6
ET3,S4,2022-08-03T12:00:00Z,134.6,17.8,0.995,87.9,0.01,NA,NA,NA,94,1.92,3.09,18,0.8,0.1
ET3,S4,2022-08-03T12:15:00Z,82,17.9,0.975,87.87,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T12:30:00Z,66.1,17.8,0.973,87.87,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T12:45:00Z,66.7,17.7,0.962,87.85,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T13:00:00Z,81.7,17.7,0.97,87.84,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T13:15:00Z,68.3,17.4,0.991,87.83,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T13:30:00Z,57.5,17.4,0.998,87.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T13:45:00Z,28.9,17.2,1,87.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T14:00:00Z,34.1,17.4,0.993,87.82,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T14:15:00Z,32.8,17.6,0.974,87.81,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T14:30:00Z,18.3,17.6,0.968,87.82,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T14:45:00Z,7,17.5,0.975,87.82,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T15:00:00Z,18.7,17.2,0.994,87.81,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T15:15:00Z,35.2,17.1,0.99,87.78,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T15:30:00Z,30.4,17.3,0.95,87.75,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T15:45:00Z,22.7,17.4,0.94,87.75,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T16:00:00Z,18.5,17.6,0.942,87.73,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T16:15:00Z,16.7,17.6,0.943,87.73,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T16:30:00Z,11.2,17.8,0.942,87.75,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T16:45:00Z,10.6,17.8,0.944,87.76,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T17:00:00Z,8.8,18,0.938,87.76,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T17:15:00Z,0.7,18,0.936,87.77,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T17:30:00Z,0,18.1,0.932,87.78,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T17:45:00Z,0,18.3,0.916,87.8,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T18:00:00Z,0,18.4,0.91,87.82,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T18:15:00Z,0,18.4,0.914,87.83,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T18:30:00Z,0,18.2,0.932,87.84,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T18:45:00Z,0,18,0.944,87.84,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T19:00:00Z,0,18.2,0.937,87.84,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET3,S4,2022-08-03T19:15:00Z,0,18.6,0.906,87.84,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
