Tree,Station,Timestamp,MC3_Port1_Wm2SolarRadiation,MC3_Port3_degreeCAirTemperature,MC3_Port3_RHRelativeHumidity,MC3_Port3_kPaAtmosphericPressure,MC3_Port3_kPaVPD,MC3_Port4_minLeafWetness,MC3_Port4_minLeafWetnesshigh,MC3_Port4_WetnessLevel
ET2,S3,2022-06-02T11:30:00Z,139.9,20.5,0.84,88.16,0.39,0,0,443
ET2,S3,2022-06-02T11:45:00Z,167,21,0.842,88.15,0.39,0,0,443
ET2,S3,2022-06-02T12:00:00Z,155.1,20.9,0.838,88.14,0.4,0,0,444
ET2,S3,2022-06-02T12:15:00Z,134.6,20.5,0.847,88.13,0.37,0,0,443
ET2,S3,2022-06-02T12:30:00Z,129.3,20.5,0.843,88.12,0.38,0,0,443
ET2,S3,2022-06-02T12:45:00Z,133.5,20.5,0.835,88.1,0.4,0,0,443
ET2,S3,2022-06-02T13:00:00Z,128,20.3,0.836,88.1,0.39,0,0,443
ET2,S3,2022-06-02T13:15:00Z,120.5,20,0.849,88.08,0.35,0,0,443
ET2,S3,2022-06-02T13:30:00Z,116.3,20,0.847,88.07,0.36,0,0,443
ET2,S3,2022-06-02T13:45:00Z,137.9,20,0.86,88.07,0.33,3,0,453
ET2,S3,2022-06-02T14:00:00Z,163.7,20.3,0.861,88.05,0.33,15,14,482
ET2,S3,2022-06-02T14:15:00Z,163,20.4,0.845,88.04,0.37,15,15,467
ET2,S3,2022-06-02T14:30:00Z,167.7,20.7,0.869,88.02,0.32,15,14,460
ET2,S3,2022-06-02T14:45:00Z,108.6,20.8,0.848,88,0.37,12,0,448
ET2,S3,2022-06-02T15:00:00Z,100.5,20.3,0.85,88.02,0.36,0,0,444
ET2,S3,2022-06-02T15:15:00Z,113.2,20.4,0.854,88,0.35,0,0,443
ET2,S3,2022-06-02T15:30:00Z,98.3,20.3,0.865,88,0.32,0,0,443
ET2,S3,2022-06-02T15:45:00Z,51.5,20.1,0.87,88.01,0.3,0,0,444
ET2,S3,2022-06-02T16:00:00Z,25.8,19.6,0.89,88.01,0.25,9,9,772
ET2,S3,2022-06-02T16:15:00Z,20.7,18.8,0.927,88.03,0.16,15,15,772
ET2,S3,2022-06-02T16:30:00Z,20.1,18.7,0.931,88.02,0.15,15,15,732
ET2,S3,2022-06-02T16:45:00Z,13.5,18.5,0.932,88.02,0.15,15,15,846
ET2,S3,2022-06-02T17:00:00Z,11.2,18.4,0.941,88.01,0.13,15,15,825
ET2,S3,2022-06-02T17:15:00Z,11.2,18.4,0.934,88.02,0.14,15,15,799
ET2,S3,2022-06-02T17:30:00Z,8.8,18.6,0.916,88.01,0.18,15,15,759
ET2,S3,2022-06-02T17:45:00Z,2.2,18.5,0.915,88.02,0.18,15,15,750
ET2,S3,2022-06-02T18:00:00Z,0,18.4,0.928,88.03,0.15,15,15,747
ET2,S3,2022-06-02T18:15:00Z,0,18.4,0.923,88.05,0.16,15,15,735
