Tree,Station,Timestamp,MC1_Port1_Wm2SolarRadiation,MC1_Port3_degreeCAirTemperature,MC1_Port3_RHRelativeHumidity,MC1_Port3_kPaAtmosphericPressure,MC1_Port3_kPaVPD,MC1_Port4_minLeafWetness,MC1_Port4_minLeafWetnesshigh,MC1_Port4_WetnessLevel
ET6,S1,2022-06-01T12:45:00Z,63.4,21.1,0.862,87.49,0.34,6,0,459
ET6,S1,2022-06-01T13:00:00Z,155.5,20.9,0.888,87.47,0.28,15,15,529
ET6,S1,2022-06-01T13:15:00Z,167,21.1,0.88,87.44,0.3,15,15,515
ET6,S1,2022-06-01T13:30:00Z,155.8,21.2,0.866,87.43,0.34,15,15,484
ET6,S1,2022-06-01T13:45:00Z,72.3,21.2,0.869,87.42,0.33,15,15,464
ET6,S1,2022-06-01T14:00:00Z,60.6,20.8,0.87,87.42,0.32,15,6,495
ET6,S1,2022-06-01T14:15:00Z,61.7,20.3,0.902,87.4,0.23,15,15,638
ET6,S1,2022-06-01T14:30:00Z,40.1,20.1,0.922,87.41,0.18,15,15,611
ET6,S1,2022-06-01T14:45:00Z,35,19.8,0.925,87.4,0.17,15,15,631
ET6,S1,2022-06-01T15:00:00Z,39,19.7,0.905,87.38,0.22,15,15,720
ET6,S1,2022-06-01T15:15:00Z,15.4,19.2,0.916,87.4,0.19,15,15,756
ET6,S1,2022-06-01T15:30:00Z,9.5,18.8,0.928,87.41,0.16,15,15,852
ET6,S1,2022-06-01T15:45:00Z,7.9,18.7,0.943,87.4,0.12,15,15,872
ET6,S1,2022-06-01T16:00:00Z,6.6,18.8,0.941,87.4,0.13,15,15,758
ET6,S1,2022-06-01T16:15:00Z,6.4,18.7,0.94,87.4,0.13,15,15,742
ET6,S1,2022-06-01T16:30:00Z,6,18.6,0.932,87.41,0.15,15,15,708
ET6,S1,2022-06-01T16:45:00Z,5.7,18.3,0.918,87.42,0.17,15,15,699
ET6,S1,2022-06-01T17:00:00Z,4.8,18.2,0.933,87.45,0.14,15,15,661
ET6,S1,2022-06-01T17:15:00Z,2.6,18.2,0.936,87.47,0.13,15,15,695
ET6,S1,2022-06-01T17:30:00Z,0,18.2,0.921,87.47,0.17,15,15,716
ET6,S1,2022-06-01T17:45:00Z,0,18,0.915,87.47,0.18,15,15,695
ET6,S1,2022-06-01T18:00:00Z,0,18.3,0.886,87.47,0.24,15,15,672
ET6,S1,2022-06-01T18:15:00Z,0,18.3,0.877,87.48,0.26,15,15,644
ET6,S1,2022-06-01T18:30:00Z,0,18.3,0.873,87.5,0.27,15,15,652
ET6,S1,2022-06-01T18:45:00Z,0,18.3,0.869,87.5,0.28,15,15,657
ET6,S1,2022-06-01T19:00:00Z,0,18.8,0.844,87.51,0.34,15,15,677
ET6,S1,2022-06-01T19:15:00Z,0,18.3,0.886,87.53,0.24,15,15,599
ET6,S1,2022-06-01T19:30:00Z,0,18.4,0.897,87.55,0.22,15,15,606
ET6,S1,2022-06-01T19:45:00Z,0,18.8,0.87,87.57,0.28,15,15,605
ET6,S1,2022-06-01T20:00:00Z,0,18.8,0.87,87.58,0.28,15,15,587
ET6,S1,2022-06-01T20:15:00Z,0,18.7,0.873,87.6,0.27,15,15,664
ET6,S1,2022-06-01T20:30:00Z,0,18.5,0.878,87.62,0.26,15,15,567
ET6,S1,2022-06-01T20:45:00Z,0,18.5,0.869,87.62,0.28,15,15,598
ET6,S1,2022-06-01T21:00:00Z,0,18.6,0.87,87.63,0.28,15,15,611
ET6,S1,2022-06-01T21:15:00Z,0,18.8,0.88,87.64,0.26,15,15,642
ET6,S1,2022-06-01T21:30:00Z,0,18.4,0.906,87.66,0.2,15,15,701
ET6,S1,2022-06-01T21:45:00Z,0,18.3,0.916,87.66,0.18,15,15,649
ET6,S1,2022-06-01T22:00:00Z,0,18.2,0.929,87.66,0.15,15,15,747
ET6,S1,2022-06-01T22:15:00Z,0,18.4,0.919,87.65,0.17,15,15,727
ET6,S1,2022-06-01T22:30:00Z,0,18.4,0.918,87.65,0.17,15,15,648
ET6,S1,2022-06-01T22:45:00Z,0,18.5,0.909,87.64,0.19,15,15,660
ET6,S1,2022-06-01T23:00:00Z,0,18.3,0.917,87.63,0.17,15,15,605
ET6,S1,2022-06-01T23:15:00Z,0,18.3,0.915,87.61,0.18,15,15,622
ET6,S1,2022-06-01T23:30:00Z,0,18.1,0.931,87.59,0.14,15,15,592
ET6,S1,2022-06-01T23:45:00Z,0,18.1,0.922,87.58,0.16,15,15,585
ET6,S1,2022-06-02T00:00:00Z,0,17.9,0.926,87.56,0.15,15,15,577
ET6,S1,2022-06-02T00:15:00Z,0,17.8,0.936,87.53,0.13,15,15,572
ET6,S1,2022-06-02T00:30:00Z,0,17.8,0.897,87.51,0.21,15,15,561
ET6,S1,2022-06-02T00:45:00Z,0,17.9,0.887,87.49,0.23,15,15,553
ET6,S1,2022-06-02T01:00:00Z,0,18,0.883,87.47,0.24,15,15,546
ET6,S1,2022-06-02T01:15:00Z,0,18.2,0.882,87.46,0.25,15,15,542
ET6,S1,2022-06-02T01:30:00Z,0,18.4,0.871,87.45,0.27,15,15,539
ET6,S1,2022-06-02T01:45:00Z,0,18.4,0.866,87.44,0.28,15,15,532
ET6,S1,2022-06-02T02:00:00Z,0,18.3,0.871,87.44,0.27,15,15,536
ET6,S1,2022-06-02T02:15:00Z,0,18.2,0.895,87.43,0.22,15,15,529
ET6,S1,2022-06-02T02:30:00Z,0,18.3,0.9,87.42,0.21,15,15,517
ET6,S1,2022-06-02T02:45:00Z,0,18,0.924,87.43,0.16,15,15,514
ET6,S1,2022-06-02T03:00:00Z,0,18,0.925,87.43,0.15,15,15,510
ET6,S1,2022-06-02T03:15:00Z,0,18.3,0.908,87.43,0.19,15,15,502
ET6,S1,2022-06-02T03:30:00Z,0,18,0.934,87.42,0.14,15,15,498
ET6,S1,2022-06-02T03:45:00Z,0,18,0.922,87.43,0.16,15,15,492
ET6,S1,2022-06-02T04:00:00Z,0,18.1,0.907,87.44,0.19,15,15,487
ET6,S1,2022-06-02T04:15:00Z,0,17.9,0.916,87.45,0.17,15,15,477
ET6,S1,2022-06-02T04:30:00Z,0,17.7,0.926,87.46,0.15,15,15,475
ET6,S1,2022-06-02T04:45:00Z,0,17.6,0.934,87.47,0.13,15,15,474
ET6,S1,2022-06-02T05:00:00Z,0,17.3,0.949,87.49,0.1,15,15,473
ET6,S1,2022-06-02T05:15:00Z,0,17.4,0.937,87.51,0.13,15,15,471
ET6,S1,2022-06-02T05:30:00Z,0.4,17.4,0.942,87.52,0.11,15,15,469
ET6,S1,2022-06-02T05:45:00Z,20.5,17.4,0.947,87.53,0.1,15,15,468
ET6,S1,2022-06-02T06:00:00Z,35.5,17.6,0.946,87.54,0.11,15,15,467
ET6,S1,2022-06-02T06:15:00Z,41.6,17.9,0.942,87.56,0.12,15,15,478
ET6,S1,2022-06-02T06:30:00Z,56.6,18,0.953,87.58,0.1,15,15,502
ET6,S1,2022-06-02T06:45:00Z,75.8,18.1,0.945,87.59,0.11,15,15,485
ET6,S1,2022-06-02T07:00:00Z,59.5,18.2,0.949,87.61,0.11,15,15,470
ET6,S1,2022-06-02T07:15:00Z,34.4,18.1,0.958,87.63,0.09,15,15,464
ET6,S1,2022-06-02T07:30:00Z,294.1,18.6,0.941,87.63,0.13,15,6,454
ET6,S1,2022-06-02T07:45:00Z,356.3,19.4,0.904,87.63,0.22,3,0,442
ET6,S1,2022-06-02T08:00:00Z,583.4,20.6,0.866,87.63,0.33,0,0,439
ET6,S1,2022-06-02T08:15:00Z,164.6,19.8,0.878,87.65,0.28,0,0,443
ET6,S1,2022-06-02T08:30:00Z,213,19.6,0.878,87.66,0.28,0,0,443
ET6,S1,2022-06-02T08:45:00Z,346.8,20.4,0.859,87.66,0.34,0,0,441
ET6,S1,2022-06-02T09:00:00Z,481.8,20.7,0.851,87.66,0.36,0,0,440
ET6,S1,2022-06-02T09:15:00Z,434.5,21.1,0.829,87.67,0.43,0,0,441
ET6,S1,2022-06-02T09:30:00Z,523.3,21.6,0.812,87.67,0.49,0,0,441
ET6,S1,2022-06-02T09:45:00Z,215.7,21.3,0.838,87.67,0.41,0,0,442
ET6,S1,2022-06-02T10:00:00Z,251.2,21.2,0.839,87.67,0.41,0,0,442
ET6,S1,2022-06-02T10:15:00Z,212.6,21.1,0.839,87.67,0.4,0,0,442
ET6,S1,2022-06-02T10:30:00Z,196.5,21.1,0.831,87.67,0.42,0,0,442
ET6,S1,2022-06-02T10:45:00Z,206.7,21.1,0.829,87.65,0.43,0,0,442
ET6,S1,2022-06-02T11:00:00Z,154.2,20.9,0.823,87.66,0.44,0,0,442
ET6,S1,2022-06-02T11:15:00Z,107.7,20.6,0.831,87.65,0.41,0,0,443
ET6,S1,2022-06-02T11:30:00Z,128.7,20.5,0.834,87.64,0.4,0,0,443
ET6,S1,2022-06-02T11:45:00Z,161.3,20.5,0.849,87.64,0.36,0,0,443
ET6,S1,2022-06-02T12:00:00Z,156.6,20.6,0.851,87.63,0.36,0,0,443
ET6,S1,2022-06-02T12:15:00Z,137.1,20.3,0.849,87.62,0.36,0,0,443
ET6,S1,2022-06-02T12:30:00Z,123.4,20.1,0.851,87.61,0.35,0,0,443
ET6,S1,2022-06-02T12:45:00Z,125.4,20.2,0.843,87.59,0.37,0,0,443
ET6,S1,2022-06-02T13:00:00Z,117.2,20.1,0.848,87.58,0.36,0,0,443
