Timestamp,minLeafWetness,minLeafWetnesshigh,WetnessLevel,Wm2SolarRadiation,mmPrecipitation,LightningActivity,kmLightningDistance,degreesWindDirection,msWindSpeed,msGustSpeed,degreeCAirTemperature,RHRelativeHumidity,kPaAtmosphericPressure,degreesXaxisLevel,degreesYaxisLevel,mmhMaxPrecipRate,degreeCRHSensorTemp,kPaVPD,BatteryPercent,mVBatteryVoltage,kPaReferencePressure,degreeCLoggerTemperature,PastureID
2022-07-19T14:15:00Z,0,0,445,337.4,0,0,0,44,3.13,6.48,19.1,0.976,85.91,0.8,0,0,20.6,0.05,63,7492,85.82,21.3,FBP2
2022-07-19T14:30:00Z,0,0,445,269.8,0,0,0,40,2.74,7.04,19.3,0.964,85.91,0.7,-0.1,0,20.8,0.08,63,7490,85.82,21.3,FBP2
2022-07-19T14:45:00Z,4,3,686,139.1,0,0,0,21,2.41,5.38,19.1,0.973,85.91,0.8,-0.1,0,20.4,0.06,63,7491,85.81,20.9,FBP2
2022-07-19T15:00:00Z,15,15,902,115,0.494,0,0,19,3.18,6.09,18.8,0.99,85.9,0.6,0.1,7.1,19.8,0.02,62,7489,85.81,20.2,FBP2
2022-07-19T15:15:00Z,15,15,810,85.4,0.391,1,14,19,3.38,6.66,18.8,0.988,85.88,0.7,-0.2,8.2,19.3,0.03,63,7490,85.79,19.7,FBP2
2022-07-19T15:30:00Z,15,15,787,81,0.34,1,14,34,3.73,8.43,18.8,0.992,85.87,0.8,0.1,6.1,19.2,0.02,62,7486,85.78,19.5,FBP2
2022-07-19T15:45:00Z,15,15,666,60.7,1.549,1,20,35,3.22,7.74,18.8,0.991,85.88,0.6,-0.1,12.2,19,0.02,62,7486,85.78,19.4,FBP2
2022-07-19T16:00:00Z,15,15,810,52,3.043,3,15,15,3.64,7.04,18.8,0.993,85.88,0.6,-0.2,30.6,19,0.01,62,7486,85.79,19.2,FBP2
2022-07-19T16:15:00Z,15,15,983,18.4,1.106,2,14,37,3.62,7.27,18.8,0.991,85.9,0.6,0,21.4,18.9,0.02,62,7485,85.81,19.1,FBP2
2022-07-19T16:30:00Z,15,15,678,19.6,0.443,0,0,38,4.14,8.26,18.8,0.991,85.89,0.3,-0.1,5.1,18.8,0.02,61,7480,85.8,19,FBP2
2022-07-19T16:45:00Z,15,15,882,29.3,0,0,0,17,4.62,9.35,18.7,0.999,85.89,0.9,-0.2,0,18.8,0,62,7481,85.8,19,FBP2
2022-07-19T17:00:00Z,15,15,890,23.1,0.034,0,0,32,4.19,8.04,18.7,0.996,85.88,0.6,-0.5,1,18.7,0.01,61,7480,85.8,18.9,FBP2
2022-07-19T17:15:00Z,15,15,801,17.1,0.102,1,20,27,5.06,9.69,18.6,0.998,85.91,0.7,0,2,18.7,0,62,7483,85.81,18.8,FBP2
2022-07-19T17:30:00Z,15,15,847,21.4,0.017,0,0,41,3.71,9.14,18.6,0.996,85.9,1.1,0.2,1,18.6,0.01,61,7478,85.82,18.8,FBP2
2022-07-19T17:45:00Z,15,15,838,3.3,0.681,1,14,33,3.11,8.76,18.6,0.996,85.92,0.6,-0.1,10.2,18.6,0.01,61,7478,85.83,18.8,FBP2
2022-07-19T18:00:00Z,15,15,699,0.9,2.209,10,7,24,5.24,12.79,18.6,0.996,85.92,0.4,-0.5,28.6,18.6,0.01,61,7477,85.83,18.8,FBP2
2022-07-19T18:15:00Z,15,15,804,0,2.702,3,7,35,4.34,9.16,18.1,0.997,85.95,0.6,-0.1,32.6,18.3,0.01,61,7476,85.86,18.5,FBP2
2022-07-19T18:30:00Z,15,15,777,0,0,0,0,46,4.12,8.04,18.3,0.994,85.98,0.8,-0.2,0,18.2,0.01,61,7476,85.89,18.4,FBP2
