Tree,Station,Timestamp,MC2_Port2_Wm2SolarRadiation,MC2_Port5_degreeCAirTemperature,MC2_Port5_RHRelativeHumidity,MC2_Port5_kPaAtmosphericPressure,MC2_Port5_kPaVPD,MC2_Port6_minLeafWetness,MC2_Port6_minLeafWetnesshigh,MC2_Port6_WetnessLevel
ET1,S2,2022-06-02T14:45:00Z,147.8,20.8,0.838,87.86,0.4,NA,NA,NA
ET1,S2,2022-06-02T15:00:00Z,138.6,20.4,0.848,87.87,0.36,NA,NA,NA
ET1,S2,2022-06-02T15:15:00Z,156.6,20.4,0.845,87.85,0.37,NA,NA,NA
ET1,S2,2022-06-02T15:30:00Z,141.7,20.3,0.865,87.85,0.32,NA,NA,NA
ET1,S2,2022-06-02T15:45:00Z,75.1,20.1,0.862,87.86,0.33,NA,NA,NA
ET1,S2,2022-06-02T16:00:00Z,40.3,19.7,0.88,87.86,0.27,NA,NA,NA
ET1,S2,2022-06-02T16:15:00Z,30,18.9,0.911,87.88,0.2,NA,NA,NA
ET1,S2,2022-06-02T16:30:00Z,30.2,18.9,0.914,87.87,0.19,NA,NA,NA
ET1,S2,2022-06-02T16:45:00Z,18.9,18.8,0.901,87.87,0.22,NA,NA,NA
ET1,S2,2022-06-02T17:00:00Z,13,18.9,0.902,87.87,0.21,NA,NA,NA
ET1,S2,2022-06-02T17:15:00Z,11.9,18.9,0.897,87.87,0.23,NA,NA,NA
ET1,S2,2022-06-02T17:30:00Z,9.3,19.1,0.869,87.86,0.29,NA,NA,NA
ET1,S2,2022-06-02T17:45:00Z,4.6,19,0.879,87.87,0.27,NA,NA,NA
ET1,S2,2022-06-02T18:00:00Z,0,18.7,0.908,87.88,0.2,NA,NA,NA
ET1,S2,2022-06-02T18:15:00Z,0,18.5,0.915,87.9,0.18,NA,NA,NA
ET1,S2,2022-06-02T18:30:00Z,0,18.4,0.927,87.93,0.15,NA,NA,NA
ET1,S2,2022-06-02T18:45:00Z,0,18.4,0.937,87.95,0.13,NA,NA,NA
ET1,S2,2022-06-02T19:00:00Z,0,18.2,0.95,87.98,0.1,NA,NA,NA
ET1,S2,2022-06-02T19:15:00Z,0,18.6,0.941,87.99,0.13,NA,NA,NA
ET1,S2,2022-06-02T19:30:00Z,0,18.4,0.948,88.02,0.11,NA,NA,NA
ET1,S2,2022-06-02T19:45:00Z,0,18.5,0.953,88.04,0.1,NA,NA,NA
ET1,S2,2022-06-02T20:00:00Z,0,18.7,0.947,88.05,0.11,NA,NA,NA
ET1,S2,2022-06-02T20:15:00Z,0,18.9,0.937,88.05,0.14,NA,NA,NA
ET1,S2,2022-06-02T20:30:00Z,0,19,0.922,88.06,0.17,NA,NA,NA
ET1,S2,2022-06-02T20:45:00Z,0,18.6,0.942,88.07,0.12,NA,NA,NA
ET1,S2,2022-06-02T21:00:00Z,0,18.7,0.934,88.08,0.14,NA,NA,NA
ET1,S2,2022-06-02T21:15:00Z,0,19,0.915,88.09,0.19,NA,NA,NA
ET1,S2,2022-06-02T21:30:00Z,0,18.9,0.926,88.09,0.16,NA,NA,NA
ET1,S2,2022-06-02T21:45:00Z,0,18.8,0.915,88.09,0.18,NA,NA,NA
ET1,S2,2022-06-02T22:00:00Z,0,18.8,0.904,88.08,0.21,NA,NA,NA
ET1,S2,2022-06-02T22:15:00Z,0,18.8,0.89,88.09,0.24,NA,NA,NA
ET1,S2,2022-06-02T22:30:00Z,0,18.8,0.893,88.1,0.23,NA,NA,NA
ET1,S2,2022-06-02T22:45:00Z,0,18.9,0.881,88.1,0.26,NA,NA,NA
ET1,S2,2022-06-02T23:00:00Z,0,18.8,0.891,88.11,0.24,NA,NA,NA
ET1,S2,2022-06-02T23:15:00Z,0,18.7,0.912,88.09,0.19,NA,NA,NA
ET1,S2,2022-06-02T23:30:00Z,0,18.8,0.919,88.06,0.18,NA,NA,NA
ET1,S2,2022-06-02T23:45:00Z,0,18.6,0.929,88.04,0.15,NA,NA,NA
ET1,S2,2022-06-03T00:00:00Z,0,18.5,0.938,88.01,0.13,NA,NA,NA
ET1,S2,2022-06-03T00:15:00Z,0,18.6,0.937,87.98,0.13,NA,NA,NA
ET1,S2,2022-06-03T00:30:00Z,0,18.5,0.937,87.95,0.14,NA,NA,NA
ET1,S2,2022-06-03T00:45:00Z,0,18.6,0.913,87.92,0.19,NA,NA,NA
ET1,S2,2022-06-03T01:00:00Z,0,19.4,0.838,87.92,0.37,NA,NA,NA
ET1,S2,2022-06-03T01:15:00Z,0,18.8,0.878,87.91,0.27,NA,NA,NA
ET1,S2,2022-06-03T01:30:00Z,0,18.5,0.901,87.92,0.21,NA,NA,NA
ET1,S2,2022-06-03T01:45:00Z,0,18.6,0.894,87.9,0.23,NA,NA,NA
ET1,S2,2022-06-03T02:00:00Z,0,19.1,0.873,87.89,0.28,NA,NA,NA
ET1,S2,2022-06-03T02:15:00Z,0,19.1,0.877,87.9,0.27,NA,NA,NA
ET1,S2,2022-06-03T02:30:00Z,0,19,0.879,87.88,0.26,NA,NA,NA
ET1,S2,2022-06-03T02:45:00Z,0,18.8,0.884,87.87,0.25,NA,NA,NA
ET1,S2,2022-06-03T03:00:00Z,0,18.6,0.891,87.87,0.23,NA,NA,NA
ET1,S2,2022-06-03T03:15:00Z,0,18.5,0.901,87.86,0.21,NA,NA,NA
ET1,S2,2022-06-03T03:30:00Z,0,18.3,0.927,87.88,0.15,NA,NA,NA
ET1,S2,2022-06-03T03:45:00Z,0,18.2,0.947,87.89,0.11,NA,NA,NA
ET1,S2,2022-06-03T04:00:00Z,0,18.2,0.95,87.87,0.11,NA,NA,NA
ET1,S2,2022-06-03T04:15:00Z,0,18.4,0.932,87.87,0.14,NA,NA,NA
ET1,S2,2022-06-03T04:30:00Z,0,18.2,0.956,87.88,0.09,NA,NA,NA
