Tree,Station,Timestamp,MC2_Port4_Wm2SolarRadiation,MC2_Port5_degreeCAirTemperature,MC2_Port5_RHRelativeHumidity,MC2_Port5_kPaAtmosphericPressure,MC2_Port5_kPaVPD,MC2_Port6_minLeafWetness,MC2_Port6_minLeafWetnesshigh,MC2_Port6_WetnessLevel,MC3_Port5_degreesWindDirection,MC3_Port5_msWindSpeed,MC3_Port5_msGustSpeed,MC3_Port5_degreeCAnemometerTemp,MC3_Port5_degreesXaxisLevel,MC3_Port5_degreesYaxisLevel
TV1,S4,2022-08-09T12:15:00Z,126.5,20.7,0.874,85.56,0.31,0,0,449,92,1.25,4.42,20.8,4.4,-4.1
TV1,S4,2022-08-09T12:30:00Z,286.2,20.7,0.868,85.55,0.32,0,0,447,81,1.03,4.73,20.8,4.6,-4.1
TV1,S4,2022-08-09T12:45:00Z,216.1,21,0.871,85.56,0.32,0,0,449,84,0.78,3.03,21.2,4.5,-4.1
TV1,S4,2022-08-09T13:00:00Z,165.3,21,0.865,85.57,0.34,0,0,449,91,1.12,4.3,21.3,4.5,-4.1
TV1,S4,2022-08-09T13:15:00Z,240.4,21.2,0.867,85.55,0.34,0,0,447,91,1,4.21,21.4,4.5,-4.1
TV1,S4,2022-08-09T13:30:00Z,195.4,21,0.873,85.54,0.31,0,0,448,83,0.67,2.48,21.4,4.5,-4.1
TV1,S4,2022-08-09T13:45:00Z,250.1,21,0.87,85.53,0.32,0,0,448,87,1.14,1.94,21.2,4.5,-4.1
TV1,S4,2022-08-09T14:00:00Z,111.7,20.8,0.894,85.51,0.26,0,0,449,87,0.85,2.54,20.8,4.5,-4
TV1,S4,2022-08-09T14:15:00Z,87.2,20.8,0.908,85.49,0.23,0,0,449,92,0.99,3.34,20.9,4.4,-4.1
TV1,S4,2022-08-09T14:30:00Z,266.1,20.8,0.907,85.49,0.23,0,0,447,95,1.1,2.58,21,4.5,-4.1
TV1,S4,2022-08-09T14:45:00Z,100.3,21.2,0.898,85.5,0.26,0,0,449,95,1.23,3.06,20.7,4.4,-4.1
TV1,S4,2022-08-09T15:00:00Z,87.5,20.2,0.935,85.5,0.15,0,0,449,88,0.96,2.79,20.3,4.4,-4.1
TV1,S4,2022-08-09T15:15:00Z,158.8,20.9,0.92,85.49,0.2,0,0,449,91,0.97,1.83,20.8,4.4,-4.1
TV1,S4,2022-08-09T15:30:00Z,88.1,20.7,0.923,85.48,0.19,0,0,449,91,1.11,3.5,20.6,4.5,-4.1
TV1,S4,2022-08-09T15:45:00Z,46.9,20.5,0.927,85.48,0.18,1,0,450,89,1.03,2.27,20.4,4.4,-4.1
TV1,S4,2022-08-09T16:00:00Z,42.3,19.8,0.965,85.51,0.08,15,1,460,95,1.28,3.55,19.8,4.5,-4.1
TV1,S4,2022-08-09T16:15:00Z,85.1,19.9,0.971,85.52,0.07,15,3,481,90,0.84,3.05,20.1,4.5,-4.1
TV1,S4,2022-08-09T16:30:00Z,41,19.8,0.97,85.52,0.07,15,15,485,93,1.41,3.23,19.7,4.4,-4.1
TV1,S4,2022-08-09T16:45:00Z,38.6,19.7,0.97,85.52,0.07,15,15,464,94,1.35,2.87,19.6,4.4,-4.1
TV1,S4,2022-08-09T17:00:00Z,44.1,19.6,0.981,85.5,0.04,15,3,455,92,1.25,3.65,19.4,4.4,-4.1
TV1,S4,2022-08-09T17:15:00Z,33.3,19.4,0.988,85.5,0.03,15,0,455,92,1.43,3.91,19.3,4.4,-4.1
TV1,S4,2022-08-09T17:30:00Z,25.8,19.3,0.986,85.49,0.03,15,0,451,96,1.9,4.29,19.3,4.3,-4
TV1,S4,2022-08-09T17:45:00Z,13.4,19.2,0.991,85.5,0.02,15,13,478,95,1.87,3.94,19.1,4.4,-4.1
TV1,S4,2022-08-09T18:00:00Z,11.9,19,1,85.53,0,15,15,471,92,1.7,4.68,18.9,4.4,-4.1
TV1,S4,2022-08-09T18:15:00Z,3.1,18.9,1,85.55,0,15,15,464,90,1.33,2.98,18.8,4.4,-4.1
TV1,S4,2022-08-09T18:30:00Z,0,18.9,0.999,85.58,0,15,13,459,89,1,3.53,18.9,4.4,-4.1
TV1,S4,2022-08-09T18:45:00Z,0,18.9,0.992,85.62,0.02,15,5,527,85,0.96,2.35,18.9,4.4,-4
TV1,S4,2022-08-09T19:00:00Z,0,18.8,0.988,85.64,0.03,15,15,713,85,0.93,2.24,18.7,4.4,-4.1
TV1,S4,2022-08-09T19:15:00Z,0,18.6,0.99,85.65,0.02,15,15,610,89,1.37,3.74,18.5,4.4,-4.1
TV1,S4,2022-08-09T19:30:00Z,0,18.4,0.994,85.68,0.01,15,15,559,91,1.47,4.93,18.4,4.4,-4.1
TV1,S4,2022-08-09T19:45:00Z,0,18.4,0.995,85.69,0.01,15,15,599,88,1.02,2.95,18.3,4.4,-4.2
TV1,S4,2022-08-09T20:00:00Z,0,18.2,0.997,85.71,0.01,15,15,553,87,1.06,3.09,18.2,4.4,-4.1
TV1,S4,2022-08-09T20:15:00Z,0,18.1,0.999,85.72,0,15,15,551,86,1.16,2.22,18.1,4.4,-4.1
TV1,S4,2022-08-09T20:30:00Z,0,18,0.999,85.71,0,15,15,524,88,1.39,3.13,18,4.4,-4.1
TV1,S4,2022-08-09T20:45:00Z,0,18,1,85.72,0,15,15,496,87,1.45,3.18,18,4.4,-4.2
TV1,S4,2022-08-09T21:00:00Z,0,18,0.996,85.76,0.01,15,15,477,88,1.54,3.73,18,4.4,-4.1
TV1,S4,2022-08-09T21:15:00Z,0,17.9,0.995,85.79,0.01,15,15,474,84,1.13,2.23,17.9,4.4,-4.1
TV1,S4,2022-08-09T21:30:00Z,0,17.9,0.994,85.8,0.01,15,15,471,83,0.85,3.16,17.9,4.4,-4.1
TV1,S4,2022-08-09T21:45:00Z,0,17.9,0.992,85.79,0.02,15,15,468,85,1.27,2.75,18,4.4,-4.1
TV1,S4,2022-08-09T22:00:00Z,0,18,0.99,85.77,0.02,15,15,469,95,2.05,7.62,18,4.4,-4.1
TV1,S4,2022-08-09T22:15:00Z,0,17.9,0.996,85.74,0.01,15,15,472,91,2.21,4.9,18,4.5,-4.1
TV1,S4,2022-08-09T22:30:00Z,0,18,0.997,85.71,0.01,15,15,473,91,2.1,4.31,18,4.5,-4.1
TV1,S4,2022-08-09T22:45:00Z,0,17.9,0.996,85.68,0.01,15,15,482,93,2.65,7.08,18,4.4,-4.1
TV1,S4,2022-08-09T23:00:00Z,0,17.8,0.999,85.66,0,15,15,508,89,2.34,5.65,17.8,4.4,-4.1
TV1,S4,2022-08-09T23:15:00Z,0,17.7,0.998,85.65,0,15,15,503,86,1.64,4.89,17.8,4.4,-4.1
TV1,S4,2022-08-09T23:30:00Z,0,17.6,0.988,85.64,0.02,15,15,497,80,1.68,3.66,17.7,4.4,-4.1
TV1,S4,2022-08-09T23:45:00Z,0,17.5,0.982,85.63,0.04,15,15,491,82,1.66,3.55,17.6,4.4,-4.1
TV1,S4,2022-08-10T00:00:00Z,0,17.5,0.98,85.6,0.04,15,15,484,89,2.23,4.83,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.4,0.983,85.58,0.03,15,15,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.4,0.983,85.58,0.03,1,1,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.5,0.978,85.55,0.04,15,15,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.5,0.978,85.55,0.04,1,1,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.4,0.983,85.58,0.03,15,15,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.4,0.983,85.58,0.03,1,1,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.5,0.978,85.55,0.04,15,15,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:15:00Z,0,17.5,0.978,85.55,0.04,1,1,476,88,2.21,4.54,17.5,4.4,-4.1
TV1,S4,2022-08-10T00:30:00Z,0,17.6,0.977,85.55,0.05,15,15,467,89,2.56,5.69,17.6,4.3,-4.1
TV1,S4,2022-08-10T00:45:00Z,0,17.7,0.977,85.53,0.05,15,15,462,96,3.1,9.12,17.7,4.4,-4
TV1,S4,2022-08-10T01:00:00Z,0,17.5,0.995,85.53,0.01,15,15,475,92,2.59,6.6,17.5,4.4,-4.1
TV1,S4,2022-08-10T01:15:00Z,0,17.6,1,85.52,0,15,15,472,89,2.52,6.22,17.6,4.4,-4
TV1,S4,2022-08-10T01:30:00Z,0,17.6,0.998,85.51,0,15,15,465,85,2.33,5.85,17.7,4.4,-4.2
TV1,S4,2022-08-10T01:45:00Z,0,17.6,0.999,85.5,0,15,15,462,87,1.68,3.6,17.6,4.4,-4.1
TV1,S4,2022-08-10T02:00:00Z,0,17.6,0.999,85.49,0,15,13,460,86,1.9,4.11,17.7,4.4,-4.1
TV1,S4,2022-08-10T02:15:00Z,0,17.6,1,85.49,0,15,0,455,84,1.97,3.62,17.7,4.3,-4.1
TV1,S4,2022-08-10T02:30:00Z,0,17.8,1,85.48,0,15,0,455,87,2.13,4,17.8,4.4,-4.1
TV1,S4,2022-08-10T02:45:00Z,0,17.8,0.987,85.49,0.03,15,0,452,90,3.04,7.72,17.9,4.4,-4.1
TV1,S4,2022-08-10T03:00:00Z,0,17.7,0.989,85.5,0.02,15,0,454,88,2.19,5.45,17.7,4.4,-4.1
TV1,S4,2022-08-10T03:15:00Z,0,17.7,0.994,85.5,0.01,15,0,453,90,3.03,5.95,17.7,4.3,-4.1
TV1,S4,2022-08-10T03:30:00Z,0,17.6,0.995,85.51,0.01,15,0,455,93,2.62,8.56,17.6,4.4,-4.1
TV1,S4,2022-08-10T03:45:00Z,0,17.7,0.981,85.5,0.04,15,0,452,95,2.69,5.44,17.8,4.4,-4.1
TV1,S4,2022-08-10T04:00:00Z,0,17.5,0.99,85.5,0.02,15,0,453,90,1.96,3.83,17.6,4.4,-4.1
TV1,S4,2022-08-10T04:15:00Z,0,17.6,0.992,85.52,0.02,15,0,452,87,1.98,4.11,17.7,4.4,-4.1
TV1,S4,2022-08-10T04:30:00Z,0,17.6,0.991,85.52,0.02,15,0,452,89,2.53,4.3,17.8,4.4,-4.1
TV1,S4,2022-08-10T04:45:00Z,0,17.7,0.995,85.55,0.01,15,0,453,90,1.77,5.15,17.7,4.4,-4.1
TV1,S4,2022-08-10T05:00:00Z,0,17.7,0.999,85.56,0,15,0,457,92,2.68,6.2,17.7,4.3,-4.1
TV1,S4,2022-08-10T05:15:00Z,0,17.7,0.999,85.57,0,15,14,463,92,2.68,4.89,17.8,4.4,-4.1
TV1,S4,2022-08-10T05:30:00Z,0,17.7,0.999,85.57,0,15,15,467,94,2.78,6.67,17.8,4.5,-4
TV1,S4,2022-08-10T05:45:00Z,0,17.7,0.996,85.57,0.01,15,14,460,91,2.58,5.17,17.8,4.4,-4.1
TV1,S4,2022-08-10T06:00:00Z,0,17.7,0.998,85.58,0,15,0,455,90,2.36,4.19,17.7,4.4,-4.1
TV1,S4,2022-08-10T06:15:00Z,0,17.8,0.991,85.6,0.02,15,0,452,92,2.64,4.96,17.9,4.4,-4.1
TV1,S4,2022-08-10T06:30:00Z,5.1,17.8,0.994,85.61,0.01,15,0,454,93,2.79,6.55,17.8,4.4,-4
TV1,S4,2022-08-10T06:45:00Z,9.7,17.9,0.989,85.61,0.02,15,0,453,93,3.1,7.86,18,4.4,-4.1
TV1,S4,2022-08-10T07:00:00Z,15.7,17.9,0.99,85.61,0.02,15,0,452,90,2.69,6.56,18,4.4,-4
TV1,S4,2022-08-10T07:15:00Z,24,17.9,0.992,85.62,0.02,15,0,452,93,3.3,7.44,18,4.5,-4.1
