Tree,Station,Timestamp,MC1_Port1_Wm2SolarRadiation,MC1_Port3_degreeCAirTemperature,MC1_Port3_RHRelativeHumidity,MC1_Port3_kPaAtmosphericPressure,MC1_Port3_kPaVPD,MC1_Port4_minLeafWetness,MC1_Port4_minLeafWetnesshigh,MC1_Port4_WetnessLevel
TV2,S1,2022-07-11T14:00:00Z,113.9,21.2,0.899,85.44,0.25,0,0,447
TV2,S1,2022-07-11T14:15:00Z,124.5,21.5,0.893,85.41,0.27,0,0,447
TV2,S1,2022-07-11T14:30:00Z,361.8,21.7,0.876,85.4,0.32,0,0,446
TV2,S1,2022-07-11T14:45:00Z,191.5,22,0.874,85.38,0.33,0,0,447
TV2,S1,2022-07-11T15:00:00Z,54.7,21.2,0.93,85.39,0.18,0,0,447
TV2,S1,2022-07-11T15:15:00Z,31.1,20.4,0.969,85.39,0.07,0,0,448
TV2,S1,2022-07-11T15:30:00Z,30.2,20,0.99,85.38,0.02,0,0,448
TV2,S1,2022-07-11T15:45:00Z,27.5,20.1,0.977,85.38,0.05,0,0,448
TV2,S1,2022-07-11T16:00:00Z,24.5,19.8,0.981,85.38,0.04,0,0,448
TV2,S1,2022-07-11T16:15:00Z,11.2,19.4,0.982,85.4,0.04,0,0,449
TV2,S1,2022-07-11T16:30:00Z,2.6,18.2,0.995,85.41,0.01,8,0,451
TV2,S1,2022-07-11T16:45:00Z,0,18,0.999,85.43,0,15,0,452
TV2,S1,2022-07-11T17:00:00Z,0,17.9,1,85.44,0,15,9,496
TV2,S1,2022-07-11T17:15:00Z,0,17.4,1,85.47,0,15,15,513
TV2,S1,2022-07-11T17:30:00Z,0,17.3,1,85.49,0,15,15,516
TV2,S1,2022-07-11T17:45:00Z,0,17.3,1.001,85.5,0,15,15,516
TV2,S1,2022-07-11T18:00:00Z,0,17.2,1,85.51,0,15,15,577
TV2,S1,2022-07-11T18:15:00Z,0,17.3,1,85.51,0,15,15,645
TV2,S1,2022-07-11T18:30:00Z,0,17.2,0.999,85.53,0,15,15,661
TV2,S1,2022-07-11T18:45:00Z,0,17.3,1,85.55,0,15,15,699
TV2,S1,2022-07-11T19:00:00Z,0,17.3,1.001,85.55,0,15,15,688
TV2,S1,2022-07-11T19:15:00Z,0,17.4,1.001,85.56,0,15,15,690
TV2,S1,2022-07-11T19:30:00Z,0,17.6,0.993,85.59,0.01,15,15,691
TV2,S1,2022-07-11T19:45:00Z,0,17.4,0.987,85.62,0.03,15,15,703
TV2,S1,2022-07-11T20:00:00Z,0,17,0.997,85.63,0.01,15,15,688
TV2,S1,2022-07-11T20:15:00Z,0,16.8,0.999,85.64,0,15,15,687
TV2,S1,2022-07-11T20:30:00Z,0,16.8,0.999,85.65,0,15,15,682
TV2,S1,2022-07-11T20:45:00Z,0,16.9,1,85.67,0,15,15,677
TV2,S1,2022-07-11T21:00:00Z,0,16.9,0.999,85.68,0,15,15,646
TV2,S1,2022-07-11T21:15:00Z,0,16.9,1,85.69,0,15,15,646
TV2,S1,2022-07-11T21:30:00Z,0,17.1,1,85.68,0,15,15,633
TV2,S1,2022-07-11T21:45:00Z,0,17.3,1,85.68,0,15,15,628
TV2,S1,2022-07-11T22:00:00Z,0,17.4,0.999,85.66,0,15,15,622
TV2,S1,2022-07-11T22:15:00Z,0,17.3,1.001,85.65,0,15,15,622
TV2,S1,2022-07-11T22:30:00Z,0,17.2,1,85.67,0,15,15,621
TV2,S1,2022-07-11T22:45:00Z,0,17.2,1,85.67,0,15,15,620
TV2,S1,2022-07-11T23:00:00Z,0,16.9,1.001,85.66,0,15,15,622
