Tree,Station,Timestamp,MC1_Port2_Wm2SolarRadiation,MC1_Port5_degreeCAirTemperature,MC1_Port5_RHRelativeHumidity,MC1_Port5_kPaAtmosphericPressure,MC1_Port5_kPaVPD,MC1_Port6_minLeafWetness,MC1_Port6_minLeafWetnesshigh,MC1_Port6_WetnessLevel,MC2_Port2_degreesWindDirection,MC2_Port2_msWindSpeed,MC2_Port2_msGustSpeed,MC2_Port2_degreeCAnemometerTemp,MC2_Port2_degreesXaxisLevel,MC2_Port2_degreesYaxisLevel
ET6,S4,2022-06-01T12:45:00Z,33.7,21,0.858,87.45,0.35,0,0,444,NA,NA,NA,NA,NA,NA
ET6,S4,2022-06-01T13:00:00Z,62.6,20.9,0.878,87.43,0.3,0,0,445,NA,NA,NA,NA,NA,NA
ET6,S4,2022-06-01T13:15:00Z,65.7,21,0.878,87.41,0.3,0,0,444,17,0.89,2.16,21.2,-1.6,6.7
ET6,S4,2022-06-01T13:30:00Z,69.8,21.2,0.866,87.39,0.34,0,0,443,34,0.87,2.96,21.2,-1.7,6.7
ET6,S4,2022-06-01T13:45:00Z,40.8,21.1,0.87,87.38,0.33,0,0,443,27,0.93,2.13,21.1,-1.6,6.8
ET6,S4,2022-06-01T14:00:00Z,31.5,20.7,0.871,87.38,0.31,3,2,479,34,0.79,1.97,20.8,-1.7,6.7
ET6,S4,2022-06-01T14:15:00Z,30,20.4,0.899,87.36,0.24,15,15,572,21,0.7,1.26,20.3,-1.6,6.7
ET6,S4,2022-06-01T14:30:00Z,20,20.1,0.924,87.37,0.18,15,15,545,29,0.57,1.21,20.1,-1.6,6.7
ET6,S4,2022-06-01T14:45:00Z,15,19.8,0.929,87.36,0.16,15,15,576,32,0.69,2.09,19.8,-1.6,6.7
ET6,S4,2022-06-01T15:00:00Z,16.1,19.5,0.92,87.34,0.18,15,15,548,38,0.4,1.45,19.5,-1.6,6.7
ET6,S4,2022-06-01T15:15:00Z,7,19.1,0.927,87.35,0.16,15,15,539,173,0.68,2.28,19,-1.5,6.7
ET6,S4,2022-06-01T15:30:00Z,0.7,18.7,0.942,87.36,0.12,15,15,582,173,0.45,1.51,18.8,-1.5,6.7
ET6,S4,2022-06-01T15:45:00Z,0,18.5,0.957,87.36,0.09,15,15,593,194,0.57,1.87,18.6,-1.5,6.7
ET6,S4,2022-06-01T16:00:00Z,0,18.5,0.962,87.35,0.08,15,15,605,96,0.67,1.93,18.7,-1.5,6.7
ET6,S4,2022-06-01T16:15:00Z,0,18.5,0.958,87.35,0.09,15,15,621,54,0.7,2.39,18.6,-1.5,6.7
ET6,S4,2022-06-01T16:30:00Z,0,18.4,0.954,87.36,0.1,15,15,609,85,0.62,2.91,18.4,-1.5,6.7
ET6,S4,2022-06-01T16:45:00Z,0,17.9,0.946,87.37,0.11,15,15,625,82,0.72,2.21,18,-1.5,6.8
