Tree,Station,Timestamp,MC2_Port1_Wm2SolarRadiation,MC2_Port3_degreeCAirTemperature,MC2_Port3_RHRelativeHumidity,MC2_Port3_kPaAtmosphericPressure,MC2_Port3_kPaVPD,MC2_Port4_minLeafWetness,MC2_Port4_minLeafWetnesshigh,MC2_Port4_WetnessLevel
ET7,S2,2022-06-08T11:30:00Z,76.4,18.8,0.988,87.86,0.03,15,15,720
ET7,S2,2022-06-08T11:45:00Z,23.3,18.5,0.989,87.86,0.02,15,15,614
ET7,S2,2022-06-08T12:00:00Z,32.2,18.5,0.992,87.84,0.02,15,15,535
ET7,S2,2022-06-08T12:15:00Z,29.3,18.5,0.987,87.83,0.03,15,15,627
ET7,S2,2022-06-08T12:30:00Z,26.7,18.4,0.988,87.81,0.03,15,15,543
ET7,S2,2022-06-08T12:45:00Z,35.2,18.5,0.994,87.79,0.01,15,15,592
ET7,S2,2022-06-08T13:00:00Z,20.5,18.5,0.996,87.79,0.01,15,15,648
ET7,S2,2022-06-08T13:15:00Z,12.1,18.5,0.997,87.78,0.01,15,15,590
ET7,S2,2022-06-08T13:30:00Z,10.4,18.2,0.998,87.78,0,15,15,562
ET7,S2,2022-06-08T13:45:00Z,13,17.9,0.994,87.76,0.01,15,15,543
ET7,S2,2022-06-08T14:00:00Z,15.7,17.8,0.989,87.74,0.02,15,15,543
ET7,S2,2022-06-08T14:15:00Z,23.3,17.8,0.994,87.72,0.01,15,15,536
ET7,S2,2022-06-08T14:30:00Z,55.5,18,1,87.67,0,15,15,566
ET7,S2,2022-06-08T14:45:00Z,47.4,18.2,1,87.69,NA,15,15,552
ET7,S2,2022-06-08T15:00:00Z,31.5,18.2,1,87.7,NA,15,15,549
ET7,S2,2022-06-08T15:15:00Z,14.5,18.1,1,87.69,NA,15,15,539
ET7,S2,2022-06-08T15:30:00Z,21.8,18,0.997,87.69,0.01,15,15,556
ET7,S2,2022-06-08T15:45:00Z,10.8,18.1,0.977,87.71,0.05,15,15,546
ET7,S2,2022-06-08T16:00:00Z,21.8,18,0.985,87.69,0.03,15,15,548
ET7,S2,2022-06-08T16:15:00Z,36.8,18.2,0.987,87.67,0.03,15,15,530
ET7,S2,2022-06-08T16:30:00Z,30.2,18.4,0.988,87.68,0.03,15,15,521
ET7,S2,2022-06-08T16:45:00Z,37.4,18.4,0.989,87.68,0.02,15,15,516
ET7,S2,2022-06-08T17:00:00Z,11.5,18.4,0.991,87.72,0.02,15,15,513
ET7,S2,2022-06-08T17:15:00Z,0,18.2,0.973,87.73,0.06,15,15,508
ET7,S2,2022-06-08T17:30:00Z,0,18,0.984,87.75,0.03,15,15,508
ET7,S2,2022-06-08T17:45:00Z,0,17.9,0.998,87.78,0,15,15,504
ET7,S2,2022-06-08T18:00:00Z,0,18,0.985,87.8,0.03,15,15,504
ET7,S2,2022-06-08T18:15:00Z,0,17.9,0.992,87.83,0.02,15,15,490
ET7,S2,2022-06-08T18:30:00Z,0,17.8,1,87.85,NA,15,15,491
ET7,S2,2022-06-08T18:45:00Z,0,17.8,0.999,87.87,0,15,15,599
ET7,S2,2022-06-08T19:00:00Z,0,17.7,1,87.88,NA,15,15,703
ET7,S2,2022-06-08T19:15:00Z,0,17.6,1,87.89,0,15,15,693
ET7,S2,2022-06-08T19:30:00Z,0,17.6,1,87.91,0,15,15,550
ET7,S2,2022-06-08T19:45:00Z,0,17.6,0.999,87.92,0,15,15,560
ET7,S2,2022-06-08T20:00:00Z,0,17.6,0.997,87.93,0.01,15,15,637
ET7,S2,2022-06-08T20:15:00Z,0,17.4,0.998,87.94,0,15,15,677
ET7,S2,2022-06-08T20:30:00Z,0,17.3,0.99,87.94,0.02,15,15,601
ET7,S2,2022-06-08T20:45:00Z,0,17.5,0.954,87.91,0.09,15,15,572
ET7,S2,2022-06-08T21:00:00Z,0,17.6,0.925,87.93,0.15,15,15,544
ET7,S2,2022-06-08T21:15:00Z,0,17.5,0.928,87.93,0.14,15,15,536
ET7,S2,2022-06-08T21:30:00Z,0,16.9,0.962,87.94,0.07,15,15,534
ET7,S2,2022-06-08T21:45:00Z,0,16.6,0.981,87.93,0.04,15,15,533
ET7,S2,2022-06-08T22:00:00Z,0,17.1,0.951,87.93,0.1,15,15,526
ET7,S2,2022-06-08T22:15:00Z,0,17,0.963,87.92,0.07,15,15,524
ET7,S2,2022-06-08T22:30:00Z,0,16.8,0.984,87.93,0.03,15,15,523
ET7,S2,2022-06-08T22:45:00Z,0,16.8,0.982,87.92,0.03,15,15,522
ET7,S2,2022-06-08T23:00:00Z,0,16.8,0.977,87.91,0.04,15,15,519
ET7,S2,2022-06-08T23:15:00Z,0,16.9,0.97,87.9,0.06,15,15,516
ET7,S2,2022-06-08T23:30:00Z,0,16.9,0.976,87.88,0.05,15,15,515
ET7,S2,2022-06-08T23:45:00Z,0,16.7,0.988,87.88,0.02,15,15,514
ET7,S2,2022-06-09T00:00:00Z,0,16.9,0.993,87.86,0.01,15,15,513
ET7,S2,2022-06-09T00:15:00Z,0,17.2,0.99,87.86,0.02,15,15,512
ET7,S2,2022-06-09T00:30:00Z,0,17.4,0.984,87.85,0.03,15,15,510
ET7,S2,2022-06-09T00:45:00Z,0,17.4,0.98,87.83,0.04,15,15,509
ET7,S2,2022-06-09T01:00:00Z,0,17.4,0.987,87.82,0.03,15,15,508
ET7,S2,2022-06-09T01:15:00Z,0,17.4,0.983,87.81,0.03,15,15,507
ET7,S2,2022-06-09T01:30:00Z,0,17.3,0.988,87.8,0.02,15,15,506
ET7,S2,2022-06-09T01:45:00Z,0,17.3,0.982,87.78,0.04,15,15,504
ET7,S2,2022-06-09T02:00:00Z,0,17.3,0.967,87.75,0.06,15,15,501
ET7,S2,2022-06-09T02:15:00Z,0,17.3,0.963,87.73,0.07,15,15,499
ET7,S2,2022-06-09T02:30:00Z,0,17.1,0.968,87.73,0.06,15,15,497
ET7,S2,2022-06-09T02:45:00Z,0,17.2,0.965,87.73,0.07,15,15,495
ET7,S2,2022-06-09T03:00:00Z,0,17,0.981,87.73,0.04,15,15,495
ET7,S2,2022-06-09T03:15:00Z,0,17,0.989,87.75,0.02,15,15,494
ET7,S2,2022-06-09T03:30:00Z,0,17.2,0.989,87.76,0.02,15,15,493
ET7,S2,2022-06-09T03:45:00Z,0,17.2,0.986,87.78,0.03,15,15,491
ET7,S2,2022-06-09T04:00:00Z,0,17.2,0.987,87.79,0.03,15,15,490
ET7,S2,2022-06-09T04:15:00Z,0,17.2,0.987,87.79,0.03,15,15,489
ET7,S2,2022-06-09T04:30:00Z,0,17.2,0.994,87.79,0.01,15,15,489
ET7,S2,2022-06-09T04:45:00Z,0,17.2,0.995,87.78,0.01,15,15,488
ET7,S2,2022-06-09T05:00:00Z,0,17.2,0.992,87.78,0.01,15,15,487
ET7,S2,2022-06-09T05:15:00Z,0,17.2,0.993,87.8,0.01,15,15,486
ET7,S2,2022-06-09T05:30:00Z,0,17.2,0.988,87.81,0.02,15,15,485
ET7,S2,2022-06-09T05:45:00Z,0.4,17.2,0.995,87.83,0.01,15,15,485
ET7,S2,2022-06-09T06:00:00Z,4.8,17.4,1,87.83,0,15,15,484
ET7,S2,2022-06-09T06:15:00Z,4.6,17.5,0.999,87.85,0,15,15,484
ET7,S2,2022-06-09T06:30:00Z,9.3,17.6,1,87.86,0,15,15,484
ET7,S2,2022-06-09T06:45:00Z,14.6,17.6,1,87.88,0,15,15,484
ET7,S2,2022-06-09T07:00:00Z,23.1,17.8,1,87.88,0,15,15,483
ET7,S2,2022-06-09T07:15:00Z,31.7,17.8,1,87.9,0,15,15,483
ET7,S2,2022-06-09T07:30:00Z,30.8,17.8,0.999,87.92,0,15,15,482
ET7,S2,2022-06-09T07:45:00Z,28.6,17.9,0.998,87.94,0,15,15,482
ET7,S2,2022-06-09T08:00:00Z,28.7,17.9,1,87.95,NA,15,15,485
ET7,S2,2022-06-09T08:15:00Z,26,17.9,1,87.96,0,15,15,506
ET7,S2,2022-06-09T08:30:00Z,29.7,18,1,87.96,NA,15,15,507
ET7,S2,2022-06-09T08:45:00Z,50,18,1.001,87.96,NA,15,15,506
ET7,S2,2022-06-09T09:00:00Z,54.2,18.1,1.001,87.96,NA,15,15,505
ET7,S2,2022-06-09T09:15:00Z,45.6,18,1.001,87.95,NA,15,15,505
ET7,S2,2022-06-09T09:30:00Z,65.6,18.2,1.001,87.95,NA,15,15,505
ET7,S2,2022-06-09T09:45:00Z,81.7,18.3,1,87.93,NA,15,15,507
ET7,S2,2022-06-09T10:00:00Z,65,18.4,1,87.93,0,15,15,504
ET7,S2,2022-06-09T10:15:00Z,63,18.4,1,87.93,NA,15,15,499
ET7,S2,2022-06-09T10:30:00Z,36.6,18.3,1,87.93,NA,15,15,497
ET7,S2,2022-06-09T10:45:00Z,46.9,18.4,1,87.92,0,15,15,503
ET7,S2,2022-06-09T11:00:00Z,82.8,18.7,0.999,87.91,0,15,15,496
ET7,S2,2022-06-09T11:15:00Z,55.8,19,0.999,87.9,0,15,15,529
ET7,S2,2022-06-09T11:30:00Z,81.5,19,0.998,87.88,0,15,15,536
ET7,S2,2022-06-09T11:45:00Z,123.2,19.1,1.001,87.85,NA,15,15,529
ET7,S2,2022-06-09T12:00:00Z,208.6,19.7,0.995,87.82,0.01,15,15,515
ET7,S2,2022-06-09T12:15:00Z,201.4,20.4,0.976,87.8,0.06,15,15,508
ET7,S2,2022-06-09T12:30:00Z,166.6,20.3,0.95,87.79,0.12,15,15,500
ET7,S2,2022-06-09T12:45:00Z,387.1,20.8,0.942,87.77,0.14,15,15,485
ET7,S2,2022-06-09T13:00:00Z,126.5,20.8,0.94,87.76,0.15,15,15,481
ET7,S2,2022-06-09T13:15:00Z,54.6,20.3,0.961,87.76,0.09,15,15,479
ET7,S2,2022-06-09T13:30:00Z,61.9,19.9,0.974,87.75,0.06,15,15,479
ET7,S2,2022-06-09T13:45:00Z,90.5,19.9,0.977,87.73,0.05,15,15,475
ET7,S2,2022-06-09T14:00:00Z,166.8,20.2,0.966,87.71,0.08,15,15,468
ET7,S2,2022-06-09T14:15:00Z,180,20.9,0.933,87.68,0.17,15,15,463
ET7,S2,2022-06-09T14:30:00Z,173.6,21.2,0.914,87.7,0.22,15,6,457
ET7,S2,2022-06-09T14:45:00Z,158.9,20.9,0.923,87.68,0.19,15,0,452
ET7,S2,2022-06-09T15:00:00Z,101.8,20.8,0.931,87.68,0.17,13,0,450
ET7,S2,2022-06-09T15:15:00Z,36.8,20.2,0.949,87.69,0.12,0,0,449
ET7,S2,2022-06-09T15:30:00Z,16.3,19.8,0.972,87.68,0.07,0,0,449
ET7,S2,2022-06-09T15:45:00Z,9.5,19.3,0.982,87.69,0.04,0,0,449
ET7,S2,2022-06-09T16:00:00Z,17.4,19.2,0.986,87.69,0.03,0,0,448
ET7,S2,2022-06-09T16:15:00Z,4.4,19.1,0.981,87.69,0.04,7,7,560
ET7,S2,2022-06-09T16:30:00Z,2.4,18.8,0.999,87.7,0,15,15,604
ET7,S2,2022-06-09T16:45:00Z,0,18.3,0.998,87.73,0,15,15,650
ET7,S2,2022-06-09T17:00:00Z,0,17.8,0.998,87.73,0,15,15,566
ET7,S2,2022-06-09T17:15:00Z,0,17.6,0.999,87.74,0,15,15,603
ET7,S2,2022-06-09T17:30:00Z,0,17.7,0.999,87.74,0,15,15,541
ET7,S2,2022-06-09T17:45:00Z,0,17.8,1,87.75,0,15,15,534
ET7,S2,2022-06-09T18:00:00Z,0,17.8,0.999,87.77,0,15,15,570
ET7,S2,2022-06-09T18:15:00Z,0,17.8,1,87.82,0,15,15,626
ET7,S2,2022-06-09T18:30:00Z,0,17.8,0.998,87.84,0,15,15,628
ET7,S2,2022-06-09T18:45:00Z,0,17.7,0.998,87.86,0,15,15,638
ET7,S2,2022-06-09T19:00:00Z,0,17.6,0.991,87.86,0.02,15,15,591
ET7,S2,2022-06-09T19:15:00Z,0,17.7,0.97,87.84,0.06,15,15,555
ET7,S2,2022-06-09T19:30:00Z,0,17.7,0.966,87.84,0.07,15,15,558
ET7,S2,2022-06-09T19:45:00Z,0,17.7,0.967,87.83,0.07,15,15,568
ET7,S2,2022-06-09T20:00:00Z,0,18,0.95,87.82,0.1,15,15,551
ET7,S2,2022-06-09T20:15:00Z,0,18.1,0.942,87.81,0.12,15,15,539
ET7,S2,2022-06-09T20:30:00Z,0,18.5,0.915,87.8,0.18,15,15,520
ET7,S2,2022-06-09T20:45:00Z,0,18.6,0.898,87.8,0.22,15,15,507
ET7,S2,2022-06-09T21:00:00Z,0,18.8,0.872,87.79,0.28,15,15,490
ET7,S2,2022-06-09T21:15:00Z,0,19.2,0.845,87.8,0.35,15,15,479
ET7,S2,2022-06-09T21:30:00Z,0,19.1,0.846,87.8,0.34,15,15,470
ET7,S2,2022-06-09T21:45:00Z,0,18.2,0.895,87.82,0.22,15,15,466
ET7,S2,2022-06-09T22:00:00Z,0,17.8,0.914,87.82,0.18,15,15,462
ET7,S2,2022-06-09T22:15:00Z,0,17.8,0.918,87.83,0.17,15,12,459
ET7,S2,2022-06-09T22:30:00Z,0,17.7,0.924,87.85,0.15,15,0,457
ET7,S2,2022-06-09T22:45:00Z,0,17.4,0.943,87.86,0.11,15,0,456
ET7,S2,2022-06-09T23:00:00Z,0,17.3,0.947,87.86,0.1,15,0,455
