Tree,Station,Timestamp,MC1_Port2_Wm2SolarRadiation,MC1_Port5_degreeCAirTemperature,MC1_Port5_RHRelativeHumidity,MC1_Port5_kPaAtmosphericPressure,MC1_Port5_kPaVPD,MC1_Port6_minLeafWetness,MC1_Port6_minLeafWetnesshigh,MC1_Port6_WetnessLevel
ET5,S1,2022-07-11T14:00:00Z,199.6,21.8,0.942,87.62,0.15,8,0,447
ET5,S1,2022-07-11T14:15:00Z,176.3,21.8,0.942,87.61,0.15,0,0,446
ET5,S1,2022-07-11T14:30:00Z,134,21.7,0.958,87.59,0.11,11,11,601
ET5,S1,2022-07-11T14:45:00Z,38.5,20.7,0.97,87.58,0.07,15,15,554
ET5,S1,2022-07-11T15:00:00Z,28.2,20.3,0.995,87.59,0.01,15,15,512
ET5,S1,2022-07-11T15:15:00Z,35.3,20.3,1,87.58,0,15,15,528
ET5,S1,2022-07-11T15:30:00Z,38.8,20.3,1,87.57,0,15,15,486
ET5,S1,2022-07-11T15:45:00Z,46.5,20.4,1,87.57,0,15,15,623
ET5,S1,2022-07-11T16:00:00Z,68.8,20.2,1,87.56,0,15,15,551
ET5,S1,2022-07-11T16:15:00Z,69.4,20.1,0.988,87.57,0.03,15,15,598
ET5,S1,2022-07-11T16:30:00Z,13.2,19.8,0.983,87.6,0.04,15,15,635
ET5,S1,2022-07-11T16:45:00Z,0.4,19.7,0.982,87.63,0.04,15,15,642
ET5,S1,2022-07-11T17:00:00Z,0,18.5,0.993,87.65,0.01,15,15,631
ET5,S1,2022-07-11T17:15:00Z,0,17.9,0.999,87.68,0,15,15,664
ET5,S1,2022-07-11T17:30:00Z,0,17.8,1,87.69,0,15,15,575
ET5,S1,2022-07-11T17:45:00Z,0,17.9,1,87.7,0,15,15,607
ET5,S1,2022-07-11T18:00:00Z,0,18.4,0.989,87.7,0.02,15,15,624
ET5,S1,2022-07-11T18:15:00Z,0,18.7,0.98,87.71,0.04,15,15,602
ET5,S1,2022-07-11T18:30:00Z,0,18.7,0.984,87.74,0.03,15,15,681
ET5,S1,2022-07-11T18:45:00Z,0,18.7,0.983,87.75,0.04,15,15,650
ET5,S1,2022-07-11T19:00:00Z,0,18.7,0.968,87.74,0.07,15,15,847
ET5,S1,2022-07-11T19:15:00Z,0,18.7,0.953,87.76,0.1,15,15,658
ET5,S1,2022-07-11T19:30:00Z,0,18.4,0.974,87.8,0.06,15,15,681
ET5,S1,2022-07-11T19:45:00Z,0,18.4,0.976,87.82,0.05,15,15,683
ET5,S1,2022-07-11T20:00:00Z,0,18.2,0.988,87.85,0.02,15,15,588
ET5,S1,2022-07-11T20:15:00Z,0,18,1,87.85,0,15,15,563
ET5,S1,2022-07-11T20:30:00Z,0,18,1,87.87,0,15,15,547
ET5,S1,2022-07-11T20:45:00Z,0,18,1,87.88,0,15,15,530
ET5,S1,2022-07-11T21:00:00Z,0,18.4,0.995,87.88,0.01,15,15,476
ET5,S1,2022-07-11T21:15:00Z,0,18.7,0.966,87.89,0.07,15,15,486
ET5,S1,2022-07-11T21:30:00Z,0,18.8,0.956,87.88,0.09,15,15,475
ET5,S1,2022-07-11T21:45:00Z,0,19,0.949,87.88,0.11,15,15,478
ET5,S1,2022-07-11T22:00:00Z,0,19,0.955,87.87,0.1,15,15,467
ET5,S1,2022-07-11T22:15:00Z,0,19.1,0.953,87.85,0.1,15,11,459
ET5,S1,2022-07-11T22:30:00Z,0,18.8,0.961,87.87,0.09,15,1,456
ET5,S1,2022-07-11T22:45:00Z,0,18.9,0.959,87.86,0.09,15,1,458
ET5,S1,2022-07-11T23:00:00Z,0,19.1,0.944,87.86,0.12,15,0,457
ET5,S1,2022-07-11T23:15:00Z,0,19.1,0.942,87.85,0.13,15,0,454
ET5,S1,2022-07-11T23:30:00Z,0,19.2,0.937,87.84,0.14,15,0,452
ET5,S1,2022-07-11T23:45:00Z,0,19,0.944,87.84,0.12,15,0,452
ET5,S1,2022-07-12T00:00:00Z,0,18.6,0.961,87.83,0.08,15,0,452
ET5,S1,2022-07-12T00:15:00Z,0,18.7,0.955,87.83,0.1,15,0,451
ET5,S1,2022-07-12T00:30:00Z,0,18.7,0.95,87.81,0.11,15,0,450
ET5,S1,2022-07-12T00:45:00Z,0,18.5,0.954,87.8,0.1,15,0,451
ET5,S1,2022-07-12T01:00:00Z,0,18.6,0.952,87.79,0.1,15,0,452
ET5,S1,2022-07-12T01:15:00Z,0,18.4,0.959,87.77,0.09,15,0,450
ET5,S1,2022-07-12T01:30:00Z,0,18.3,0.966,87.77,0.07,11,0,450
ET5,S1,2022-07-12T01:45:00Z,0,18.2,0.969,87.76,0.07,0,0,450
ET5,S1,2022-07-12T02:00:00Z,0,18.2,0.973,87.75,0.06,0,0,450
ET5,S1,2022-07-12T02:15:00Z,0,18.5,0.96,87.74,0.08,0,0,449
ET5,S1,2022-07-12T02:30:00Z,0,18.9,0.941,87.72,0.13,0,0,449
ET5,S1,2022-07-12T02:45:00Z,0,19.3,0.92,87.7,0.18,0,0,449
ET5,S1,2022-07-12T03:00:00Z,0,19.1,0.928,87.69,0.16,0,0,449
ET5,S1,2022-07-12T03:15:00Z,0,19,0.929,87.7,0.16,0,0,449
ET5,S1,2022-07-12T03:30:00Z,0,18.4,0.948,87.71,0.11,0,0,449
ET5,S1,2022-07-12T03:45:00Z,0,18.3,0.957,87.7,0.09,0,0,449
ET5,S1,2022-07-12T04:00:00Z,0,18.7,0.942,87.69,0.13,2,0,450
ET5,S1,2022-07-12T04:15:00Z,0,18.6,0.944,87.68,0.12,0,0,449
ET5,S1,2022-07-12T04:30:00Z,0,18.7,0.938,87.67,0.13,0,0,449
ET5,S1,2022-07-12T04:45:00Z,0,18.7,0.932,87.67,0.15,0,0,449
ET5,S1,2022-07-12T05:00:00Z,0,18.7,0.936,87.68,0.14,0,0,449
ET5,S1,2022-07-12T05:15:00Z,0,18.6,0.942,87.68,0.12,0,0,449
ET5,S1,2022-07-12T05:30:00Z,0,18.4,0.958,87.68,0.09,0,0,449
