z6-15979,Port 1,Port 1,Port 7,Port 7,Port 8,Port 8
Records: 5559,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
4/10/2024 12:00,0.0,0.0,100,7876,85.97,19.7
4/10/2024 12:15,0.0,0.0,100,7881,85.97,19.7
4/10/2024 12:30,0.0,0.0,100,7881,85.98,19.5
4/10/2024 12:45,0.0,0.0,100,7881,85.95,19.4
4/10/2024 13:00,0.0,0.0,100,7881,85.93,19.3
4/10/2024 13:15,0.0,0.0,100,7879,85.91,19.2
4/10/2024 13:30,0.0,0.0,100,7881,85.89,19.3
4/10/2024 13:45,0.0,0.0,100,7879,85.89,19.3
4/10/2024 14:00,0.0,0.0,100,7882,85.90,19.4
4/10/2024 14:15,0.0,0.0,100,7881,85.89,19.4
4/10/2024 14:30,0.0,0.0,100,7880,85.88,19.4
4/10/2024 14:45,0.0,0.0,100,7883,85.86,19.4
4/10/2024 15:00,0.0,0.0,100,7881,85.86,19.4
4/10/2024 15:15,0.0,0.0,100,7883,85.85,19.4
4/10/2024 15:30,0.0,0.0,100,7881,85.85,19.3
4/10/2024 15:45,0.0,0.0,100,7882,85.84,19.3
4/10/2024 16:00,0.0,0.0,100,7881,85.83,19.3
4/10/2024 16:15,0.0,0.0,100,7881,85.83,19.2
4/10/2024 16:30,0.0,0.0,100,7880,85.84,19.2
4/10/2024 16:45,0.0,0.0,100,7881,85.85,19.1
4/10/2024 17:00,0.0,0.0,100,7881,85.86,19.0
4/10/2024 17:15,0.0,0.0,100,7880,85.87,18.9
4/10/2024 17:30,0.0,0.0,100,7881,85.89,18.7
4/10/2024 17:45,0.0,0.0,100,7881,85.90,18.6
4/10/2024 18:00,0.0,0.0,100,7880,85.91,18.6
4/10/2024 18:15,0.0,0.0,100,7881,85.92,18.5
4/10/2024 18:30,0.0,0.0,100,7879,85.94,18.5
4/10/2024 18:45,0.0,0.0,100,7880,85.94,18.4
4/10/2024 19:00,0.0,0.0,100,7878,85.95,18.4
4/10/2024 19:15,0.0,0.0,100,7880,85.95,18.4
4/10/2024 19:30,0.0,0.0,100,7879,85.97,18.4
4/10/2024 19:45,0.0,0.0,100,7880,85.98,18.4
4/10/2024 20:00,0.0,0.0,100,7881,85.99,18.4
4/10/2024 20:15,0.0,0.0,100,7881,86.00,18.5
4/10/2024 20:30,0.0,0.0,100,7878,86.00,18.5
4/10/2024 20:45,0.0,0.0,100,7878,86.01,18.5
4/10/2024 21:00,0.0,0.0,100,7878,86.01,18.6
4/10/2024 21:15,0.0,0.0,100,7875,86.01,18.6
4/10/2024 21:30,0.0,0.0,100,7876,86.01,18.7
4/10/2024 21:45,0.0,0.0,100,7878,86.00,18.7
4/10/2024 22:00,0.0,0.0,100,7875,86.00,18.7
4/10/2024 22:15,0.0,0.0,100,7879,85.99,18.7
4/10/2024 22:30,0.0,0.0,100,7875,85.98,18.6
4/10/2024 22:45,0.0,0.0,100,7878,85.97,18.6
4/10/2024 23:00,0.0,0.0,100,7876,85.96,18.6
4/10/2024 23:15,0.0,0.0,100,7878,85.96,18.6
4/10/2024 23:30,0.0,0.0,100,7878,85.95,18.6
4/10/2024 23:45,0.0,0.0,100,7878,85.95,18.7
4/11/2024 0:00,0.0,0.0,100,7875,85.93,18.7
4/11/2024 0:15,0.0,0.0,100,7871,85.92,18.7
4/11/2024 0:30,0.0,0.0,100,7875,85.91,18.7
4/11/2024 0:45,0.0,0.0,100,7874,85.90,18.6
4/11/2024 1:00,0.0,0.0,100,7874,85.88,18.6
4/11/2024 1:15,0.0,0.0,100,7874,85.87,18.5
4/11/2024 1:30,0.0,0.0,100,7876,85.85,18.5
4/11/2024 1:45,0.0,0.0,100,7874,85.83,18.4
4/11/2024 2:00,0.0,0.0,100,7874,85.82,18.4
4/11/2024 2:15,0.0,0.0,100,7878,85.82,18.4
4/11/2024 2:30,0.0,0.0,100,7876,85.82,18.4
4/11/2024 2:45,0.0,0.0,100,7874,85.81,18.4
4/11/2024 3:00,0.0,0.0,100,7875,85.80,18.4
4/11/2024 3:15,0.0,0.0,100,7874,85.81,18.4
4/11/2024 3:30,0.0,0.0,100,7874,85.82,18.3
4/11/2024 3:45,0.0,0.0,100,7874,85.84,18.2
4/11/2024 4:00,0.0,0.0,100,7874,85.84,18.1
4/11/2024 4:15,0.0,0.0,100,7873,85.84,18.1
4/11/2024 4:30,0.0,0.0,100,7875,85.84,18.1
4/11/2024 4:45,0.0,0.0,100,7872,85.85,18.0
4/11/2024 5:00,0.0,0.0,100,7873,85.86,18.0
4/11/2024 5:15,0.0,0.0,100,7875,85.88,18.0
4/11/2024 5:30,0.0,0.0,100,7874,85.89,18.0
4/11/2024 5:45,0.0,0.0,100,7878,85.91,18.0
4/11/2024 6:00,0.0,0.0,100,7874,85.93,18.1
4/11/2024 6:15,0.0,0.0,100,7875,85.94,18.1
4/11/2024 6:30,0.0,0.0,100,7875,85.96,18.1
4/11/2024 6:45,0.0,0.0,100,7877,85.97,18.2
4/11/2024 7:00,0.0,0.0,100,7874,86.00,18.3
4/11/2024 7:15,0.0,0.0,100,7874,86.01,18.4
4/11/2024 7:30,0.0,0.0,100,7874,86.03,18.6
4/11/2024 7:45,0.0,0.0,100,7876,86.04,18.6
4/11/2024 8:00,0.0,0.0,100,7875,86.05,18.6
4/11/2024 8:15,0.0,0.0,100,7876,86.06,18.7
4/11/2024 8:30,0.0,0.0,100,7874,86.08,18.9
