Tree,MC,Timestamp,Port1_LW_minutes,Port1_LW_minutes_H,Port1_LWS_Count,Port2_Solar,Port2_Precipitation,Port2_Lightning_count,Port2_Lightning_distance,Port2_Wind_direction,Port2_Wind_speed,Port2_Gust_speed,Port2_Temp,Port2_RH,Port2_Atmos_pressure,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Precip_max,Port2_ATM41_SensorTemp,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
ETP2,NA,2023-06-12T09:15:00Z,12,0,449,586.1,0,0,0,85,1.38,3.78,23.1,0.894,88.24,1.4,-1.7,0,25.7,100,8146,88.14,30.1
ETP2,NA,2023-06-12T09:30:00Z,3,0,450,570.2,0,0,0,61,1.3,2.95,23.5,0.901,88.23,1.5,-1.8,0,26.2,100,8156,88.14,30.5
ETP2,NA,2023-06-12T09:45:00Z,0,0,448,880.6,0,0,0,90,1.66,3.5,23.8,0.866,88.22,1.5,-1.7,0,26.7,100,8167,88.13,31.3
ETP2,NA,2023-06-12T10:00:00Z,0,0,448,895.5,0,0,0,92,1.31,2.59,24.2,0.858,88.22,1.5,-1.7,0,27,100,8179,88.12,32.5
ETP2,NA,2023-06-12T10:15:00Z,0,0,448,929.4,0,0,0,67,1.41,3.62,24.9,0.844,88.2,1.5,-1.8,0,27.7,100,8186,88.11,33.4
ETP2,NA,2023-06-12T10:30:00Z,0,0,447,709.8,0,0,0,51,1.31,3.51,24.8,0.869,88.2,1.5,-1.8,0,28.2,100,8184,88.1,33.7
ETP2,NA,2023-06-12T10:45:00Z,0,0,449,456.1,0,0,0,58,1.18,2.88,23.9,0.889,88.19,1.5,-1.8,0,27.6,100,8183,88.09,32.9
ETP2,NA,2023-06-12T11:00:00Z,0,0,448,505.1,0,0,0,65,1.29,2.76,23.7,0.898,88.19,1.5,-1.7,0,27.1,100,8178,88.09,31.9
ETP2,NA,2023-06-12T11:15:00Z,0,0,448,574.5,0,0,0,60,1.38,3.23,23.5,0.9,88.18,1.6,-1.7,0,26.6,100,8180,88.08,31.3
ETP2,NA,2023-06-12T11:30:00Z,0,0,448,665.8,0,0,0,76,1.08,2.25,24,0.89,88.14,1.5,-1.7,0,26.6,100,8179,88.04,31.3
ETP2,NA,2023-06-12T11:45:00Z,0,0,448,735.5,0,0,0,29,1.14,2.51,23.8,0.906,88.11,1.6,-1.8,0,27.2,100,8182,88.01,31.9
ETP2,NA,2023-06-12T12:00:00Z,0,0,448,807.9,0,0,0,21,1.34,2.38,24.1,0.899,88.07,1.5,-1.8,0,27.6,100,8183,87.97,32
ETP2,NA,2023-06-12T12:15:00Z,0,0,448,559.7,0,0,0,20,1.23,3.49,23.6,0.895,88.07,1.5,-1.7,0,27.3,100,8178,87.96,31.3
ETP2,NA,2023-06-12T12:30:00Z,0,0,448,547.3,0,0,0,34,1,2.21,23.8,0.892,88.03,1.5,-1.8,0,26.9,100,8177,87.93,30.8
ETP2,NA,2023-06-12T12:45:00Z,0,0,448,612.7,0,0,0,50,0.92,1.96,24.1,0.885,88,1.5,-1.7,0,27,100,8171,87.89,31.2
ETP2,NA,2023-06-12T13:00:00Z,0,0,449,553.5,0,0,0,58,1.08,3.11,24.2,0.864,87.98,1.5,-1.8,0,27,100,8168,87.88,31.1
ETP2,NA,2023-06-12T13:15:00Z,0,0,448,417.3,0,0,0,45,1.03,2.87,24.2,0.879,87.98,1.5,-1.8,0,27.1,100,8165,87.87,30.9
ETP2,NA,2023-06-12T13:30:00Z,0,0,447,786.8,0,0,0,30,1.19,2.26,24.5,0.861,87.96,1.5,-1.8,0,27.3,100,8163,87.86,31.3
ETP2,NA,2023-06-12T13:45:00Z,0,0,447,910.1,0,0,0,28,1.33,3.93,24.9,0.854,87.95,1.6,-1.9,0,28,100,8158,87.86,33.3
ETP2,NA,2023-06-12T14:00:00Z,0,0,445,822.1,0,0,0,32,1.3,3.68,25,0.843,87.95,1.6,-1.8,0,28.5,100,8154,87.85,33.9
ETP2,NA,2023-06-12T14:15:00Z,0,0,446,745.7,0,0,0,34,1.37,3.25,24.9,0.837,87.96,1.5,-1.8,0,28.5,100,8154,87.86,33.9
ETP2,NA,2023-06-12T14:30:00Z,0,0,446,635.5,0,0,0,36,1.6,2.9,24.6,0.849,87.95,1.6,-1.8,0,28.3,100,8150,87.84,33.9
ETP2,NA,2023-06-12T14:45:00Z,0,0,449,369.1,0,0,0,30,1.46,4.87,24.3,0.859,87.95,1.5,-1.8,0,27.7,100,8147,87.84,32.5
ETP2,NA,2023-06-12T15:00:00Z,0,0,448,518.5,0,0,0,25,1.51,3.65,24.1,0.861,87.93,1.5,-1.7,0,27,100,8138,87.82,31.9
ETP2,NA,2023-06-12T15:15:00Z,0,0,448,549.3,0,0,0,29,1.51,3.13,24,0.869,87.93,1.5,-1.9,0,26.9,100,8137,87.82,32.5
ETP2,NA,2023-06-12T15:30:00Z,0,0,448,524,0,0,0,13,1.49,3.14,24,0.876,87.9,1.5,-1.8,0,26.9,100,8135,87.8,32.5
ETP2,NA,2023-06-12T15:45:00Z,0,0,449,402.3,0,0,0,30,1.61,4.04,23.8,0.886,87.91,1.5,-1.8,0,26.8,100,8131,87.8,32.1
ETP2,NA,2023-06-12T16:00:00Z,7,6,905,217.6,0.374,0,0,20,1.28,2.44,23.5,0.904,87.91,1.4,-1.8,9.2,26.1,100,8127,87.8,29.1
ETP2,NA,2023-06-12T16:15:00Z,15,15,652,89.6,0.187,0,0,30,1,3.18,22.6,0.94,87.91,1.4,-1.7,4.1,24.7,100,8123,87.79,26.4
ETP2,NA,2023-06-12T16:30:00Z,15,15,611,57.9,0,0,0,53,0.9,3.43,22.1,0.943,87.92,1.4,-1.7,0,23.2,100,8118,87.8,24.7
ETP2,NA,2023-06-12T16:45:00Z,15,15,616,62.9,0,3,29,23,1.09,2.85,21.9,0.94,87.96,1.5,-1.8,0,22.5,100,8115,87.85,23.9
ETP2,NA,2023-06-12T17:00:00Z,15,15,598,95,0,6,15,49,0.93,2.98,21.8,0.944,87.95,1.3,-1.7,0,22.3,100,8109,87.84,23.4
ETP2,NA,2023-06-12T17:15:00Z,15,15,570,66.5,0,0,0,73,1.28,2.72,21.6,0.936,87.94,1.4,-1.7,0,22,100,8110,87.82,23
ETP2,NA,2023-06-12T17:30:00Z,15,15,1099,55.3,0.613,3,10,75,1.18,3.75,21.1,0.937,87.96,1.4,-1.7,27.5,21.7,100,8105,87.85,22.6
ETP2,NA,2023-06-12T17:45:00Z,15,15,977,34.4,2.685,2,10,88,1.67,3.9,20.4,0.982,87.97,1.4,-1.7,22.4,21,100,8105,87.86,22
ETP2,NA,2023-06-12T18:00:00Z,15,15,875,13.2,0.545,0,0,104,1.35,5.33,20,0.979,87.99,1.3,-1.7,5.1,20.3,100,8102,87.87,21.2
ETP2,NA,2023-06-12T18:15:00Z,15,15,711,0.9,0,0,0,112,1,2.91,20.3,0.96,87.98,1.3,-1.7,0,20.1,100,8097,87.87,20.8
ETP2,NA,2023-06-12T18:30:00Z,15,15,814,0,0.102,0,0,83,1.47,5.12,20.6,0.954,87.98,1.3,-1.7,2,20.1,100,8097,87.88,20.6
ETP2,NA,2023-06-12T18:45:00Z,15,15,688,0,0,0,0,105,1.12,3.24,20.4,0.968,87.99,1.3,-1.7,0,20.2,100,8096,87.88,20.5
ETP2,NA,2023-06-12T19:00:00Z,15,15,669,0,0,0,0,77,1.39,5.08,20.3,0.966,88.01,1.4,-1.7,0,20,100,8096,87.9,20.3
ETP2,NA,2023-06-12T19:15:00Z,15,15,649,0,0.017,0,0,67,1.45,4.07,20.1,0.965,88.02,1.4,-1.7,1,19.8,100,8093,87.92,20
ETP2,NA,2023-06-12T19:30:00Z,15,15,640,0,0,0,0,72,1.55,3.77,20.2,0.957,88.05,1.3,-1.7,0,19.7,100,8092,87.95,19.9
ETP2,NA,2023-06-12T19:45:00Z,15,15,636,0,0,0,0,67,1.59,5.99,20.1,0.961,88.07,1.4,-1.7,0,19.7,100,8090,87.97,19.7
