z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 576,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/9/2023 9:00,0,0,446,663.7,0.000,0,0,259,1.56,6.33,20.6,0.996,85.96,1.5,0.1,0.0,24.5,0,100,8012,85.83,24.6
11/9/2023 9:15,0,0,445,699.6,0.000,0,0,211,1.13,4.89,21.2,0.998,85.96,1.6,0.1,0.0,25.1,0,100,8009,85.83,25.1
11/9/2023 9:30,0,0,446,740.6,0.000,0,0,270,1.80,5.64,21.1,1.001,85.95,1.5,0.1,0.0,25.3,0,100,8010,85.82,25.4
11/9/2023 9:45,0,0,445,778.6,0.000,0,0,270,1.62,4.74,21.4,0.981,85.95,1.5,0.1,0.0,25.3,0,100,8008,85.81,25.3
11/9/2023 10:00,0,0,444,807.5,0.000,0,0,217,1.46,4.61,22.0,0.962,85.95,1.5,0.1,0.0,25.7,0,100,8008,85.82,25.6
11/9/2023 10:15,0,0,444,849.5,0.000,0,0,244,1.63,5.63,22.4,0.961,85.95,1.6,0.1,0.0,26.2,0,100,8007,85.81,26.3
11/9/2023 10:30,0,0,444,720.7,0.000,0,0,213,1.30,4.30,22.2,0.973,85.96,1.5,0.0,0.0,26.2,0,100,8008,85.81,26.2
11/9/2023 10:45,0,0,446,586.5,0.000,0,0,245,1.27,4.52,21.8,0.969,85.95,1.6,0.0,0.0,25.8,0,100,8013,85.79,26.1
11/9/2023 11:00,0,0,444,835.5,0.000,0,0,223,1.31,4.14,22.7,0.947,85.92,1.5,0.0,0.0,25.9,0,100,8029,85.77,26.2
11/9/2023 11:15,0,0,445,704.0,0.000,0,0,218,1.16,3.83,22.5,0.974,85.91,1.5,0.0,0.0,26.4,0,100,8043,85.75,26.9
11/9/2023 11:30,0,0,444,907.1,0.000,0,0,248,1.53,5.62,23.1,0.957,85.87,1.6,0.1,0.0,26.7,0,100,8058,85.72,27.3
11/9/2023 11:45,0,0,444,867.9,0.000,0,0,214,1.40,5.52,23.7,0.952,85.83,1.6,0.1,0.0,27.3,0,100,8073,85.69,27.9
