z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 3176,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/1/2023 10:15,13,0,450,324.1,0.000,0,0,239,2.00,4.79,18.1,0.965,86.09,1.5,0.1,0.0,20.1,0,100,8081,85.93,20.3
12/1/2023 10:30,15,0,450,322.9,0.000,0,0,264,1.64,8.02,18.1,0.964,86.08,1.5,0.0,0.0,19.9,0,100,8083,85.92,20.2
12/1/2023 10:45,3,0,450,393.9,0.000,0,0,231,1.73,4.97,18.4,0.959,86.06,1.5,0.1,0.0,20.1,0,100,8087,85.90,20.3
12/1/2023 11:00,0,0,448,567.7,0.000,0,0,275,1.76,4.76,19.1,0.941,86.03,1.5,0.1,0.0,20.9,0,100,8106,85.87,20.9
12/1/2023 11:15,0,0,448,669.7,0.000,0,0,296,1.98,4.25,19.9,0.927,86.00,1.6,0.0,0.0,22.1,0,100,8116,85.86,21.8
12/1/2023 11:30,0,0,448,600.3,0.000,0,0,282,2.24,4.90,20.3,0.925,85.97,1.5,0.1,0.0,22.7,0,100,8133,85.83,22.5
12/1/2023 11:45,0,0,447,697.6,0.000,0,0,243,2.24,7.42,20.7,0.908,85.93,1.5,0.0,0.0,23.0,0,100,8153,85.79,23.0
12/1/2023 12:00,0,0,446,868.1,0.000,0,0,263,2.02,5.45,21.6,0.889,85.90,1.5,0.0,0.0,24.0,0,100,8173,85.76,24.0
12/1/2023 12:15,0,0,446,874.5,0.000,0,0,275,1.87,6.33,22.1,0.902,85.88,1.6,0.1,0.0,25.0,0,100,8191,85.74,25.2
12/1/2023 12:30,0,0,446,842.6,0.000,0,0,294,2.18,6.82,21.9,0.916,85.88,1.5,0.0,0.0,25.4,0,100,8204,85.74,25.9
12/1/2023 12:45,0,0,446,770.9,0.000,0,0,283,1.76,5.82,22.2,0.903,85.89,1.6,0.0,0.0,25.5,0,100,8216,85.74,26.4
12/1/2023 13:00,0,0,446,839.3,0.000,0,0,240,1.89,5.11,22.6,0.873,85.88,1.5,0.0,0.0,25.8,0,100,8229,85.73,26.9
12/1/2023 13:15,0,0,445,823.1,0.000,0,0,264,1.84,6.43,22.7,0.879,85.86,1.6,0.0,0.0,26.2,0,100,8238,85.72,27.6
12/1/2023 13:30,0,0,447,634.7,0.000,0,0,264,1.62,6.66,22.0,0.898,85.87,1.6,0.0,0.0,26.0,0,100,8246,85.71,27.8
12/1/2023 13:45,0,0,447,652.9,0.000,0,0,253,1.50,4.35,22.1,0.898,85.87,1.6,0.0,0.0,25.5,0,100,8251,85.71,27.5
12/1/2023 14:00,0,0,447,610.9,0.000,0,0,251,1.23,3.34,22.1,0.908,85.86,1.6,0.0,0.0,25.6,0,100,8260,85.70,27.8
12/1/2023 14:15,0,0,447,578.6,0.000,0,0,237,1.43,5.06,22.1,0.899,85.85,1.6,0.0,0.0,25.5,0,100,8264,85.68,27.8
12/1/2023 14:30,0,0,447,571.1,0.000,0,0,230,1.60,4.37,22.2,0.895,85.85,1.5,0.0,0.0,25.5,0,100,8271,85.69,27.9
12/1/2023 14:45,0,0,447,521.1,0.000,0,0,297,1.25,4.83,22.0,0.911,85.85,1.6,0.0,0.0,25.5,0,100,8278,85.68,28.1
12/1/2023 15:00,0,0,448,450.9,0.000,0,0,284,0.98,3.14,21.9,0.913,85.84,1.6,0.0,0.0,25.5,0,100,8280,85.68,28.3
12/1/2023 15:15,0,0,448,393.5,0.000,0,0,258,1.09,3.92,21.7,0.911,85.84,1.6,0.0,0.0,25.3,0,100,8286,85.68,28.2
12/1/2023 15:30,0,0,448,363.6,0.000,0,0,288,1.16,3.99,21.4,0.905,85.84,1.6,0.0,0.0,25.0,0,100,8286,85.67,27.9
12/1/2023 15:45,0,0,449,240.7,0.000,0,0,282,1.03,3.11,21.0,0.906,85.85,1.6,0.0,0.0,24.3,0,100,8284,85.67,27.5
12/1/2023 16:00,0,0,449,233.6,0.000,0,0,261,1.35,3.78,20.8,0.899,85.86,1.6,0.0,0.0,23.6,0,100,8286,85.68,26.6
12/1/2023 16:15,0,0,450,197.3,0.000,0,0,303,1.20,2.93,20.5,0.913,85.87,1.6,0.1,0.0,23.0,0,100,8289,85.69,26.1
12/1/2023 16:30,0,0,450,147.3,0.000,0,0,229,1.05,3.03,20.4,0.918,85.88,1.5,0.0,0.0,22.6,0,100,8291,85.70,25.6
12/1/2023 16:45,9,0,450,132.2,0.000,0,0,260,1.06,3.32,20.3,0.924,85.91,1.5,0.0,0.0,22.1,0,100,8287,85.72,25.2
12/1/2023 17:00,13,0,451,63.7,0.000,0,0,209,1.06,2.82,20.0,0.936,85.93,1.5,0.0,0.0,21.5,0,100,8280,85.74,24.6
12/1/2023 17:15,15,0,453,24.1,0.000,0,0,249,1.20,3.33,18.8,0.959,85.95,1.5,0.1,0.0,20.2,0,100,8271,85.76,22.9
12/1/2023 17:30,15,0,454,1.7,0.000,0,0,315,1.12,4.70,18.2,0.952,85.96,1.5,0.1,0.0,18.8,0,100,8266,85.77,20.9
12/1/2023 17:45,15,0,455,0.0,0.000,0,0,267,1.19,4.02,17.7,0.946,85.96,1.4,0.1,0.0,17.9,0,100,8263,85.77,19.5
12/1/2023 18:00,15,0,456,0.0,0.000,0,0,289,1.27,4.03,17.4,0.941,85.96,1.4,0.1,0.0,17.3,0,100,8259,85.78,18.4
12/1/2023 18:15,15,7,467,0.0,0.000,0,0,259,1.25,3.38,17.0,0.950,85.96,1.4,0.1,0.0,16.8,0,100,8254,85.78,17.6
12/1/2023 18:30,15,15,485,0.0,0.000,0,0,310,1.21,4.68,16.8,0.957,85.96,1.4,0.1,0.0,16.4,0,100,8251,85.78,16.9
12/1/2023 18:45,15,15,504,0.0,0.000,0,0,299,1.30,4.01,16.6,0.959,85.97,1.4,0.1,0.0,16.2,0,100,8251,85.79,16.5
12/1/2023 19:00,15,15,523,0.0,0.000,0,0,280,1.23,3.92,16.4,0.960,85.98,1.4,0.2,0.0,15.9,0,100,8248,85.80,16.0
12/1/2023 19:15,15,15,543,0.0,0.000,0,0,278,0.90,2.44,16.2,0.959,85.98,1.5,0.1,0.0,15.7,0,100,8245,85.80,15.7
12/1/2023 19:30,15,15,561,0.0,0.000,0,0,311,1.02,4.22,16.0,0.956,85.99,1.5,0.2,0.0,15.4,0,100,8242,85.81,15.3
12/1/2023 19:45,15,15,567,0.0,0.000,0,0,311,1.07,2.97,15.9,0.941,85.99,1.4,0.1,0.0,15.2,0,100,8241,85.81,15.0
12/1/2023 20:00,15,15,553,0.0,0.000,0,0,288,0.97,2.67,16.1,0.911,86.01,1.5,0.1,0.0,15.2,0,100,8241,85.83,14.8
12/1/2023 20:15,15,15,539,0.0,0.000,0,0,278,0.86,3.09,15.9,0.906,86.02,1.5,0.1,0.0,15.1,0,100,8239,85.84,14.7
12/1/2023 20:30,15,15,508,0.0,0.000,0,0,282,1.15,3.62,16.0,0.883,86.02,1.4,0.1,0.0,15.0,0,100,8235,85.84,14.5
12/1/2023 20:45,15,15,483,0.0,0.000,0,0,289,1.09,2.74,16.1,0.887,86.02,1.5,0.1,0.0,15.2,0,100,8234,85.85,14.6
12/1/2023 21:00,15,15,473,0.0,0.000,0,0,283,1.01,4.98,16.0,0.902,86.04,1.5,0.1,0.0,15.2,0,100,8232,85.86,14.6
12/1/2023 21:15,15,15,473,0.0,0.000,0,0,282,1.01,3.14,15.9,0.924,86.04,1.4,0.1,0.0,15.2,0,100,8230,85.87,14.5
12/1/2023 21:30,15,15,480,0.0,0.000,0,0,282,1.28,4.09,15.9,0.947,86.03,1.4,0.2,0.0,15.1,0,100,8230,85.86,14.6
12/1/2023 21:45,15,15,483,0.0,0.000,0,0,282,1.41,5.40,16.0,0.954,86.03,1.5,0.1,0.0,15.2,0,100,8228,85.85,14.8
12/1/2023 22:00,15,15,487,0.0,0.000,0,0,293,1.44,4.19,16.1,0.958,86.01,1.5,0.1,0.0,15.4,0,100,8226,85.83,14.9
12/1/2023 22:15,15,15,490,0.0,0.000,0,0,280,1.50,4.08,16.2,0.965,85.99,1.5,0.1,0.0,15.5,0,100,8226,85.82,15.1
12/1/2023 22:30,15,15,499,0.0,0.000,0,0,258,1.13,4.60,16.2,0.970,85.99,1.4,0.1,0.0,15.6,0,100,8224,85.82,15.2
12/1/2023 22:45,15,15,508,0.0,0.017,0,0,276,1.37,5.38,16.2,0.975,85.98,1.4,0.1,1.0,15.6,0,100,8222,85.81,15.2
12/1/2023 23:00,15,15,505,0.0,0.000,0,0,289,1.78,4.51,16.3,0.963,85.96,1.5,0.1,0.0,15.7,0,100,8219,85.79,15.3
12/1/2023 23:15,15,15,512,0.0,0.017,0,0,289,1.34,4.67,16.3,0.969,85.95,1.4,0.1,1.0,15.7,0,100,8219,85.77,15.3
12/1/2023 23:30,15,15,523,0.0,0.017,0,0,331,1.28,4.43,16.3,0.972,85.93,1.5,0.1,1.0,15.7,0,100,8217,85.76,15.3
12/1/2023 23:45,15,15,522,0.0,0.000,0,0,277,1.70,4.49,16.3,0.965,85.92,1.4,0.1,0.0,15.6,0,100,8215,85.75,15.3
12/2/2023 0:00,15,15,518,0.0,0.000,0,0,304,1.66,4.79,16.4,0.959,85.90,1.4,0.1,0.0,15.7,0,100,8216,85.72,15.3
12/2/2023 0:15,15,15,513,0.0,0.000,0,0,267,1.70,4.82,16.5,0.952,85.90,1.4,0.1,0.0,15.9,0,100,8194,85.73,15.6
12/2/2023 0:30,15,15,509,0.0,0.017,0,0,279,1.80,4.36,16.4,0.934,85.89,1.5,0.1,1.0,15.8,0,100,8200,85.71,15.5
12/2/2023 0:45,15,15,508,0.0,0.000,0,0,294,1.94,5.57,16.4,0.960,85.88,1.5,0.1,0.0,15.8,0,100,8202,85.71,15.5
12/2/2023 1:00,15,15,505,0.0,0.000,0,0,277,1.89,4.54,16.3,0.963,85.87,1.5,0.1,0.0,15.8,0,100,8201,85.69,15.5
12/2/2023 1:15,15,15,498,0.0,0.017,0,0,274,1.81,4.22,16.4,0.951,85.86,1.5,0.1,1.0,15.8,0,100,8200,85.69,15.4
12/2/2023 1:30,15,15,495,0.0,0.000,0,0,288,1.91,5.56,16.5,0.955,85.87,1.5,0.1,0.0,15.8,0,100,8199,85.69,15.4
12/2/2023 1:45,15,15,498,0.0,0.017,0,0,288,1.41,4.33,16.4,0.966,85.86,1.5,0.1,1.0,15.8,0,100,8197,85.69,15.5
12/2/2023 2:00,15,15,501,0.0,0.000,0,0,280,1.96,5.66,16.5,0.965,85.85,1.5,0.3,0.0,15.9,0,100,8195,85.68,15.5
12/2/2023 2:15,15,15,507,0.0,0.000,0,0,276,1.72,6.28,16.6,0.970,85.86,1.4,0.1,0.0,15.9,0,100,8194,85.69,15.6
12/2/2023 2:30,15,15,503,0.0,0.017,0,0,284,1.96,4.35,16.8,0.961,85.85,1.4,0.1,1.0,16.1,0,100,8194,85.69,15.7
12/2/2023 2:45,15,15,510,0.0,0.000,0,0,249,1.29,3.46,16.5,0.969,85.86,1.4,0.0,0.0,16.0,0,100,8191,85.69,15.6
12/2/2023 3:00,15,15,515,0.0,0.017,0,0,261,1.17,3.40,16.3,0.970,85.87,1.4,0.1,1.0,15.8,0,100,8190,85.70,15.5
12/2/2023 3:15,15,15,524,0.0,0.000,0,0,283,1.04,3.04,16.2,0.979,85.88,1.4,0.1,0.0,15.7,0,100,8189,85.71,15.5
12/2/2023 3:30,15,15,533,0.0,0.017,0,0,230,1.00,3.09,16.2,0.979,85.89,1.4,0.2,1.0,15.7,0,100,8189,85.72,15.5
12/2/2023 3:45,15,15,554,0.0,0.000,0,0,244,1.21,2.87,16.1,0.985,85.90,1.4,0.1,0.0,15.6,0,100,8185,85.73,15.4
12/2/2023 4:00,15,15,573,0.0,0.017,0,0,269,1.30,3.13,15.9,0.985,85.91,1.5,0.1,1.0,15.5,0,100,8185,85.74,15.2
12/2/2023 4:15,15,15,594,0.0,0.000,0,0,292,1.28,4.04,15.8,0.981,85.93,1.5,0.1,0.0,15.3,0,100,8185,85.76,15.1
12/2/2023 4:30,15,15,615,0.0,0.017,0,0,268,1.13,5.13,15.8,0.973,85.93,1.4,0.2,1.0,15.2,0,100,8184,85.76,14.9
12/2/2023 4:45,15,15,637,0.0,0.000,0,0,286,1.27,4.01,15.8,0.972,85.94,1.5,0.1,0.0,15.1,0,100,8181,85.77,14.8
12/2/2023 5:00,15,15,661,0.0,0.017,0,0,286,1.34,3.73,15.8,0.966,85.94,1.4,0.1,1.0,15.1,0,100,8178,85.77,14.8
12/2/2023 5:15,15,15,679,0.0,0.000,0,0,282,1.42,4.11,15.9,0.968,85.97,1.4,0.2,0.0,15.2,0,100,8180,85.80,14.9
12/2/2023 5:30,15,15,693,0.0,0.017,0,0,257,1.12,3.36,15.9,0.973,85.97,1.4,0.1,1.0,15.2,0,100,8179,85.80,14.9
12/2/2023 5:45,15,15,706,2.6,0.000,0,0,250,1.43,5.07,15.8,0.973,85.98,1.4,0.1,0.0,15.2,0,100,8175,85.81,14.9
