Tree,Station,Variable,Start,End,Apply.to.instrument,Apply.to.datalogger,Note
ET6,S2,Solar,2023-03-24 16:00:00,2023-04-19 18:45:00,Yes,Yes,Datalogger out
ET3,S2,Solar,2023-03-27 08:30:00,2023-04-13 05:00:00,Yes,Yes,Datalogger out
ET3,S2,Solar,2023-06-12 17:45:00,2023-07-26 16:00:00,Yes,Yes,Datalogger out
ET3,S5,Temp,2023-01-28 01:45:00,2023-02-09 16:15:00,Yes,No,"Instrument out, then long pole moved"
ET6,S4,Temp,2023-01-10 21:45:00,2023-01-19 19:15:00,Yes,No,Instrument out
ET6,S4,LWS_Count,2022-12-05 23:30:00,2023-01-20 05:30:00,Yes,No,Instrument out
ET6,S4,LWS_Count,2023-02-08 01:30:00,2023-02-23 22:00:00,Yes,No,Instrument out
ET6,S4,Wind_speed,2023-03-24 11:15:00,2023-04-20 01:45:00,Yes,No,Instrument out
ET8,S5,LWS_Count,2023-06-24 16:30:00,2023-08-19 17:15:00,Yes,No,Instrument fritzing
ET8,S5,Temp,2023-07-21 13:15:00,2023-08-16 21:45:00,Yes,No,Instrument out
FB2,S3,Solar,2023-01-25 04:30:00,2023-02-14 15:30:00,Yes,No,Instrument out
FB2,S3,Wind_speed,2023-01-25 02:45:00,2023-02-14 19:45:00,Yes,No,Instrument out
FB2,S3,Wind_speed,2023-05-01 19:45:00,2023-06-06 19:30:00,Yes,No,Instrument out
FB3,S1,Temp,2023-04-07 22:15:00,2023-04-18 23:00:00,Yes,No,Instrument out
FB3,S1,LWS_Count,2023-05-09 06:15:00,2023-05-13 15:30:00,Yes,No,Instrument fritzing
FB4,S4,Solar,2023-02-10 01:00:00,2023-05-11 02:15:00,Yes,No,Instrument out
FB4,S4,Solar,2023-05-25 03:45:00,2023-07-05 21:15:00,Yes,No,Instrument out
FB4,S4,Temp,2023-05-24 22:00:00,2023-07-06 00:30:00,Yes,No,Instrument out
FB5,S5,Temp,2023-01-23 01:00:00,2023-03-06 17:15:00,Yes,No,"Instrument out, then long pole moved"
FB6,S5,Temp,2023-01-27 09:15:00,2023-02-28 18:00:00,Yes,No,Instrument out
FB6,S5,LWS_Count,2023-02-03 14:00:00,2023-03-01 01:00:00,Yes,No,Sensor fritzing
FB7,S1,Solar,2023-06-19 22:30:00,2023-08-17 02:00:00,Yes,No,Sensor fritzing
FB7,S1,LWS_Count,2023-07-01 08:45:00,2023-08-02 19:00:00,Yes,Yes,"Datalogger out, maybe because of fritzing solar"
FB7,S4,Temp,2023-02-19 19:45:00,2023-03-09 19:30:00,Yes,No,Sensor out
FB7,S4,Temp,2023-03-27 02:30:00,2023-04-08 06:45:00,Yes,No,Sensor out
FB7,S4,Temp,2023-04-29 09:15:00,2023-06-09 11:30:00,Yes,No,Sensor out
FB7,S4,Temp,2023-06-26 20:00:00,2023-08-02 18:00:00,Yes,No,Sensor out
FB7,S4,Wind_speed,2023-06-27 14:00:00,2023-09-22 00:30:00,Yes,No,"Sensor out, leading to other datalogger problems"
FB8,S2,Temp,2023-03-03 00:15:00,2023-03-21 04:30:00,Yes,No,Sensor out
TV2,S2,Solar,2023-05-23 17:30:00,2023-05-30 22:30:00,Yes,Yes,Datalogger out
TV2,S2,Solar,2023-06-24 08:30:00,2023-07-25 21:00:00,Yes,Yes,Datalogger out
TV2,S5,LWS_Count,2023-05-10 19:30:00,2024-09-01 16:45:00,Yes,No,LWS went haywire and never recovered; couldn't access because of wasps
TV4,S3,Solar,2023-04-13 03:45:00,2023-05-03 18:00:00,Yes,Yes,Datalogger out
ETP1,S0,LWS_Count,2023-04-17 20:30:00,2023-05-04 21:15:00,Yes,No,Sensor out
FBP2,S0,LWS_Count,2023-05-08 08:00:00,2023-05-13 17:00:00,Yes,No,Sensor fritzing
