ZL.ID,MC.ID,Location,Port,Station,Instrument,Note
z6-16029,ET7_MC3,ET7,3,S3,A14,
z6-16029,ET7_MC3,ET7,4,S3,LWS,
z6-16029,ET7_MC3,ET7,5,S4,A22,
z6-16029,ET7_MC3,ET7,6,NA,,
z6-15978,ET8_MC1,ET8,1,S1,PYR,
z6-15978,ET8_MC1,ET8,2,S1,A22,
z6-15978,ET8_MC1,ET8,3,S1,A14,
z6-15978,ET8_MC1,ET8,4,S1,LWS,
z6-15978,ET8_MC1,ET8,5,S5,A14,
z6-15978,ET8_MC1,ET8,6,S5,LWS,
z6-15946,ET8_MC2,ET8,1,S2,PYR,
z6-15946,ET8_MC2,ET8,2,S4,A22,
z6-15946,ET8_MC2,ET8,3,S2,A14,
z6-15946,ET8_MC2,ET8,4,S2,LWS,
z6-15946,ET8_MC2,ET8,5,CS,EC5,
z6-15946,ET8_MC2,ET8,6,CS,RT1,
z6-15994,ET8_MC3,ET8,1,S3,PYR,
z6-15994,ET8_MC3,ET8,2,S4,PYR,
z6-15994,ET8_MC3,ET8,3,S3,A14,
z6-15994,ET8_MC3,ET8,4,S3,LWS,
z6-15994,ET8_MC3,ET8,5,S4,A14,
z6-15994,ET8_MC3,ET8,6,S4,LWS,
z6-15848,FB1_MC1,FB1,1,S1,PYR,
z6-15848,FB1_MC1,FB1,2,S1,A22,
z6-15848,FB1_MC1,FB1,3,S1,A14,
z6-15848,FB1_MC1,FB1,4,S1,LWS,
z6-15848,FB1_MC1,FB1,5,NA,,
z6-15848,FB1_MC1,FB1,6,S4,LWS,
z6-15908,FB1_MC2,FB1,1,S2,PYR,
z6-15908,FB1_MC2,FB1,2,NA,,
z6-15908,FB1_MC2,FB1,3,S2,A14,
z6-15908,FB1_MC2,FB1,4,S2,LWS,
z6-15908,FB1_MC2,FB1,5,NA,,
z6-15908,FB1_MC2,FB1,6,S4,LWS,
z6-16031,FB1_MC3,FB1,1,S3,PYR,
z6-16031,FB1_MC3,FB1,2,S4,A22,
z6-16031,FB1_MC3,FB1,3,S3,A14,
z6-16031,FB1_MC3,FB1,4,S3,LWS,
z6-16031,FB1_MC3,FB1,5,S4,PYR,
z6-16031,FB1_MC3,FB1,6,S4,A14,
z6-15985,FB2_MC1,FB2,1,S1,PYR,
z6-15985,FB2_MC1,FB2,2,NA,,
z6-15985,FB2_MC1,FB2,3,S1,A14,
z6-15985,FB2_MC1,FB2,4,S1,LWS,
z6-15985,FB2_MC1,FB2,5,CS,EC5,
z6-15985,FB2_MC1,FB2,6,CS,RT1,
z6-15947,FB2_MC2,FB2,1,S2,PYR,
z6-15947,FB2_MC2,FB2,2,S4,PYR,
z6-15947,FB2_MC2,FB2,3,S2,A14,
z6-15947,FB2_MC2,FB2,4,S2,LWS,
z6-15947,FB2_MC2,FB2,5,S4,A14,
