Tree,Station,Variable,Start,End,Apply.to.instrument,Apply.to.datalogger,Note
FB5,S5,LWS_Count,8/17/2022 13:15,2/19/2023 6:30,Yes,No,Long pole broke
FB5,S5,RH,1/23/2023 1:15,3/7/2023 11:45,Yes,No,Long pole broke
FB6,S1,Solar,8/10/2022 9:15,8/19/2022 0:30,Yes,Yes,Datalogger out
FB6,S3,RH,9/20/2022 0:15,10/3/2022 22:30,Yes,No,Sensor fritzing
FB6,S4,LWS_Count,10/3/2022 2:00,10/18/2022 5:30,Yes,No,Sensor out
FB6,S5,LWS_Count,8/19/2022 15:30,10/20/2022 11:15,Yes,No,"Unusual values, probably broken long pole"
FB8,S1,LWS_Count,8/4/2022 10:00,9/1/2022 17:15,Yes,Yes,Datalogger out
FB8,S3,Temp,7/11/2022 18:00,9/1/2022 14:45,Yes,Yes,Datalogger out
TV1,S1,Solar,6/9/2022 12:30,8/10/2022 4:45,Yes,No,Sensor fritzing
TV3,S2,Solar,11/18/2022 16:30,1/5/2023 1:45,Yes,No,Sensor fritzing
TV4,S4,Wind_speed,10/29/2022 9:45,11/18/2022 12:15,Yes,No,Sensor fritzing
FBP2,S0,Solar,10/7/2022 2:15,10/18/2022 1:00,Yes,Yes,Datalogger out
FBP2,S0,LWS_Count,12/11/2022 17:15,1/4/2023 19:00,Yes,No,Sensor out
ET6,S2,Solar,3/24/2023 16:00,4/19/2023 18:45,Yes,Yes,Datalogger out
ET3,S2,Solar,3/27/2023 8:30,4/13/2023 5:00,Yes,Yes,Datalogger out
ET3,S2,Solar,6/12/2023 17:45,7/26/2023 16:00,Yes,Yes,Datalogger out
ET3,S5,Temp,1/28/2023 1:45,2/9/2023 16:15,Yes,No,"Instrument out, then long pole moved"
ET6,S4,Temp,1/10/2023 21:45,1/19/2023 19:15,Yes,No,Instrument out
ET6,S4,LWS_Count,12/5/2022 23:30,1/20/2023 5:30,Yes,No,Instrument out
ET6,S4,LWS_Count,2/8/2023 1:30,2/23/2023 22:00,Yes,No,Instrument out
ET6,S4,Wind_speed,3/24/2023 11:15,4/20/2023 1:45,Yes,No,Instrument out
ET8,S5,LWS_Count,6/24/2023 16:30,8/19/2023 17:15,Yes,No,Instrument fritzing
ET8,S5,Temp,7/21/2023 13:15,8/16/2023 21:45,Yes,No,Instrument out
FB2,S3,Solar,1/25/2023 4:30,2/14/2023 15:30,Yes,No,Instrument out
FB2,S3,Wind_speed,1/25/2023 2:45,2/14/2023 19:45,Yes,No,Instrument out
FB2,S3,Wind_speed,5/1/2023 19:45,6/6/2023 19:30,Yes,No,Instrument out
FB3,S1,Temp,4/7/2023 22:15,4/18/2023 23:00,Yes,No,Instrument out
FB3,S1,LWS_Count,5/9/2023 6:15,5/13/2023 15:30,Yes,No,Instrument fritzing
FB4,S4,Solar,2/10/2023 1:00,5/11/2023 2:15,Yes,No,Instrument out
FB4,S4,Solar,5/25/2023 3:45,7/5/2023 21:15,Yes,No,Instrument out
FB4,S4,Temp,5/24/2023 22:00,7/6/2023 0:30,Yes,No,Instrument out
FB5,S5,Temp,1/23/2023 1:00,3/6/2023 17:15,Yes,No,"Instrument out, then long pole moved"
FB6,S5,Temp,1/27/2023 9:15,2/28/2023 18:00,Yes,No,Instrument out
FB6,S5,LWS_Count,2/3/2023 14:00,3/1/2023 1:00,Yes,No,Sensor fritzing
FB7,S1,Solar,6/19/2023 22:30,8/17/2023 2:00,Yes,No,Sensor fritzing
FB7,S1,LWS_Count,7/1/2023 8:45,8/2/2023 19:00,Yes,Yes,"Datalogger out, maybe because of fritzing solar"
FB7,S4,Temp,2/19/2023 19:45,3/9/2023 19:30,Yes,No,Sensor out
FB7,S4,Temp,3/27/2023 2:30,4/8/2023 6:45,Yes,No,Sensor out
FB7,S4,Temp,4/29/2023 9:15,6/9/2023 11:30,Yes,No,Sensor out
FB7,S4,Temp,6/26/2023 20:00,8/2/2023 18:00,Yes,No,Sensor out
