Tree,Station,Timestamp,Solar,Temp,RH,Atmos_pressure,LW_minutes,LW_minutes_H,LWS_Count,Wind_direction,Wind_speed,Gust_speed,Precip_max,Precipitation
FBP2,S0,2022-07-19T14:15:00Z,337.4,19.1,0.976,85.91,0,0,445,44,3.13,6.48,0,0
FBP2,S0,2022-07-19T14:30:00Z,269.8,19.3,0.964,85.91,0,0,445,40,2.74,7.04,0,0
FBP2,S0,2022-07-19T14:45:00Z,139.1,19.1,0.973,85.91,4,3,686,21,2.41,5.38,0,0
FBP2,S0,2022-07-19T15:00:00Z,115,18.8,0.99,85.9,15,15,902,19,3.18,6.09,7.1,0.494
FBP2,S0,2022-07-19T15:15:00Z,85.4,18.8,0.988,85.88,15,15,810,19,3.38,6.66,8.2,0.391
FBP2,S0,2022-07-19T15:30:00Z,81,18.8,0.992,85.87,15,15,787,34,3.73,8.43,6.1,0.34
FBP2,S0,2022-07-19T15:45:00Z,60.7,18.8,0.991,85.88,15,15,666,35,3.22,7.74,12.2,1.549
FBP2,S0,2022-07-19T16:00:00Z,52,18.8,0.993,85.88,15,15,810,15,3.64,7.04,30.6,3.043
FBP2,S0,2022-07-19T16:15:00Z,18.4,18.8,0.991,85.9,15,15,983,37,3.62,7.27,21.4,1.106
FBP2,S0,2022-07-19T16:30:00Z,19.6,18.8,0.991,85.89,15,15,678,38,4.14,8.26,5.1,0.443
FBP2,S0,2022-07-19T16:45:00Z,29.3,18.7,0.999,85.89,15,15,882,17,4.62,9.35,0,0
FBP2,S0,2022-07-19T17:00:00Z,23.1,18.7,0.996,85.88,15,15,890,32,4.19,8.04,1,0.034
FBP2,S0,2022-07-19T17:15:00Z,17.1,18.6,0.998,85.91,15,15,801,27,5.06,9.69,2,0.102
FBP2,S0,2022-07-19T17:30:00Z,21.4,18.6,0.996,85.9,15,15,847,41,3.71,9.14,1,0.017
FBP2,S0,2022-07-19T17:45:00Z,3.3,18.6,0.996,85.92,15,15,838,33,3.11,8.76,10.2,0.681
FBP2,S0,2022-07-19T18:00:00Z,0.9,18.6,0.996,85.92,15,15,699,24,5.24,12.79,28.6,2.209
FBP2,S0,2022-07-19T18:15:00Z,0,18.1,0.997,85.95,15,15,804,35,4.34,9.16,32.6,2.702
FBP2,S0,2022-07-19T18:30:00Z,0,18.3,0.994,85.98,15,15,777,46,4.12,8.04,0,0
FBP2,S0,2022-07-19T18:45:00Z,0,18.2,0.997,86,15,15,757,33,3.9,6.79,1,0.017
FBP2,S0,2022-07-19T19:00:00Z,0,18,0.997,86,15,15,754,25,3.15,6.03,0,0
FBP2,S0,2022-07-19T19:15:00Z,0,17.8,0.998,85.99,15,15,736,34,4.35,8.28,0,0
FBP2,S0,2022-07-19T19:30:00Z,0,17.7,0.997,85.99,15,15,595,39,6.01,10.68,0,0
