Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H
TV3,MC3,2023-06-01T11:30:00Z,0.873,85.17,0.32,21,222.8,15,452,0
TV3,MC3,2023-06-01T11:45:00Z,0.872,85.16,0.33,21.4,214.1,15,452,0
TV3,MC3,2023-06-01T12:00:00Z,0.867,85.15,0.34,21.4,259.1,15,452,0
TV3,MC3,2023-06-01T12:15:00Z,0.843,85.13,0.41,21.7,319.5,15,451,0
TV3,MC3,2023-06-01T12:30:00Z,0.836,85.11,0.44,22.2,671.4,11,450,0
TV3,MC3,2023-06-01T12:45:00Z,0.843,85.1,0.41,21.6,174.7,13,452,0
TV3,MC3,2023-06-01T13:00:00Z,0.867,85.08,0.34,21.5,147.4,15,452,0
TV3,MC3,2023-06-01T13:15:00Z,0.895,85.07,0.27,21.3,160.4,15,452,0
TV3,MC3,2023-06-01T13:30:00Z,0.896,85.07,0.27,21.6,140.8,15,452,0
TV3,MC3,2023-06-01T13:45:00Z,0.907,85.05,0.23,21.1,85.1,15,530,3
TV3,MC3,2023-06-01T14:00:00Z,0.938,85.04,0.15,20.5,55.8,15,667,15
TV3,MC3,2023-06-01T14:15:00Z,0.957,85.04,0.1,19.7,26.7,15,878,15
TV3,MC3,2023-06-01T14:30:00Z,0.973,85.03,0.06,19.4,51.5,15,833,15
TV3,MC3,2023-06-01T14:45:00Z,0.977,85.02,0.05,19.1,89.7,15,609,15
TV3,MC3,2023-06-01T15:00:00Z,0.982,84.99,0.04,19.6,228.7,15,558,15
TV3,MC3,2023-06-01T15:15:00Z,0.977,84.98,0.06,20.2,130.4,15,547,15
TV3,MC3,2023-06-01T15:30:00Z,0.97,84.98,0.07,19.8,69.6,15,542,15
TV3,MC3,2023-06-01T15:45:00Z,0.974,84.99,0.06,19.4,42.1,15,537,15
TV3,MC3,2023-06-01T16:00:00Z,0.976,84.98,0.05,19.2,19.8,15,1021,15
TV3,MC3,2023-06-01T16:15:00Z,0.981,84.99,0.04,18.9,14.6,15,787,15
TV3,MC3,2023-06-01T16:30:00Z,0.985,85,0.03,18.5,30.4,15,723,15
TV3,MC3,2023-06-01T16:45:00Z,0.989,85,0.02,18.4,30,15,648,15
TV3,MC3,2023-06-01T17:00:00Z,0.992,84.99,0.02,18.4,20.9,15,607,15
TV3,MC3,2023-06-01T17:15:00Z,0.993,84.98,0.02,18.4,21.4,15,608,15
TV3,MC3,2023-06-01T17:30:00Z,0.995,84.99,0.01,18.3,10.4,15,663,15
TV3,MC3,2023-06-01T17:45:00Z,0.997,85.02,0.01,18.4,3.5,15,643,15
TV3,MC3,2023-06-01T18:00:00Z,0.998,85.04,0,18.3,0,15,641,15
TV3,MC3,2023-06-01T18:15:00Z,0.999,85.05,0,18.2,0,15,638,15
TV3,MC3,2023-06-01T18:30:00Z,0.998,85.06,0,18.1,0,15,667,15
TV3,MC3,2023-06-01T18:45:00Z,1,85.07,0,18.2,0,15,719,15
TV3,MC3,2023-06-01T19:00:00Z,1,85.1,0,18.1,0,15,648,15
TV3,MC3,2023-06-01T19:15:00Z,1,85.13,0,18,0,15,633,15
TV3,MC3,2023-06-01T19:30:00Z,0.999,85.13,0,17.9,0,15,773,15
TV3,MC3,2023-06-01T19:45:00Z,1,85.13,0,18.1,0,15,802,15
TV3,MC3,2023-06-01T20:00:00Z,0.999,85.15,0,18.2,0,15,781,15
TV3,MC3,2023-06-01T20:15:00Z,0.999,85.15,0,18.2,0,15,816,15
TV3,MC3,2023-06-01T20:30:00Z,0.999,85.16,0,18.2,0,15,754,15
