Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes
FB7,MC3,2023-05-31T18:45:00Z,17.7,0.953,86.32,0.1,-1.7,0.58,176,17.9,-2.8,1.76,0,453,0,15
FB7,MC3,2023-05-31T19:00:00Z,17.7,0.953,86.35,0.1,-1.7,0.41,178,17.9,-2.8,1.23,0,453,0,15
FB7,MC3,2023-05-31T19:15:00Z,17.7,0.953,86.38,0.1,-1.7,0.47,165,17.9,-2.8,1.98,0,453,0,15
FB7,MC3,2023-05-31T19:30:00Z,17.7,0.953,86.39,0.1,-1.6,0.45,167,17.9,-2.8,1.45,0,453,0,15
FB7,MC3,2023-05-31T19:45:00Z,17.7,0.951,86.41,0.1,-1.7,0.47,185,17.9,-2.8,1.29,0,453,0,15
FB7,MC3,2023-05-31T20:00:00Z,17.8,0.936,86.43,0.13,-1.6,0.32,158,18,-2.9,1.24,0,453,0,15
FB7,MC3,2023-05-31T20:15:00Z,17.9,0.912,86.44,0.18,-1.7,0.32,173,18.1,-2.8,0.94,0,459,0,15
FB7,MC3,2023-05-31T20:30:00Z,18,0.91,86.45,0.19,-1.7,0.32,170,18.1,-2.9,0.93,0,453,0,15
FB7,MC3,2023-05-31T20:45:00Z,18,0.919,86.46,0.17,-1.7,0.35,181,18.1,-2.9,1.01,0,463,5,15
FB7,MC3,2023-05-31T21:00:00Z,18,0.932,86.46,0.14,-1.7,0.35,184,18,-2.9,1.22,0,455,8,15
FB7,MC3,2023-05-31T21:15:00Z,17.9,0.944,86.46,0.12,-1.6,0.38,178,18,-2.8,0.92,0,472,13,15
FB7,MC3,2023-05-31T21:30:00Z,17.8,0.95,86.47,0.1,-1.6,0.37,180,17.9,-2.8,1.44,0,459,14,15
FB7,MC3,2023-05-31T21:45:00Z,17.9,0.957,86.48,0.09,-1.7,0.3,175,18,-2.8,1.01,0,480,7,15
FB7,MC3,2023-05-31T22:00:00Z,17.9,0.957,86.48,0.09,-1.6,0.3,178,18,-2.8,0.79,0,750,15,15
FB7,MC3,2023-05-31T22:15:00Z,17.8,0.966,86.48,0.07,-1.6,0.36,179,17.8,-2.7,0.98,0,828,15,15
FB7,MC3,2023-05-31T22:30:00Z,17.6,0.978,86.48,0.04,-1.6,0.4,182,17.8,-2.8,1.28,0,789,15,15
FB7,MC3,2023-05-31T22:45:00Z,17.7,0.982,86.49,0.04,-1.6,0.33,178,17.7,-2.6,1.27,0,981,15,15
FB7,MC3,2023-05-31T23:00:00Z,17.6,0.987,86.47,0.03,-1.6,0.28,160,17.5,-2.5,0.84,0,882,15,15
FB7,MC3,2023-05-31T23:15:00Z,17.5,0.992,86.47,0.02,-1.6,0.28,175,17.6,-2.5,0.92,0,938,15,15
FB7,MC3,2023-05-31T23:30:00Z,17.7,0.995,86.46,0.01,-1.6,0.37,172,17.7,-2.5,1.44,0,933,15,15
FB7,MC3,2023-05-31T23:45:00Z,17.8,0.997,86.45,0.01,-1.6,0.44,175,17.8,-2.5,1.03,0,877,15,15
FB7,MC3,2023-06-01T00:00:00Z,17.7,0.999,86.44,0,-1.6,0.49,178,17.7,-2.5,1.68,0,790,15,15
FB7,MC3,2023-06-01T00:15:00Z,17.6,1,86.42,0,-1.6,0.54,180,17.7,-2.6,1.97,0,811,15,15
FB7,MC3,2023-06-01T00:30:00Z,17.7,1,86.4,0,-1.6,0.66,182,17.7,-2.6,2.52,0,791,15,15
FB7,MC3,2023-06-01T00:45:00Z,17.6,1,86.37,0,-1.6,0.64,175,17.6,-2.6,1.89,0,872,15,15
FB7,MC3,2023-06-01T01:00:00Z,17.7,1,86.37,0,-1.6,0.6,170,17.8,-2.6,2.37,0,854,15,15
FB7,MC3,2023-06-01T01:15:00Z,17.7,1,86.33,0,-1.6,0.5,178,17.8,-2.6,1.63,0,828,15,15
FB7,MC3,2023-06-01T01:30:00Z,17.6,1.001,86.3,0,-1.6,0.48,181,17.7,-2.6,1.47,0,798,15,15
FB7,MC3,2023-06-01T01:45:00Z,17.5,1,86.27,0,-1.6,0.51,173,17.6,-2.6,1.27,0,788,15,15
FB7,MC3,2023-06-01T02:00:00Z,17.4,1.001,86.25,0,-1.6,0.55,177,17.5,-2.5,1.73,0,779,15,15
FB7,MC3,2023-06-01T02:15:00Z,17.3,1.001,86.24,0,-1.6,0.42,169,17.4,-2.6,1.19,0,772,15,15
FB7,MC3,2023-06-01T02:30:00Z,17.3,0.999,86.23,0,-1.6,0.48,173,17.4,-2.6,1.43,0,876,15,15
FB7,MC3,2023-06-01T02:45:00Z,17.2,1,86.23,0,-1.5,0.47,175,17.3,-2.6,1.26,0,830,15,15
FB7,MC3,2023-06-01T03:00:00Z,17.1,1.001,86.21,0,-1.6,0.55,176,17.2,-2.6,1.73,0,766,15,15
FB7,MC3,2023-06-01T03:15:00Z,17.1,1,86.2,0,-1.6,0.49,174,17.2,-2.6,1.8,0,741,15,15
FB7,MC3,2023-06-01T03:30:00Z,17,1,86.2,0,-1.6,0.57,176,17.2,-2.5,1.89,0,758,15,15
FB7,MC3,2023-06-01T03:45:00Z,17.1,1,86.2,0,-1.6,0.56,175,17.3,-2.5,1.4,0,727,15,15
FB7,MC3,2023-06-01T04:00:00Z,17.2,1,86.2,0,-1.6,0.57,177,17.4,-2.6,1.83,0,711,15,15
FB7,MC3,2023-06-01T04:15:00Z,17.2,1,86.22,0,-1.6,0.52,177,17.4,-2.6,1.29,0,700,15,15
FB7,MC3,2023-06-01T04:30:00Z,17.3,1,86.22,0,-1.6,0.42,176,17.4,-2.6,1.28,0,688,15,15
FB7,MC3,2023-06-01T04:45:00Z,17.3,1,86.23,0,-1.6,0.54,181,17.7,-2.6,1.71,0,659,15,15
FB7,MC3,2023-06-01T05:00:00Z,17.6,0.993,86.24,0.01,-1.6,0.53,185,18,-2.6,1.26,0,648,15,15
FB7,MC3,2023-06-01T05:15:00Z,17.9,0.946,86.26,0.11,-1.6,0.53,179,18.2,-2.6,1.3,0,642,15,15
FB7,MC3,2023-06-01T05:30:00Z,18.2,0.914,86.27,0.18,-1.5,0.61,180,18.4,-2.5,1.75,0,633,15,15
FB7,MC3,2023-06-01T05:45:00Z,18.5,0.891,86.29,0.23,-1.6,0.59,178,18.5,-2.6,1.6,8.4,623,15,15
FB7,MC3,2023-06-01T06:00:00Z,18.6,0.886,86.31,0.24,-1.5,0.61,185,18.6,-2.6,1.47,17.2,615,15,15
FB7,MC3,2023-06-01T06:15:00Z,18.9,0.873,86.34,0.28,-1.5,0.51,179,18.7,-2.6,1.65,25.8,608,15,15
FB7,MC3,2023-06-01T06:30:00Z,18.8,0.885,86.36,0.25,-1.6,0.51,183,18.6,-2.7,1.1,28,602,15,15
FB7,MC3,2023-06-01T06:45:00Z,18.8,0.887,86.37,0.25,-1.6,0.53,188,18.7,-2.6,1.29,35.3,595,15,15
FB7,MC3,2023-06-01T07:00:00Z,18.8,0.888,86.39,0.24,-1.6,0.5,193,18.7,-2.7,1.06,42.7,589,15,15
FB7,MC3,2023-06-01T07:15:00Z,19,0.892,86.4,0.24,-1.6,0.37,194,18.8,-2.7,0.96,61.3,582,15,15
FB7,MC3,2023-06-01T07:30:00Z,19.1,0.898,86.42,0.23,-1.6,0.44,194,19,-2.7,1.05,105.1,573,15,15
FB7,MC3,2023-06-01T07:45:00Z,19.4,0.896,86.44,0.23,-1.6,0.45,179,19.2,-2.7,1.6,118.3,580,15,15
FB7,MC3,2023-06-01T08:00:00Z,19.7,0.897,86.45,0.24,-1.6,0.47,173,19.5,-2.7,1.56,284.4,551,15,15
FB7,MC3,2023-06-01T08:15:00Z,19.8,0.888,86.46,0.26,-1.6,0.51,174,19.6,-2.7,1.39,203.2,535,15,15
FB7,MC3,2023-06-01T08:30:00Z,20,0.894,86.48,0.25,-1.7,0.35,167,19.9,-2.7,1.18,200,516,15,15
FB7,MC3,2023-06-01T08:45:00Z,20.4,0.885,86.49,0.28,-1.7,0.32,163,20.2,-2.7,0.99,182,490,15,15
FB7,MC3,2023-06-01T09:00:00Z,20.8,0.879,86.5,0.3,-1.7,0.31,151,20.6,-2.8,1.03,241.1,451,12,15
FB7,MC3,2023-06-01T09:15:00Z,21.2,0.86,86.49,0.35,-1.7,0.36,164,21,-2.8,0.94,263.9,450,0,6
FB7,MC3,2023-06-01T09:30:00Z,21.7,0.857,86.48,0.37,-1.8,0.32,161,21.6,-2.9,0.76,352.1,448,0,0
FB7,MC3,2023-06-01T09:45:00Z,22.2,0.825,86.48,0.47,-1.8,0.4,168,22,-2.9,1.07,313.1,449,0,0
FB7,MC3,2023-06-01T10:00:00Z,22.5,0.823,86.46,0.48,-1.8,0.35,184,22.9,-2.9,0.98,480.3,447,0,0
FB7,MC3,2023-06-01T10:15:00Z,22.7,0.812,86.46,0.52,-1.8,0.47,178,23,-2.9,1.25,401.4,447,0,0
FB7,MC3,2023-06-01T10:30:00Z,22.7,0.822,86.46,0.49,-1.8,0.44,197,23.3,-2.9,1.27,262.8,449,0,0
FB7,MC3,2023-06-01T10:45:00Z,22.8,0.836,86.44,0.46,-1.8,0.39,180,24,-2.9,1.36,590.7,445,0,0
FB7,MC3,2023-06-01T11:00:00Z,23.4,0.805,86.44,0.56,-1.8,0.56,201,24.2,-3,1.36,437.1,448,0,0
FB7,MC3,2023-06-01T11:15:00Z,23.9,0.786,86.42,0.63,-1.9,0.78,220,24.7,-3,1.86,396.8,446,0,0
FB7,MC3,2023-06-01T11:30:00Z,23.1,0.795,86.41,0.58,-1.9,0.83,232,23.7,-3,1.72,265.9,448,0,0
FB7,MC3,2023-06-01T11:45:00Z,22.6,0.836,86.4,0.45,-1.8,1.05,234,22.8,-3,3.47,149.8,450,0,0
FB7,MC3,2023-06-01T12:00:00Z,22.2,0.876,86.38,0.33,-1.8,0.47,215,23.1,-3,1.08,200.9,449,0,6
FB7,MC3,2023-06-01T12:15:00Z,23,0.855,86.36,0.41,-1.8,0.63,224,23.4,-3,1.1,228.5,449,0,0
FB7,MC3,2023-06-01T12:30:00Z,22.8,0.866,86.35,0.37,-1.8,0.56,15,23.5,-3,3.18,266.1,449,0,0
FB7,MC3,2023-06-01T12:45:00Z,22.6,0.876,86.33,0.34,-1.8,0.46,239,23.1,-3.1,1.09,128.9,450,0,7
FB7,MC3,2023-06-01T13:00:00Z,22.4,0.865,86.31,0.37,-1.8,0.51,207,23.2,-3,1.22,207.8,449,0,11
FB7,MC3,2023-06-01T13:15:00Z,22.7,0.851,86.3,0.41,-1.8,0.39,185,23.4,-3,0.88,178.3,449,0,0
FB7,MC3,2023-06-01T13:30:00Z,22.5,0.851,86.31,0.41,-1.8,0.45,184,23,-3,1.25,180,450,0,4
FB7,MC3,2023-06-01T13:45:00Z,22.8,0.868,86.29,0.36,-1.8,0.86,214,23.3,-3,1.92,297.2,449,0,0
FB7,MC3,2023-06-01T14:00:00Z,22.3,0.874,86.27,0.34,-1.8,0.61,193,22.4,-3,1.44,80.6,801,8,11
FB7,MC3,2023-06-01T14:15:00Z,20.5,0.933,86.28,0.16,-1.7,0.54,178,20.8,-2.7,1.66,46,937,15,15
FB7,MC3,2023-06-01T14:30:00Z,19.7,0.961,86.28,0.09,-1.7,0.38,183,20.1,-2.6,1.27,32.8,895,15,15
FB7,MC3,2023-06-01T14:45:00Z,19.5,0.973,86.24,0.06,-1.7,0.48,175,19.8,-2.6,1.27,125.4,786,15,15
FB7,MC3,2023-06-01T15:00:00Z,19.7,0.976,86.21,0.05,-1.7,0.47,184,20.1,-2.6,1.41,190.4,714,15,15
FB7,MC3,2023-06-01T15:15:00Z,20.3,0.975,86.23,0.06,-1.7,0.37,175,20.7,-2.6,0.97,203.2,705,15,15
