Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes
FB3,MC2,2023-06-01T11:00:00Z,85.95,0.847,0.39,21.2,386.7,0,452,15
FB3,MC2,2023-06-01T11:15:00Z,85.93,0.812,0.49,21.9,258.4,0,452,15
FB3,MC2,2023-06-01T11:30:00Z,85.92,0.812,0.5,22.2,356.1,0,452,15
FB3,MC2,2023-06-01T11:45:00Z,85.92,0.828,0.45,21.8,79.3,0,454,15
FB3,MC2,2023-06-01T12:00:00Z,85.9,0.844,0.4,21.6,213.1,0,452,15
FB3,MC2,2023-06-01T12:15:00Z,85.88,0.817,0.49,22.2,284.9,0,452,15
FB3,MC2,2023-06-01T12:30:00Z,85.86,0.822,0.48,22.4,130.6,0,452,15
FB3,MC2,2023-06-01T12:45:00Z,85.85,0.835,0.43,21.8,67.6,0,454,15
FB3,MC2,2023-06-01T13:00:00Z,85.83,0.86,0.36,21.4,125.2,0,452,15
FB3,MC2,2023-06-01T13:15:00Z,85.82,0.85,0.39,21.6,85.3,0,454,15
FB3,MC2,2023-06-01T13:30:00Z,85.82,0.867,0.34,21.2,99.2,0,454,15
FB3,MC2,2023-06-01T13:45:00Z,85.8,0.873,0.32,21.4,210.4,0,455,15
FB3,MC2,2023-06-01T14:00:00Z,85.8,0.897,0.25,20.6,33.3,6,586,15
FB3,MC2,2023-06-01T14:15:00Z,85.8,0.935,0.15,19.6,24.4,15,795,15
FB3,MC2,2023-06-01T14:30:00Z,85.79,0.955,0.1,19.2,18.1,15,674,15
FB3,MC2,2023-06-01T14:45:00Z,85.75,0.963,0.08,19,80.2,15,584,15
FB3,MC2,2023-06-01T15:00:00Z,85.73,0.965,0.08,19.4,95.9,15,519,15
FB3,MC2,2023-06-01T15:15:00Z,85.75,0.958,0.1,19.8,106.8,15,476,15
FB3,MC2,2023-06-01T15:30:00Z,85.74,0.956,0.1,19.8,80.7,15,461,15
FB3,MC2,2023-06-01T15:45:00Z,85.75,0.951,0.11,19.5,50.9,15,460,15
FB3,MC2,2023-06-01T16:00:00Z,85.75,0.948,0.12,19.4,53.3,6,461,15
FB3,MC2,2023-06-01T16:15:00Z,85.74,0.954,0.1,19.2,21.2,15,766,15
FB3,MC2,2023-06-01T16:30:00Z,85.74,0.965,0.08,18.8,17.6,15,621,15
FB3,MC2,2023-06-01T16:45:00Z,85.73,0.972,0.06,18.5,24.5,15,570,15
FB3,MC2,2023-06-01T17:00:00Z,85.72,0.975,0.05,18.6,25.6,15,679,15
FB3,MC2,2023-06-01T17:15:00Z,85.71,0.976,0.05,18.7,15.7,15,577,15
FB3,MC2,2023-06-01T17:30:00Z,85.73,0.976,0.05,18.6,9.3,15,554,15
FB3,MC2,2023-06-01T17:45:00Z,85.77,0.978,0.05,18.7,2.2,15,664,15
FB3,MC2,2023-06-01T18:00:00Z,85.79,0.98,0.04,18.6,0,15,559,15
FB3,MC2,2023-06-01T18:15:00Z,85.78,0.981,0.04,18.4,0,15,542,15
FB3,MC2,2023-06-01T18:30:00Z,85.79,0.981,0.04,18.3,0,15,535,15
FB3,MC2,2023-06-01T18:45:00Z,85.81,0.984,0.03,18.4,0,15,534,15
FB3,MC2,2023-06-01T19:00:00Z,85.84,0.987,0.03,18.3,0,15,554,15
FB3,MC2,2023-06-01T19:15:00Z,85.86,0.989,0.02,18.2,0,15,536,15
FB3,MC2,2023-06-01T19:30:00Z,85.87,0.991,0.02,18.2,0,15,529,15
FB3,MC2,2023-06-01T19:45:00Z,85.87,0.99,0.02,18.4,0,15,532,15
