Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_ECRN-100_Precip_max,Port6_ECRN-100_Precipitation
FB5,MC2,2023-05-31T18:45:00Z,17.4,0.953,86.15,0.09,2.4,3.9,187,17.6,-2.1,9.03,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T19:00:00Z,17.5,0.952,86.18,0.1,2.2,2.95,190,17.6,-2.5,7.45,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T19:15:00Z,17.6,0.949,86.21,0.1,2.5,2.79,183,17.7,-2.6,7.34,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T19:30:00Z,17.6,0.949,86.22,0.1,2.7,2.78,182,17.7,-2.5,7.04,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T19:45:00Z,17.8,0.936,86.24,0.13,2.4,2.55,175,17.9,-2.5,7.18,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T20:00:00Z,18,0.908,86.26,0.19,2.3,1.87,177,18.1,-2.5,6.93,0,453,0,15,NA,NA
FB5,MC2,2023-05-31T20:15:00Z,18.3,0.872,86.27,0.27,2.3,2.32,176,18.4,-2.5,7.65,0,453,0,15,NA,NA
FB5,MC2,2023-05-31T20:30:00Z,18.3,0.88,86.28,0.25,2.4,2.45,179,18.4,-2.3,5.01,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T20:45:00Z,18.1,0.896,86.3,0.22,2.3,1.96,180,18.2,-2.4,5.38,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T21:00:00Z,17.9,0.918,86.29,0.17,2.5,2.28,184,18,-2.5,6.33,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T21:15:00Z,17.9,0.929,86.29,0.14,2.3,2.47,182,18,-2.4,5.78,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T21:30:00Z,17.8,0.943,86.31,0.12,2.4,1.96,186,17.9,-2.5,4.21,0,454,0,15,NA,NA
FB5,MC2,2023-05-31T21:45:00Z,17.8,0.95,86.32,0.1,2.3,2.04,181,18,-2.5,4.78,0,458,0,15,NA,NA
FB5,MC2,2023-05-31T22:00:00Z,18,0.946,86.32,0.11,2.3,1.73,178,18,-2.4,5.73,0,516,10,15,NA,NA
FB5,MC2,2023-05-31T22:15:00Z,17.7,0.959,86.31,0.08,2.4,2.09,180,17.7,-2.3,4.39,0,752,15,15,NA,NA
FB5,MC2,2023-05-31T22:30:00Z,17.9,0.965,86.31,0.07,2.4,2.74,187,18,-2.6,6.94,0,589,15,15,NA,NA
FB5,MC2,2023-05-31T22:45:00Z,17.8,0.965,86.32,0.07,2.2,1.52,179,17.7,-2.2,4.89,0,776,15,15,NA,NA
FB5,MC2,2023-05-31T23:00:00Z,17.5,0.985,86.31,0.03,2.2,1.47,172,17.4,-2.1,5.13,0,648,15,15,NA,NA
FB5,MC2,2023-05-31T23:15:00Z,17.6,0.989,86.3,0.02,2.2,1.67,181,17.6,-2.2,4.86,0,784,15,15,NA,NA
FB5,MC2,2023-05-31T23:30:00Z,17.8,0.992,86.29,0.02,2.3,2.41,183,17.8,-2,6.48,0,754,15,15,NA,NA
FB5,MC2,2023-05-31T23:45:00Z,17.8,0.991,86.28,0.02,2.6,2.88,187,17.7,-2.1,7.35,0,720,15,15,NA,NA
FB5,MC2,2023-06-01T00:00:00Z,17.8,0.989,86.27,0.02,2.3,4.13,185,17.6,-2.2,9.5,0,592,15,15,NA,NA
FB5,MC2,2023-06-01T00:15:00Z,17.6,0.995,86.26,0.01,2.8,4.77,188,17.6,-2.3,10.27,0,621,15,15,NA,NA
FB5,MC2,2023-06-01T00:30:00Z,17.6,1,86.23,0,3.3,5.18,188,17.6,-2.2,9.66,0,666,15,15,NA,NA
FB5,MC2,2023-06-01T00:45:00Z,17.6,1.001,86.2,0,2.8,4.83,188,17.4,-2.3,8.98,0,695,15,15,NA,NA
FB5,MC2,2023-06-01T01:00:00Z,17.7,1,86.2,0,2.6,3.94,191,17.7,-2.5,7.62,0,654,15,15,NA,NA
FB5,MC2,2023-06-01T01:15:00Z,17.6,1.001,86.17,0,2.7,3.64,183,17.6,-2.7,9.06,0,670,15,15,NA,NA
FB5,MC2,2023-06-01T01:30:00Z,17.5,1,86.13,0,3.1,4.31,187,17.5,-2.4,8.59,0,577,15,15,NA,NA
FB5,MC2,2023-06-01T01:45:00Z,17.4,0.999,86.1,0,2.8,4.06,184,17.4,-2.1,8.41,0,524,15,15,NA,NA
FB5,MC2,2023-06-01T02:00:00Z,17.4,0.999,86.09,0,2.3,4.24,183,17.4,-2.4,7.97,0,497,15,15,NA,NA
FB5,MC2,2023-06-01T02:15:00Z,17.4,1,86.08,0,2.8,3.17,184,17.4,-2.4,8,0,489,15,15,NA,NA
FB5,MC2,2023-06-01T02:30:00Z,17.4,1,86.07,0,2.6,2.64,180,17.5,-2.3,6.13,0,640,15,15,NA,NA
FB5,MC2,2023-06-01T02:45:00Z,17.3,0.998,86.06,0,2.3,3.04,182,17.3,-2.2,6.31,0,719,15,15,NA,NA
FB5,MC2,2023-06-01T03:00:00Z,17.2,0.998,86.05,0,2.5,3.67,180,17.3,-2.7,7.89,0,639,15,15,NA,NA
FB5,MC2,2023-06-01T03:15:00Z,17.2,0.996,86.04,0.01,2.7,3.19,181,17.3,-2.2,7.1,0,575,15,15,NA,NA
FB5,MC2,2023-06-01T03:30:00Z,17.3,0.989,86.03,0.02,2.4,3.55,179,17.4,-2,7.94,0,521,15,15,NA,NA
