Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port5_EpiMoisture,Port6_EpiTemp
FB2,MC1,2023-06-01T09:15:00Z,0.21,0.91,86.23,19.9,115.9,452,15,0,0.109,17.7
FB2,MC1,2023-06-01T09:30:00Z,0.21,0.91,86.22,20.2,132.4,452,15,0,0.108,17.9
FB2,MC1,2023-06-01T09:45:00Z,0.26,0.894,86.2,20.6,134.2,452,15,0,0.108,18.1
FB2,MC1,2023-06-01T10:00:00Z,0.27,0.892,86.19,20.9,174.3,451,15,0,0.107,18.4
FB2,MC1,2023-06-01T10:15:00Z,0.3,0.879,86.19,21,146.5,451,15,0,0.107,18.6
FB2,MC1,2023-06-01T10:30:00Z,0.28,0.888,86.19,20.8,124,452,15,0,0.106,18.8
FB2,MC1,2023-06-01T10:45:00Z,0.27,0.893,86.17,21.1,149,451,15,0,0.106,19
FB2,MC1,2023-06-01T11:00:00Z,0.31,0.88,86.16,21.6,281.6,451,15,0,0.105,19.2
FB2,MC1,2023-06-01T11:15:00Z,0.42,0.848,86.14,22.5,208.9,451,15,0,0.105,19.5
FB2,MC1,2023-06-01T11:30:00Z,0.48,0.83,86.13,23.1,145.8,451,15,0,0.104,19.7
FB2,MC1,2023-06-01T11:45:00Z,0.46,0.832,86.13,22.4,80,451,15,0,0.103,19.9
FB2,MC1,2023-06-01T12:00:00Z,0.34,0.872,86.11,22,141.4,451,15,0,0.102,20
FB2,MC1,2023-06-01T12:15:00Z,0.41,0.848,86.08,22.4,155.1,451,15,0,0.102,20.2
FB2,MC1,2023-06-01T12:30:00Z,0.46,0.832,86.07,22.7,119.4,450,15,0,0.101,20.3
FB2,MC1,2023-06-01T12:45:00Z,0.41,0.847,86.06,22.3,62.4,451,15,0,0.1,20.4
FB2,MC1,2023-06-01T13:00:00Z,0.32,0.879,86.04,22,208,451,15,0,0.099,20.4
FB2,MC1,2023-06-01T13:15:00Z,0.34,0.87,86.03,21.9,141.7,451,15,0,0.099,20.5
FB2,MC1,2023-06-01T13:30:00Z,0.26,0.898,86.03,21.6,83.3,452,15,0,0.098,20.4
FB2,MC1,2023-06-01T13:45:00Z,0.27,0.898,86.01,22.3,167.7,451,15,0,0.098,20.6
FB2,MC1,2023-06-01T14:00:00Z,0.26,0.902,86,21.8,42.3,562,15,3,0.097,20.6
FB2,MC1,2023-06-01T14:15:00Z,0.11,0.955,86.01,20.4,22.2,656,15,15,0.097,20.4
FB2,MC1,2023-06-01T14:30:00Z,0.02,0.993,86,19.6,18.3,585,15,15,0.098,20.2
FB2,MC1,2023-06-01T14:45:00Z,0,0.998,85.98,19.2,63,563,15,15,0.1,20
FB2,MC1,2023-06-01T15:00:00Z,0,1,85.94,19.5,97.4,499,15,15,0.101,20
FB2,MC1,2023-06-01T15:15:00Z,0,0.999,85.96,20,106.9,497,15,15,0.102,20
FB2,MC1,2023-06-01T15:30:00Z,0.01,0.996,85.96,20.1,76.7,492,15,15,0.102,20
FB2,MC1,2023-06-01T15:45:00Z,0.03,0.989,85.96,19.9,54,484,15,15,0.101,20
FB2,MC1,2023-06-01T16:00:00Z,0.02,0.992,85.96,19.8,44.9,481,15,15,0.101,19.9
FB2,MC1,2023-06-01T16:15:00Z,0.01,0.995,85.96,19.5,26.6,614,15,15,0.109,19.9
FB2,MC1,2023-06-01T16:30:00Z,0,1,85.96,18.9,14.6,711,15,15,0.134,19.7
FB2,MC1,2023-06-01T16:45:00Z,0,0.999,85.96,18.6,20.1,572,15,15,0.144,19.5
FB2,MC1,2023-06-01T17:00:00Z,0,1.001,85.94,18.7,24.9,690,15,15,0.141,19.4
FB2,MC1,2023-06-01T17:15:00Z,0,1,85.94,18.8,15.4,582,15,15,0.137,19.2
FB2,MC1,2023-06-01T17:30:00Z,0,1,85.95,18.8,8.8,551,15,15,0.135,19.1
FB2,MC1,2023-06-01T17:45:00Z,0,1.001,85.98,18.8,2,553,15,15,0.133,19.1
FB2,MC1,2023-06-01T18:00:00Z,0,1,86.01,18.7,0,561,15,15,0.132,19
FB2,MC1,2023-06-01T18:15:00Z,0,1,86.01,18.6,0,583,15,15,0.13,18.9
FB2,MC1,2023-06-01T18:30:00Z,0,1,86.02,18.5,0,535,15,15,0.129,18.8
FB2,MC1,2023-06-01T18:45:00Z,0,1.001,86.03,18.4,0,528,15,15,0.128,18.7
FB2,MC1,2023-06-01T19:00:00Z,0,1,86.06,18.4,0,524,15,15,0.127,18.6
FB2,MC1,2023-06-01T19:15:00Z,0,1,86.09,18.4,0,514,15,15,0.126,18.6
FB2,MC1,2023-06-01T19:30:00Z,0,1,86.1,18.5,0,526,15,15,0.126,18.5
FB2,MC1,2023-06-01T19:45:00Z,0,1.001,86.1,18.4,0,559,15,15,0.125,18.5
FB2,MC1,2023-06-01T20:00:00Z,0,1,86.12,18.5,0,570,15,15,0.124,18.5
FB2,MC1,2023-06-01T20:15:00Z,0,0.999,86.11,18.5,0,599,15,15,0.124,18.5
FB2,MC1,2023-06-01T20:30:00Z,0,1.001,86.14,18.5,0,577,15,15,0.124,18.5
FB2,MC1,2023-06-01T20:45:00Z,0,1,86.16,18.5,0,589,15,15,0.124,18.5
FB2,MC1,2023-06-01T21:00:00Z,0,1,86.15,18.4,0,578,15,15,0.125,18.5
FB2,MC1,2023-06-01T21:15:00Z,0,1,86.15,18.4,0,624,15,15,0.126,18.5
FB2,MC1,2023-06-01T21:30:00Z,0,1,86.16,18.5,0,634,15,15,0.128,18.5
FB2,MC1,2023-06-01T21:45:00Z,0,0.998,86.18,18.4,0,672,15,15,0.134,18.5
FB2,MC1,2023-06-01T22:00:00Z,0,1,86.18,18.2,0,602,15,15,0.147,18.4
FB2,MC1,2023-06-01T22:15:00Z,0,0.999,86.2,18,0,661,15,15,0.146,18.3
FB2,MC1,2023-06-01T22:30:00Z,0,1,86.2,18,0,584,15,15,0.144,18.3
FB2,MC1,2023-06-01T22:45:00Z,0,1,86.18,18.1,0,602,15,15,0.142,18.2
FB2,MC1,2023-06-01T23:00:00Z,0,0.999,86.18,18.2,0,597,15,15,0.141,18.2
FB2,MC1,2023-06-01T23:15:00Z,0,1,86.17,18.3,0,631,15,15,0.141,18.2
FB2,MC1,2023-06-01T23:30:00Z,0,1,86.15,18,0,587,15,15,0.141,18.2
FB2,MC1,2023-06-01T23:45:00Z,0,1,86.15,17.8,0,573,15,15,0.14,18.1
FB2,MC1,2023-06-02T00:00:00Z,0,1.001,86.14,17.6,0,576,15,15,0.139,18
FB2,MC1,2023-06-02T00:15:00Z,0,1,86.14,17.8,0,587,15,15,0.138,18
FB2,MC1,2023-06-02T00:30:00Z,0,1,86.12,17.9,0,589,15,15,0.137,18
FB2,MC1,2023-06-02T00:45:00Z,0,1.001,86.1,18,0,570,15,15,0.136,18
FB2,MC1,2023-06-02T01:00:00Z,0,1,86.09,18,0,559,15,15,0.135,18
FB2,MC1,2023-06-02T01:15:00Z,0,0.999,86.05,17.9,0,562,15,15,0.134,18
FB2,MC1,2023-06-02T01:30:00Z,0,0.999,86.02,17.9,0,582,15,15,0.133,18
FB2,MC1,2023-06-02T01:45:00Z,0,0.999,86.01,18,0,564,15,15,0.133,18
FB2,MC1,2023-06-02T02:00:00Z,0,1.001,85.99,18,0,564,15,15,0.132,18
FB2,MC1,2023-06-02T02:15:00Z,0,1,85.97,17.9,0,556,15,15,0.131,18
FB2,MC1,2023-06-02T02:30:00Z,0,1.001,85.97,17.9,0,551,15,15,0.131,17.9
FB2,MC1,2023-06-02T02:45:00Z,0,1,85.96,17.9,0,544,15,15,0.13,17.9
FB2,MC1,2023-06-02T03:00:00Z,0,1,85.96,17.8,0,534,15,15,0.129,17.9
FB2,MC1,2023-06-02T03:15:00Z,0,1,85.94,17.7,0,533,15,15,0.129,17.9
FB2,MC1,2023-06-02T03:30:00Z,0,1.001,85.95,17.8,0,513,15,15,0.128,17.8
FB2,MC1,2023-06-02T03:45:00Z,0,1,85.94,17.8,0,509,15,15,0.128,17.8
FB2,MC1,2023-06-02T04:00:00Z,0,1,85.95,17.9,0,495,15,15,0.127,17.7
FB2,MC1,2023-06-02T04:15:00Z,0,1,85.95,18,0,479,15,15,0.126,17.6
FB2,MC1,2023-06-02T04:30:00Z,0,1,85.95,17.9,0,496,15,15,0.125,17.6
FB2,MC1,2023-06-02T04:45:00Z,0,1,85.95,18,0,478,15,15,0.125,17.6
FB2,MC1,2023-06-02T05:00:00Z,0,1,85.97,18,0,476,15,15,0.124,17.6
FB2,MC1,2023-06-02T05:15:00Z,0,1,85.98,18,0,475,15,15,0.124,17.6
FB2,MC1,2023-06-02T05:30:00Z,0,1,85.98,17.9,0,475,15,15,0.123,17.6
FB2,MC1,2023-06-02T05:45:00Z,0,1,86,18,2.7,476,15,15,0.123,17.6
FB2,MC1,2023-06-02T06:00:00Z,0,1,86.02,18,8.8,477,15,15,0.122,17.6
FB2,MC1,2023-06-02T06:15:00Z,0,1,86.04,18,14.1,477,15,15,0.122,17.6
FB2,MC1,2023-06-02T06:30:00Z,0,0.999,86.06,18,15.9,476,15,15,0.122,17.6
FB2,MC1,2023-06-02T06:45:00Z,0,1.001,86.08,18,11.4,474,15,15,0.121,17.6
FB2,MC1,2023-06-02T07:00:00Z,0,0.999,86.08,18,7.9,546,15,15,0.121,17.6
FB2,MC1,2023-06-02T07:15:00Z,0,1,86.09,17.8,6,679,15,15,0.121,17.6
FB2,MC1,2023-06-02T07:30:00Z,0,1.001,86.1,17.7,4.9,618,15,15,0.124,17.6
FB2,MC1,2023-06-02T07:45:00Z,0,1.001,86.1,17.8,5.7,737,15,15,0.126,17.6
FB2,MC1,2023-06-02T08:00:00Z,0,1,86.1,18,7.5,657,15,15,0.13,17.5
FB2,MC1,2023-06-02T08:15:00Z,0,1,86.11,18.2,9.5,623,15,15,0.134,17.5
FB2,MC1,2023-06-02T08:30:00Z,0,1.001,86.12,18.3,11.7,676,15,15,0.138,17.5
FB2,MC1,2023-06-02T08:45:00Z,0,0.999,86.12,18.4,15,606,15,15,0.141,17.6
FB2,MC1,2023-06-02T09:00:00Z,0,1,86.13,18.4,18.5,612,15,15,0.142,17.6
FB2,MC1,2023-06-02T09:15:00Z,0,1,86.12,18.5,25.1,628,15,15,0.142,17.7
FB2,MC1,2023-06-02T09:30:00Z,0,0.999,86.1,18.6,36.1,568,15,15,0.142,17.8
FB2,MC1,2023-06-02T09:45:00Z,0,1,86.08,18.8,55.5,554,15,15,0.141,17.8
FB2,MC1,2023-06-02T10:00:00Z,0.04,0.984,86.07,19.3,62.8,533,15,15,0.14,18
FB2,MC1,2023-06-02T10:15:00Z,0.04,0.982,86.06,19.4,67.7,499,15,15,0.138,18.1
FB2,MC1,2023-06-02T10:30:00Z,0.03,0.986,86.05,19.5,85,488,15,15,0.136,18.2
FB2,MC1,2023-06-02T10:45:00Z,0.01,0.995,86.06,19.5,111.5,495,15,15,0.135,18.3
FB2,MC1,2023-06-02T11:00:00Z,0,1.001,86.06,19.5,120.3,478,15,15,0.133,18.5
FB2,MC1,2023-06-02T11:15:00Z,0,0.999,86.05,19.7,147.4,472,15,15,0.132,18.7
FB2,MC1,2023-06-02T11:30:00Z,0.03,0.986,86.05,20,157.1,500,15,15,0.131,18.9
FB2,MC1,2023-06-02T11:45:00Z,0.08,0.967,86.04,20.4,178.2,494,15,15,0.13,19.1
FB2,MC1,2023-06-02T12:00:00Z,0.13,0.945,86.02,20.7,178.7,488,15,15,0.128,19.3
FB2,MC1,2023-06-02T12:15:00Z,0.14,0.941,85.99,20.6,168.8,483,15,15,0.127,19.4
FB2,MC1,2023-06-02T12:30:00Z,0.16,0.935,85.98,20.8,148.3,478,15,15,0.126,19.4
FB2,MC1,2023-06-02T12:45:00Z,0.13,0.947,85.97,20.6,166.1,474,15,15,0.125,19.5
FB2,MC1,2023-06-02T13:00:00Z,0.11,0.956,85.95,20.5,404.8,467,15,15,0.124,19.7
FB2,MC1,2023-06-02T13:15:00Z,0.11,0.953,85.94,20.6,182.2,461,15,15,0.123,19.9
FB2,MC1,2023-06-02T13:30:00Z,0.11,0.955,85.93,20.2,163.7,456,15,3,0.121,19.8
FB2,MC1,2023-06-02T13:45:00Z,0.06,0.973,85.91,19.6,101.4,454,15,0,0.12,19.7
FB2,MC1,2023-06-02T14:00:00Z,0.05,0.979,85.89,19.6,96.5,454,15,0,0.12,19.6
FB2,MC1,2023-06-02T14:15:00Z,0.09,0.963,85.87,20.1,113.7,454,15,0,0.119,19.5
FB2,MC1,2023-06-02T14:30:00Z,0.15,0.935,85.86,20.4,127.6,453,15,0,0.119,19.6
FB2,MC1,2023-06-02T14:45:00Z,0.21,0.916,85.84,21,220.6,452,15,0,0.118,19.6
FB2,MC1,2023-06-02T15:00:00Z,0.28,0.89,85.81,21.4,461.4,452,15,0,0.117,19.7
FB2,MC1,2023-06-02T15:15:00Z,0.36,0.864,85.8,22,475.7,451,15,0,0.116,19.8
FB2,MC1,2023-06-02T15:30:00Z,0.41,0.846,85.8,22.1,345.5,451,15,0,0.116,20.1
FB2,MC1,2023-06-02T15:45:00Z,0.4,0.847,85.79,22,250.5,451,15,0,0.114,20.3
FB2,MC1,2023-06-02T16:00:00Z,0.37,0.857,85.8,21.6,120.3,451,15,0,0.113,20.2
FB2,MC1,2023-06-02T16:15:00Z,0.31,0.88,85.81,21.6,72.1,452,15,0,0.112,20.3
FB2,MC1,2023-06-02T16:30:00Z,0.27,0.892,85.82,21.1,61.7,452,15,0,0.111,20
FB2,MC1,2023-06-02T16:45:00Z,0.16,0.935,85.83,20.5,24.7,453,15,0,0.11,19.9
FB2,MC1,2023-06-02T17:00:00Z,0.1,0.957,85.83,20.2,34.6,453,15,0,0.11,19.8
FB2,MC1,2023-06-02T17:15:00Z,0.18,0.927,85.83,20.4,49.3,453,15,0,0.11,19.8
FB2,MC1,2023-06-02T17:30:00Z,0.25,0.895,85.84,20.6,43,452,15,0,0.109,19.7
FB2,MC1,2023-06-02T17:45:00Z,0.24,0.899,85.86,20.3,17,453,15,0,0.108,19.5
FB2,MC1,2023-06-02T18:00:00Z,0.22,0.903,85.87,19.9,4.8,453,15,0,0.108,19.4
FB2,MC1,2023-06-02T18:15:00Z,0.2,0.914,85.89,19.6,0,453,15,0,0.107,19.2
