Tree,MC,Timestamp,Port2_Atmos_pressure,Port2_VPD,Port2_Temp,Port2_RH,Port5_Temp,Port5_RH,Port5_VPD,Port5_Atmos_pressure,Port1_Solar,Port3_LW_minutes,Port3_LW_minutes_H,Port3_LWS_Count,Port4_Solar,Port6_LWS_Count,Port6_LW_minutes_H,Port6_LW_minutes
ET4,MC3,2023-05-31T18:45:00Z,87.87,0.17,18.9,0.922,18.9,0.888,0.24,87.85,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:00:00Z,87.9,0.18,19,0.917,19,0.883,0.26,87.88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:15:00Z,87.93,0.2,19.1,0.909,19.1,0.875,0.28,87.91,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:30:00Z,87.94,0.19,19,0.914,19.1,0.88,0.27,87.92,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:45:00Z,87.96,0.19,19.1,0.912,19.1,0.878,0.27,87.95,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T20:00:00Z,87.98,0.26,19.3,0.884,19.4,0.851,0.33,87.96,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:15:00Z,87.99,0.31,19.4,0.863,19.4,0.831,0.38,87.97,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:30:00Z,88,0.32,19.5,0.859,19.5,0.828,0.39,87.98,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:45:00Z,88.01,0.29,19.5,0.872,19.4,0.841,0.36,88,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T21:00:00Z,88.01,0.25,19.4,0.889,19.4,0.856,0.32,88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:15:00Z,88.02,0.2,19.2,0.909,19.2,0.875,0.28,88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:30:00Z,88.02,0.18,19.2,0.917,19.1,0.883,0.26,88.01,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:45:00Z,88.04,0.17,19.2,0.926,19.2,0.89,0.24,88.02,0,15,0,451,0,454,0,15
ET4,MC3,2023-05-31T22:00:00Z,88.03,0.16,19.2,0.929,19.2,0.893,0.24,88.02,0,15,0,451,0,454,0,15
ET4,MC3,2023-05-31T22:15:00Z,88.03,0.14,19.1,0.936,19.1,0.901,0.22,88.01,0,15,0,457,0,454,0,15
ET4,MC3,2023-05-31T22:30:00Z,88.04,0.11,18.9,0.952,18.9,0.918,0.18,88.02,0,15,0,452,0,454,0,15
ET4,MC3,2023-05-31T22:45:00Z,88.04,0.08,18.8,0.962,18.8,0.929,0.15,88.02,0,15,8,816,0,611,7,15
ET4,MC3,2023-05-31T23:00:00Z,88.03,0.04,18.6,0.983,18.6,0.948,0.11,88.01,0,15,15,891,0,659,15,15
ET4,MC3,2023-05-31T23:15:00Z,88.03,0.02,18.5,0.992,18.4,0.96,0.08,88.01,0,15,15,827,0,671,15,15
ET4,MC3,2023-05-31T23:30:00Z,88.01,0,18.5,0.999,18.5,0.967,0.07,87.99,0,15,15,744,0,645,15,15
ET4,MC3,2023-05-31T23:45:00Z,88,0,18.5,0.999,18.5,0.973,0.06,87.98,0,15,15,824,0,730,15,15
ET4,MC3,2023-06-01T00:00:00Z,88,0,18.6,0.999,18.5,0.976,0.05,87.98,0,15,15,599,0,604,15,15
ET4,MC3,2023-06-01T00:15:00Z,87.98,0,18.5,1,18.5,0.978,0.05,87.96,0,15,15,596,0,579,15,15
ET4,MC3,2023-06-01T00:30:00Z,87.95,0,18.5,1,18.5,0.979,0.05,87.94,0,15,15,589,0,572,15,15
ET4,MC3,2023-06-01T00:45:00Z,87.93,0,18.4,1.001,18.5,0.978,0.05,87.91,0,15,15,595,0,554,15,15
ET4,MC3,2023-06-01T01:00:00Z,87.93,0,18.4,1.001,18.4,0.98,0.04,87.91,0,15,15,604,0,532,15,15
ET4,MC3,2023-06-01T01:15:00Z,87.89,0,18.5,1,18.5,0.982,0.04,87.87,0,15,15,564,0,539,15,15
ET4,MC3,2023-06-01T01:30:00Z,87.86,0,18.5,1,18.5,0.983,0.04,87.84,0,15,15,549,0,541,15,15
ET4,MC3,2023-06-01T01:45:00Z,87.82,0,18.4,0.999,18.4,0.982,0.04,87.8,0,15,15,533,0,517,15,15
ET4,MC3,2023-06-01T02:00:00Z,87.81,0,18.2,1,18.3,0.982,0.04,87.79,0,15,15,519,0,511,15,15
ET4,MC3,2023-06-01T02:15:00Z,87.8,0,18.2,1,18.2,0.979,0.04,87.78,0,15,15,513,0,506,15,15
ET4,MC3,2023-06-01T02:30:00Z,87.78,0,18.1,1,18.2,0.98,0.04,87.77,0,15,15,521,0,502,15,15
ET4,MC3,2023-06-01T02:45:00Z,87.78,0,18,0.999,18.1,0.98,0.04,87.76,0,15,15,610,0,536,15,15
ET4,MC3,2023-06-01T03:00:00Z,87.76,0,18,1,18,0.981,0.04,87.74,0,15,15,648,0,548,15,15
ET4,MC3,2023-06-01T03:15:00Z,87.75,0,17.9,1.001,17.9,0.983,0.04,87.73,0,15,15,592,0,535,15,15
ET4,MC3,2023-06-01T03:30:00Z,87.75,0,17.8,1,17.9,0.986,0.03,87.72,0,15,15,563,0,526,15,15
ET4,MC3,2023-06-01T03:45:00Z,87.75,0,17.9,1.001,17.9,0.988,0.02,87.72,0,15,15,559,0,523,15,15
ET4,MC3,2023-06-01T04:00:00Z,87.74,0,18,1,18,0.988,0.03,87.72,0,15,15,561,0,515,15,15
ET4,MC3,2023-06-01T04:15:00Z,87.75,0,18.1,1,18.1,0.989,0.02,87.73,0,15,15,550,0,512,15,15
ET4,MC3,2023-06-01T04:30:00Z,87.75,0,18.2,0.999,18.2,0.99,0.02,87.74,0,15,15,544,0,504,15,15
ET4,MC3,2023-06-01T04:45:00Z,87.76,0,18.1,1,18.2,0.987,0.03,87.74,0,15,15,530,0,494,15,15
ET4,MC3,2023-06-01T05:00:00Z,87.77,0,18,1.001,18.3,0.977,0.05,87.75,0,15,15,514,0,485,15,15
ET4,MC3,2023-06-01T05:15:00Z,87.79,0.04,18.3,0.983,18.8,0.915,0.19,87.77,0,15,15,499,0,478,15,15
ET4,MC3,2023-06-01T05:30:00Z,87.8,0.2,18.9,0.909,19.4,0.845,0.35,87.78,0,15,15,486,0,472,15,15
ET4,MC3,2023-06-01T05:45:00Z,87.82,0.3,19.5,0.867,19.8,0.818,0.42,87.8,0.4,15,15,474,0,464,15,15
ET4,MC3,2023-06-01T06:00:00Z,87.85,0.34,19.7,0.852,19.9,0.808,0.44,87.83,6.6,15,12,457,0,458,8,15
ET4,MC3,2023-06-01T06:15:00Z,87.87,0.35,19.9,0.848,20,0.808,0.45,87.85,9.9,15,0,453,4,454,0,15
ET4,MC3,2023-06-01T06:30:00Z,87.89,0.35,19.9,0.851,20,0.817,0.43,87.87,11.5,15,0,451,6,453,0,15
ET4,MC3,2023-06-01T06:45:00Z,87.91,0.36,20,0.846,20,0.812,0.44,87.89,15,15,0,451,7.3,453,0,15
ET4,MC3,2023-06-01T07:00:00Z,87.93,0.34,20.1,0.855,20,0.822,0.42,87.91,20,15,0,451,10.4,453,0,15
ET4,MC3,2023-06-01T07:15:00Z,87.95,0.27,19.7,0.884,19.9,0.841,0.37,87.93,35.2,15,0,451,18.9,453,0,15
ET4,MC3,2023-06-01T07:30:00Z,87.96,0.25,19.9,0.893,20,0.855,0.34,87.95,60.2,15,0,451,33.9,454,0,15
ET4,MC3,2023-06-01T07:45:00Z,87.98,0.17,20.2,0.927,20.2,0.895,0.25,87.96,87.9,15,0,451,50.4,453,0,15
ET4,MC3,2023-06-01T08:00:00Z,87.99,0.22,20.5,0.908,20.5,0.875,0.3,87.97,95.9,14,0,450,74,453,0,15
ET4,MC3,2023-06-01T08:15:00Z,88,0.29,21.1,0.882,21,0.855,0.36,87.98,96.1,15,0,450,55.5,453,0,15
ET4,MC3,2023-06-01T08:30:00Z,88.02,0.29,21,0.884,21,0.85,0.37,88,118.8,15,0,450,58.8,453,0,15
ET4,MC3,2023-06-01T08:45:00Z,88.03,0.26,21.2,0.895,21.2,0.863,0.35,88.01,95.4,14,0,450,56,453,0,15
ET4,MC3,2023-06-01T09:00:00Z,88.04,0.26,21.6,0.899,21.5,0.872,0.33,88.02,92.1,15,0,450,55.5,452,0,15
ET4,MC3,2023-06-01T09:15:00Z,88.04,0.28,21,0.889,21,0.859,0.35,88.02,88.8,15,0,450,55.7,452,0,15
ET4,MC3,2023-06-01T09:30:00Z,88.02,0.28,21.2,0.887,21.3,0.854,0.37,88.01,95.4,15,0,450,65.2,452,0,15
ET4,MC3,2023-06-01T09:45:00Z,88.02,0.33,21.3,0.869,21.4,0.837,0.42,88,70.1,15,0,450,40.1,452,0,15
ET4,MC3,2023-06-01T10:00:00Z,88,0.33,21.4,0.871,21.4,0.839,0.41,87.99,111,14,0,450,50.9,452,0,15
ET4,MC3,2023-06-01T10:15:00Z,88,0.38,22,0.857,22,0.825,0.46,87.98,106.8,14,0,450,50,452,0,15
ET4,MC3,2023-06-01T10:30:00Z,87.99,0.44,22.2,0.835,22.4,0.796,0.55,87.97,200.3,2,0,449,64.3,452,0,15
ET4,MC3,2023-06-01T10:45:00Z,87.98,0.45,22.5,0.835,22.7,0.796,0.56,87.96,150.9,2,0,448,83.1,451,0,15
ET4,MC3,2023-06-01T11:00:00Z,87.97,0.59,23.3,0.795,23.6,0.755,0.71,87.95,135.5,0,0,449,62.6,451,0,15
ET4,MC3,2023-06-01T11:15:00Z,87.95,0.49,22.8,0.822,23.2,0.773,0.65,87.94,152,0,0,449,54.4,452,0,15
ET4,MC3,2023-06-01T11:30:00Z,87.94,0.36,22.4,0.868,22.6,0.83,0.47,87.92,107.3,0,0,450,52.4,452,0,15
ET4,MC3,2023-06-01T11:45:00Z,87.94,0.32,22.4,0.88,22.6,0.84,0.44,87.92,58.6,7,0,450,31.1,453,0,15
ET4,MC3,2023-06-01T12:00:00Z,87.92,0.28,22.1,0.897,22.3,0.856,0.39,87.9,69.9,15,0,450,34.6,452,0,15
ET4,MC3,2023-06-01T12:15:00Z,87.9,0.3,22.3,0.888,22.4,0.852,0.4,87.88,86.1,14,0,450,42.8,452,0,15
ET4,MC3,2023-06-01T12:30:00Z,87.88,0.3,22.6,0.89,22.7,0.855,0.4,87.86,103.8,11,0,450,48.5,452,0,15
ET4,MC3,2023-06-01T12:45:00Z,87.86,0.35,22.7,0.873,22.7,0.839,0.44,87.84,69.8,13,0,450,32.6,452,0,15
ET4,MC3,2023-06-01T13:00:00Z,87.84,0.28,22.4,0.896,22.4,0.861,0.38,87.83,52.9,15,0,450,26.4,453,0,15
ET4,MC3,2023-06-01T13:15:00Z,87.83,0.25,22.2,0.905,22.2,0.871,0.34,87.82,65.2,15,0,451,29.5,453,0,15
ET4,MC3,2023-06-01T13:30:00Z,87.84,0.2,22,0.926,22.1,0.89,0.29,87.82,49.6,15,0,451,22.5,453,0,15
ET4,MC3,2023-06-01T13:45:00Z,87.82,0.16,22,0.939,22,0.901,0.26,87.8,155.3,15,0,450,50.9,453,0,15
ET4,MC3,2023-06-01T14:00:00Z,87.8,0.25,22.3,0.908,22.5,0.87,0.35,87.79,33,15,7,478,17.2,504,6,15
ET4,MC3,2023-06-01T14:15:00Z,87.82,0.19,21.5,0.928,21.8,0.883,0.31,87.8,11.9,15,15,790,6.4,745,15,15
ET4,MC3,2023-06-01T14:30:00Z,87.81,0.07,20.6,0.97,20.8,0.925,0.18,87.79,25.8,15,15,826,11.7,748,15,15
ET4,MC3,2023-06-01T14:45:00Z,87.76,0.02,20.4,0.99,20.4,0.951,0.12,87.75,62.4,15,15,644,25.1,635,15,15
ET4,MC3,2023-06-01T15:00:00Z,87.73,0,20.7,0.999,20.6,0.967,0.08,87.72,79.1,15,15,592,35.5,553,15,15
ET4,MC3,2023-06-01T15:15:00Z,87.77,0.01,20.9,0.996,20.8,0.97,0.07,87.75,66.3,15,15,520,29.5,507,15,15
ET4,MC3,2023-06-01T15:30:00Z,87.75,0,21.4,1,21.3,0.972,0.07,87.73,72.1,15,15,517,28.2,506,15,15
ET4,MC3,2023-06-01T15:45:00Z,87.75,0.02,21.6,0.992,21.6,0.968,0.08,87.74,116.5,15,15,507,25.5,490,15,15
ET4,MC3,2023-06-01T16:00:00Z,87.76,0.06,21.2,0.975,21.2,0.95,0.13,87.74,58.2,15,15,501,23.3,482,15,15
ET4,MC3,2023-06-01T16:15:00Z,87.75,0.05,21.2,0.978,21.3,0.944,0.14,87.74,36.8,15,15,512,16.8,489,15,15
ET4,MC3,2023-06-01T16:30:00Z,87.76,0.07,20.7,0.973,20.8,0.94,0.15,87.74,10.1,15,15,625,5.5,510,15,15
ET4,MC3,2023-06-01T16:45:00Z,87.75,0.03,20.3,0.985,20.3,0.951,0.12,87.73,13.2,15,15,619,6.8,513,15,15
ET4,MC3,2023-06-01T17:00:00Z,87.73,0.01,19.9,0.997,19.9,0.964,0.08,87.72,18.5,15,15,595,7.7,507,15,15
ET4,MC3,2023-06-01T17:15:00Z,87.73,0,19.7,1,19.7,0.97,0.07,87.71,11.5,15,15,581,4,503,15,15
ET4,MC3,2023-06-01T17:30:00Z,87.74,0,19.6,1,19.6,0.973,0.06,87.72,6.8,15,15,569,0,498,15,15
ET4,MC3,2023-06-01T17:45:00Z,87.78,0,19.6,1,19.6,0.976,0.05,87.76,0.7,15,15,559,0,493,15,15
ET4,MC3,2023-06-01T18:00:00Z,87.8,0,19.6,1,19.6,0.979,0.05,87.79,0,15,15,552,0,489,15,15
ET4,MC3,2023-06-01T18:15:00Z,87.81,0,19.5,0.999,19.6,0.978,0.05,87.79,0,15,15,544,0,483,15,15
ET4,MC3,2023-06-01T18:30:00Z,87.81,0,19.4,1,19.4,0.976,0.05,87.8,0,15,15,537,0,478,15,15
ET4,MC3,2023-06-01T18:45:00Z,87.82,0,19.4,1,19.4,0.976,0.05,87.81,0,15,15,531,0,475,15,15
ET4,MC3,2023-06-01T19:00:00Z,87.85,0,19.3,1.001,19.4,0.978,0.05,87.83,0,15,15,528,0,475,15,15
ET4,MC3,2023-06-01T19:15:00Z,87.88,0,19.3,1,19.3,0.981,0.04,87.86,0,15,15,524,0,472,15,15
ET4,MC3,2023-06-01T19:30:00Z,87.88,0,19.3,1,19.3,0.983,0.04,87.86,0,15,15,520,0,468,15,15
ET4,MC3,2023-06-01T19:45:00Z,87.88,0,19.4,1,19.4,0.984,0.04,87.86,0,15,15,521,0,468,15,15
ET4,MC3,2023-06-01T20:00:00Z,87.9,0,19.5,1,19.5,0.987,0.03,87.88,0,15,15,530,0,465,15,15
ET4,MC3,2023-06-01T20:15:00Z,87.91,0,19.4,1,19.5,0.987,0.03,87.89,0,15,15,530,0,461,15,15
ET4,MC3,2023-06-01T20:30:00Z,87.93,0,19.4,1,19.4,0.987,0.03,87.91,0,15,15,534,0,461,15,15
ET4,MC3,2023-06-01T20:45:00Z,87.96,0,19.4,1,19.4,0.988,0.03,87.94,0,15,15,533,0,461,12,15
ET4,MC3,2023-06-01T21:00:00Z,87.96,0,19.4,1,19.4,0.989,0.02,87.94,0,15,15,548,0,467,15,15
ET4,MC3,2023-06-01T21:15:00Z,87.95,0,19.4,1,19.4,0.989,0.02,87.94,0,15,15,554,0,466,15,15
ET4,MC3,2023-06-01T21:30:00Z,87.97,0,19.5,1,19.5,0.989,0.03,87.95,0,15,15,608,0,583,15,15
ET4,MC3,2023-06-01T21:45:00Z,87.99,0,19.5,1,19.6,0.986,0.03,87.96,0,15,15,832,0,692,15,15
ET4,MC3,2023-06-01T22:00:00Z,87.99,0,19.4,1,19.4,0.986,0.03,87.97,0,15,15,638,0,620,15,15
ET4,MC3,2023-06-01T22:15:00Z,88,0,19.2,1,19.2,0.986,0.03,87.98,0,15,15,568,0,586,15,15
ET4,MC3,2023-06-01T22:30:00Z,88,0,19.1,1,19.1,0.989,0.02,87.98,0,15,15,565,0,605,15,15
ET4,MC3,2023-06-01T22:45:00Z,87.98,0,19.1,1,19.1,0.99,0.02,87.96,0,15,15,606,0,577,15,15
ET4,MC3,2023-06-01T23:00:00Z,87.96,0,19.1,1,19.1,0.992,0.02,87.94,0,15,15,593,0,565,15,15
ET4,MC3,2023-06-01T23:15:00Z,87.95,0,19.2,1.001,19.2,0.992,0.02,87.93,0,15,15,593,0,555,15,15
ET4,MC3,2023-06-01T23:30:00Z,87.93,0,19.2,1,19.1,0.995,0.01,87.91,0,15,15,571,0,541,15,15
ET4,MC3,2023-06-01T23:45:00Z,87.93,0,19,1.001,19,0.995,0.01,87.91,0,15,15,579,0,527,15,15
ET4,MC3,2023-06-02T00:00:00Z,87.92,0,18.8,1,18.8,0.995,0.01,87.9,0,15,15,578,0,520,15,15
ET4,MC3,2023-06-02T00:15:00Z,87.92,0,18.8,1,18.8,0.997,0.01,87.9,0,15,15,564,0,510,15,15
ET4,MC3,2023-06-02T00:30:00Z,87.9,0,18.8,1,18.9,0.997,0.01,87.88,0,15,15,552,0,508,15,15
ET4,MC3,2023-06-02T00:45:00Z,87.88,0,19,1,19,0.998,0,87.86,0,15,15,523,0,498,15,15
ET4,MC3,2023-06-02T01:00:00Z,87.85,0,19,1,19,0.998,0,87.83,0,15,15,519,0,492,15,15
ET4,MC3,2023-06-02T01:15:00Z,87.82,0,18.9,1.001,19,0.997,0.01,87.8,0,15,15,519,0,493,15,15
ET4,MC3,2023-06-02T01:30:00Z,87.79,0,18.8,1,18.8,0.997,0.01,87.77,0,15,15,518,0,490,15,15
ET4,MC3,2023-06-02T01:45:00Z,87.78,0,18.9,1,18.9,0.997,0.01,87.76,0,15,15,518,0,491,15,15
ET4,MC3,2023-06-02T02:00:00Z,87.76,0,18.9,0.999,18.9,0.998,0,87.74,0,15,15,518,0,489,15,15
ET4,MC3,2023-06-02T02:15:00Z,87.75,0,18.8,0.999,18.9,0.997,0.01,87.73,0,15,15,515,0,485,15,15
ET4,MC3,2023-06-02T02:30:00Z,87.73,0,18.9,0.999,18.9,0.998,0,87.71,0,15,15,514,0,479,15,15
ET4,MC3,2023-06-02T02:45:00Z,87.73,0,18.9,0.999,18.9,0.997,0.01,87.71,0,15,15,511,0,476,15,15
ET4,MC3,2023-06-02T03:00:00Z,87.73,0,18.8,1,18.9,0.995,0.01,87.71,0,15,15,508,0,472,15,15
ET4,MC3,2023-06-02T03:15:00Z,87.72,0,18.8,0.999,18.9,0.991,0.02,87.7,0,15,15,503,0,466,15,15
ET4,MC3,2023-06-02T03:30:00Z,87.72,0,18.8,1,19,0.98,0.04,87.7,0,15,15,499,0,459,12,15
ET4,MC3,2023-06-02T03:45:00Z,87.72,0,18.8,1,19,0.968,0.07,87.7,0,15,15,495,0,457,0,15
ET4,MC3,2023-06-02T04:00:00Z,87.73,0,18.8,1,18.9,0.963,0.08,87.71,0,15,15,493,0,457,0,15
ET4,MC3,2023-06-02T04:15:00Z,87.73,0,18.8,1,18.9,0.963,0.08,87.71,0,15,15,489,0,457,0,15
ET4,MC3,2023-06-02T04:30:00Z,87.72,0.01,18.8,0.997,19,0.955,0.1,87.71,0,15,15,484,0,456,0,15
ET4,MC3,2023-06-02T04:45:00Z,87.73,0.05,19.1,0.979,19.2,0.937,0.14,87.71,0,15,15,478,0,456,0,15
ET4,MC3,2023-06-02T05:00:00Z,87.75,0.07,19.3,0.968,19.3,0.929,0.16,87.73,0,15,15,471,0,456,0,15
ET4,MC3,2023-06-02T05:15:00Z,87.76,0.07,19.4,0.97,19.4,0.931,0.16,87.74,0,15,15,464,0,456,0,15
ET4,MC3,2023-06-02T05:30:00Z,87.77,0.06,19.3,0.975,19.3,0.938,0.14,87.75,0,15,12,459,0,456,0,15
ET4,MC3,2023-06-02T05:45:00Z,87.79,0.05,19.2,0.976,19.3,0.938,0.14,87.77,1.5,15,0,458,0,456,0,15
ET4,MC3,2023-06-02T06:00:00Z,87.81,0.06,19.2,0.973,19.3,0.935,0.14,87.79,7.3,15,0,457,0,456,0,15
ET4,MC3,2023-06-02T06:15:00Z,87.82,0.08,19.4,0.964,19.5,0.925,0.17,87.8,11.4,15,0,456,4.9,456,0,15
ET4,MC3,2023-06-02T06:30:00Z,87.85,0.06,19.4,0.971,19.4,0.936,0.14,87.83,14.1,15,0,456,7.5,456,0,15
ET4,MC3,2023-06-02T06:45:00Z,87.86,0.05,19.2,0.979,19.2,0.943,0.13,87.84,11,15,0,456,6.2,460,0,15
ET4,MC3,2023-06-02T07:00:00Z,87.88,0.05,19.2,0.978,19.2,0.942,0.13,87.86,7.9,15,14,493,1.6,478,15,15
ET4,MC3,2023-06-02T07:15:00Z,87.89,0.04,19,0.983,19,0.947,0.12,87.87,6.2,15,15,592,0,496,15,15
ET4,MC3,2023-06-02T07:30:00Z,87.89,0.01,18.7,0.995,18.7,0.961,0.08,87.87,5.1,15,15,658,0,566,15,15
ET4,MC3,2023-06-02T07:45:00Z,87.89,0,18.4,1,18.4,0.971,0.06,87.87,5.3,15,15,655,0,644,15,15
ET4,MC3,2023-06-02T08:00:00Z,87.88,0,18.4,0.999,18.4,0.977,0.05,87.86,6.8,15,15,658,0,666,15,15
ET4,MC3,2023-06-02T08:15:00Z,87.89,0,18.6,1,18.6,0.982,0.04,87.87,8.4,15,15,669,0,609,15,15
ET4,MC3,2023-06-02T08:30:00Z,87.9,0,18.8,0.999,18.8,0.986,0.03,87.88,10.3,15,15,636,2.9,608,15,15
ET4,MC3,2023-06-02T08:45:00Z,87.9,0,18.9,1,18.9,0.986,0.03,87.88,13,15,15,606,6,605,15,15
ET4,MC3,2023-06-02T09:00:00Z,87.91,0,18.9,1.001,19,0.985,0.03,87.89,16.5,15,15,622,7.7,592,15,15
ET4,MC3,2023-06-02T09:15:00Z,87.9,0,19,1.001,19.1,0.986,0.03,87.88,21.8,15,15,620,9.9,617,15,15
ET4,MC3,2023-06-02T09:30:00Z,87.89,0,19.1,1.001,19.2,0.985,0.03,87.86,30,15,15,597,13.5,575,15,15
ET4,MC3,2023-06-02T09:45:00Z,87.87,0,19.2,0.999,19.2,0.984,0.04,87.85,43.4,15,15,559,19.4,536,15,15
ET4,MC3,2023-06-02T10:00:00Z,87.86,0,19.5,1,19.5,0.98,0.04,87.84,50,15,15,542,23.3,499,15,15
ET4,MC3,2023-06-02T10:15:00Z,87.84,0,19.9,1.001,19.9,0.969,0.07,87.82,54.2,15,15,533,25.5,482,15,15
ET4,MC3,2023-06-02T10:30:00Z,87.83,0.03,20.2,0.987,20.2,0.947,0.12,87.81,67.9,15,15,526,31.1,473,15,15
ET4,MC3,2023-06-02T10:45:00Z,87.84,0.03,20.8,0.987,20.8,0.95,0.12,87.82,92.3,15,15,523,42.1,471,15,15
ET4,MC3,2023-06-02T11:00:00Z,87.86,0.07,21.1,0.97,21.1,0.941,0.15,87.84,102,15,15,512,46.5,464,15,15
ET4,MC3,2023-06-02T11:15:00Z,87.85,0.11,21.4,0.959,21.4,0.932,0.17,87.83,121.6,15,15,503,52.7,455,5,15
ET4,MC3,2023-06-02T11:30:00Z,87.84,0.14,21.8,0.947,21.7,0.921,0.2,87.82,105.5,15,15,494,49.4,455,0,15
ET4,MC3,2023-06-02T11:45:00Z,87.83,0.16,22,0.94,22,0.911,0.24,87.81,108.9,15,15,483,50.4,455,0,15
ET4,MC3,2023-06-02T12:00:00Z,87.8,0.21,22.6,0.923,22.4,0.897,0.28,87.78,137.3,15,15,463,60.1,454,0,15
ET4,MC3,2023-06-02T12:15:00Z,87.77,0.31,22.8,0.889,22.7,0.859,0.39,87.75,110.8,15,1,452,46,454,0,15
ET4,MC3,2023-06-02T12:30:00Z,87.77,0.32,22.7,0.883,22.6,0.856,0.4,87.75,116.3,15,0,451,46.5,454,0,15
ET4,MC3,2023-06-02T12:45:00Z,87.76,0.34,23.1,0.878,23,0.85,0.42,87.74,132.2,15,0,451,52.9,453,0,15
ET4,MC3,2023-06-02T13:00:00Z,87.75,0.3,22.9,0.892,22.8,0.864,0.38,87.73,107.1,15,0,451,45.8,454,0,15
ET4,MC3,2023-06-02T13:15:00Z,87.73,0.28,22.6,0.896,22.7,0.861,0.38,87.71,136.8,15,0,451,47.6,454,0,15
ET4,MC3,2023-06-02T13:30:00Z,87.71,0.27,22.6,0.901,22.6,0.866,0.37,87.69,91.7,15,0,451,31.1,454,0,15
ET4,MC3,2023-06-02T13:45:00Z,87.69,0.22,22.1,0.918,22.1,0.881,0.32,87.68,63.5,15,0,452,26.4,454,0,15
ET4,MC3,2023-06-02T14:00:00Z,87.68,0.19,21.5,0.926,21.5,0.889,0.28,87.66,65.9,15,0,452,27.5,454,0,15
ET4,MC3,2023-06-02T14:15:00Z,87.66,0.19,21.3,0.925,21.3,0.891,0.28,87.64,95.6,15,0,451,33.5,454,0,15
ET4,MC3,2023-06-02T14:30:00Z,87.65,0.25,21.8,0.902,21.7,0.87,0.34,87.63,134.6,15,0,451,37.5,453,0,15
ET4,MC3,2023-06-02T14:45:00Z,87.62,0.31,22.4,0.883,22.3,0.851,0.4,87.6,278,15,0,451,43.8,453,0,15
ET4,MC3,2023-06-02T15:00:00Z,87.6,0.42,23,0.851,22.9,0.822,0.5,87.58,244.3,15,0,450,48,452,0,15
ET4,MC3,2023-06-02T15:15:00Z,87.59,0.54,23.7,0.815,23.6,0.789,0.61,87.57,122.1,15,0,450,40.6,452,0,15
ET4,MC3,2023-06-02T15:30:00Z,87.58,0.59,23.9,0.8,23.8,0.772,0.67,87.57,69,15,0,450,33,452,0,15
ET4,MC3,2023-06-02T15:45:00Z,87.58,0.66,24.2,0.782,24.1,0.751,0.75,87.56,375.5,5,0,450,32,451,0,15
ET4,MC3,2023-06-02T16:00:00Z,87.59,0.7,23.9,0.762,23.8,0.73,0.79,87.57,151.6,0,0,450,30.6,451,0,15
ET4,MC3,2023-06-02T16:15:00Z,87.6,0.57,23.4,0.803,23.3,0.767,0.67,87.58,48.2,10,0,450,19,451,0,15
ET4,MC3,2023-06-02T16:30:00Z,87.61,0.44,22.6,0.838,22.7,0.8,0.55,87.59,26.9,15,0,451,13,452,0,15
ET4,MC3,2023-06-02T16:45:00Z,87.61,0.39,22.1,0.853,22.1,0.818,0.48,87.6,16.8,15,0,451,8.1,453,0,15
ET4,MC3,2023-06-02T17:00:00Z,87.61,0.35,21.9,0.866,21.8,0.834,0.43,87.6,34.2,15,0,451,18.9,452,0,15
ET4,MC3,2023-06-02T17:15:00Z,87.62,0.44,22.6,0.84,22.1,0.823,0.47,87.61,38.6,15,0,450,21.2,452,0,15
ET4,MC3,2023-06-02T17:30:00Z,87.62,0.47,22.1,0.823,21.9,0.799,0.53,87.61,33.9,15,0,450,18.9,451,0,15
ET4,MC3,2023-06-02T17:45:00Z,87.64,0.5,22,0.812,21.8,0.787,0.56,87.63,20.9,14,0,450,11.4,451,0,15
ET4,MC3,2023-06-02T18:00:00Z,87.66,0.43,21.4,0.832,21.4,0.802,0.5,87.64,4.2,15,0,450,0,452,0,15
ET4,MC3,2023-06-02T18:15:00Z,87.68,0.37,21,0.85,21.1,0.815,0.46,87.66,0,15,0,450,0,452,0,15
ET4,MC3,2023-06-02T18:30:00Z,87.69,0.37,21,0.85,21,0.815,0.46,87.67,0,15,0,450,0,452,0,15
ET4,MC3,2023-06-02T18:45:00Z,87.71,0.39,20.8,0.841,20.9,0.806,0.48,87.69,0,15,0,450,0,452,0,15
ET4,MC3,2023-06-02T19:00:00Z,87.72,0.42,20.7,0.826,20.8,0.791,0.51,87.71,0,15,0,450,0,452,0,15
ET4,MC3,2023-06-02T19:15:00Z,87.75,0.38,20.4,0.843,20.5,0.807,0.46,87.73,0,15,0,450,0,452,0,15
