Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_VPD,Port5_Temp,Port5_RH,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET7,MC1,2023-06-01T05:15:00Z,87.74,0.34,19.9,0.854,0.34,87.73,0.852,19.8,0,0,460,15,15,466,15,15
ET7,MC1,2023-06-01T05:30:00Z,87.75,0.47,20.5,0.805,0.47,87.75,0.806,20.5,0,0,452,0,15,460,15,13
ET7,MC1,2023-06-01T05:45:00Z,87.77,0.57,20.9,0.77,0.56,87.76,0.773,21,2.6,2.7,451,0,15,451,15,2
ET7,MC1,2023-06-01T06:00:00Z,87.79,0.59,21,0.761,0.58,87.79,0.767,21.1,9.3,9.7,451,0,15,450,12,0
ET7,MC1,2023-06-01T06:15:00Z,87.82,0.62,21.2,0.755,0.61,87.81,0.758,21.3,14.1,15,451,0,15,449,0,0
ET7,MC1,2023-06-01T06:30:00Z,87.84,0.57,21,0.772,0.56,87.84,0.775,21,15.9,16.3,451,0,15,450,0,0
ET7,MC1,2023-06-01T06:45:00Z,87.85,0.51,20.7,0.789,0.52,87.85,0.787,20.8,20.3,20.9,451,0,15,450,0,0
ET7,MC1,2023-06-01T07:00:00Z,87.88,0.38,20.2,0.841,0.4,87.87,0.832,20.4,27.1,26.6,452,0,15,450,10,0
ET7,MC1,2023-06-01T07:15:00Z,87.9,0.29,19.8,0.874,0.33,87.89,0.857,20,44.9,41.2,452,0,15,450,15,0
ET7,MC1,2023-06-01T07:30:00Z,87.91,0.28,20,0.881,0.32,87.9,0.864,20.2,82.2,66.3,451,0,15,450,15,0
ET7,MC1,2023-06-01T07:45:00Z,87.93,0.22,20.3,0.908,0.3,87.92,0.879,20.9,195.2,75.8,452,0,15,462,15,1
ET7,MC1,2023-06-01T08:00:00Z,87.93,0.22,20.7,0.911,0.32,87.93,0.872,21.2,262.6,89.2,449,0,12,454,15,8
ET7,MC1,2023-06-01T08:15:00Z,87.94,0.3,21.2,0.882,0.42,87.94,0.839,21.9,179.8,74.5,449,0,0,450,15,0
ET7,MC1,2023-06-01T08:30:00Z,87.96,0.27,21.2,0.894,0.34,87.96,0.868,21.6,142.8,95.2,450,0,11,450,15,0
ET7,MC1,2023-06-01T08:45:00Z,87.97,0.3,21.3,0.883,0.39,87.97,0.851,21.8,119.8,97.6,450,0,14,450,15,0
ET7,MC1,2023-06-01T09:00:00Z,87.98,0.33,21.5,0.873,0.38,87.98,0.853,21.7,131.8,110.2,450,0,15,450,12,0
ET7,MC1,2023-06-01T09:15:00Z,87.98,0.33,21.5,0.872,0.37,87.98,0.857,21.6,111.1,112.1,451,0,15,450,7,0
ET7,MC1,2023-06-01T09:30:00Z,87.97,0.36,22,0.865,0.38,87.97,0.854,21.8,140.1,130,450,0,15,450,2,0
ET7,MC1,2023-06-01T09:45:00Z,87.96,0.37,21.8,0.858,0.41,87.96,0.846,22,100.7,102,451,0,15,450,2,0
ET7,MC1,2023-06-01T10:00:00Z,87.95,0.38,21.8,0.856,0.42,87.94,0.843,22.2,176.3,152.3,448,0,10,449,3,0
ET7,MC1,2023-06-01T10:15:00Z,87.95,0.42,22.2,0.843,0.5,87.94,0.821,22.9,124.9,139.3,450,0,4,449,0,0
ET7,MC1,2023-06-01T10:30:00Z,87.93,0.43,22.7,0.844,0.51,87.93,0.822,23.2,132.6,150.5,450,0,2,449,0,0
ET7,MC1,2023-06-01T10:45:00Z,87.92,0.51,23,0.819,0.56,87.91,0.805,23.4,171.8,235.1,449,0,3,448,0,0
ET7,MC1,2023-06-01T11:00:00Z,87.91,0.66,23.8,0.778,0.67,87.91,0.775,24,232.7,277.8,449,0,0,448,0,0
ET7,MC1,2023-06-01T11:15:00Z,87.9,0.57,23.3,0.8,0.59,87.89,0.794,23.5,151.4,158,449,0,0,448,0,0
ET7,MC1,2023-06-01T11:30:00Z,87.88,0.43,22.8,0.846,0.5,87.88,0.826,23.3,147,228.3,450,0,8,449,0,0
ET7,MC1,2023-06-01T11:45:00Z,87.88,0.41,22.9,0.853,0.45,87.88,0.839,23.1,70.5,73.4,451,0,14,449,0,0
ET7,MC1,2023-06-01T12:00:00Z,87.86,0.36,22.4,0.866,0.4,87.86,0.852,22.5,100,106.9,450,0,15,449,0,0
ET7,MC1,2023-06-01T12:15:00Z,87.84,0.39,22.9,0.861,0.42,87.84,0.851,23,128,133.3,450,0,15,449,0,0
ET7,MC1,2023-06-01T12:30:00Z,87.82,0.34,23,0.877,0.41,87.82,0.856,23.3,143.9,250.7,450,0,15,449,0,0
ET7,MC1,2023-06-01T12:45:00Z,87.8,0.38,23.5,0.869,0.45,87.8,0.848,23.8,100.7,104.2,450,0,15,449,0,0
ET7,MC1,2023-06-01T13:00:00Z,87.79,0.34,22.6,0.875,0.41,87.78,0.853,23,93.4,98.3,451,0,15,450,0,0
ET7,MC1,2023-06-01T13:15:00Z,87.78,0.31,22.6,0.887,0.38,87.78,0.865,22.9,105.5,104.2,451,0,15,450,0,0
ET7,MC1,2023-06-01T13:30:00Z,87.78,0.28,22.4,0.898,0.35,87.78,0.875,22.7,87.2,92.3,451,0,15,450,8,0
ET7,MC1,2023-06-01T13:45:00Z,87.76,0.25,22.7,0.911,0.32,87.76,0.885,22.9,150.1,155.1,451,0,15,450,8,0
ET7,MC1,2023-06-01T14:00:00Z,87.75,0.28,22.9,0.899,0.34,87.75,0.88,22.9,44.7,46.9,522,6,15,553,10,7
ET7,MC1,2023-06-01T14:15:00Z,87.76,0.25,21.7,0.904,0.29,87.76,0.887,21.8,18.9,19.2,922,15,15,593,15,15
