Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-06-01T05:45:00Z,0.842,19,85.96,0.35,19.3,0.37,0.834,86.08,3.3,0.4,15,451,0,15,471,15
FB2,MC2,2023-06-01T06:00:00Z,0.84,19,85.99,0.35,19.3,0.37,0.834,86.11,10.1,7,15,451,0,15,462,15
FB2,MC2,2023-06-01T06:15:00Z,0.849,18.9,86.01,0.33,19.1,0.33,0.849,86.13,14.5,9.5,15,451,0,15,456,5
FB2,MC2,2023-06-01T06:30:00Z,0.865,18.6,86.03,0.29,18.9,0.29,0.865,86.15,14.6,10.4,15,451,0,15,454,0
FB2,MC2,2023-06-01T06:45:00Z,0.875,18.6,86.04,0.27,18.8,0.27,0.877,86.16,19.4,13.4,15,451,0,15,454,0
FB2,MC2,2023-06-01T07:00:00Z,0.872,18.7,86.06,0.28,18.9,0.28,0.871,86.18,26,17.2,15,451,0,15,454,0
FB2,MC2,2023-06-01T07:15:00Z,0.875,18.8,86.07,0.27,18.9,0.26,0.881,86.19,40.1,23.8,15,451,0,15,454,0
FB2,MC2,2023-06-01T07:30:00Z,0.888,18.8,86.09,0.24,18.8,0.23,0.896,86.21,62.1,34.8,15,451,0,15,454,0
FB2,MC2,2023-06-01T07:45:00Z,0.889,19.1,86.1,0.24,18.9,0.21,0.901,86.23,101.4,32.8,15,454,0,15,455,0
FB2,MC2,2023-06-01T08:00:00Z,0.884,19.3,86.11,0.26,18.9,0.22,0.901,86.24,111.3,39.7,15,450,0,15,455,0
FB2,MC2,2023-06-01T08:15:00Z,0.884,19.3,86.13,0.26,19,0.22,0.898,86.25,82.2,35.9,15,451,0,15,454,0
FB2,MC2,2023-06-01T08:30:00Z,0.884,19.2,86.14,0.26,19,0.22,0.898,86.27,87.3,44.3,15,451,0,15,454,0
FB2,MC2,2023-06-01T08:45:00Z,0.886,19.5,86.15,0.26,19.2,0.22,0.901,86.28,90.6,47.1,15,451,0,15,454,0
