Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_VPD,Port3_Atmos_pressure,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET2,MC3,2023-05-31T18:45:00Z,19.2,0.911,0.2,88.08,0,0,15,452,NA,17.1
ET2,MC3,2023-05-31T19:00:00Z,19.3,0.906,0.21,88.11,0,0,15,452,NA,16.9
ET2,MC3,2023-05-31T19:15:00Z,19.4,0.9,0.22,88.13,0,0,15,452,NA,16.7
ET2,MC3,2023-05-31T19:30:00Z,19.4,0.906,0.21,88.15,0,0,15,452,NA,16.6
ET2,MC3,2023-05-31T19:45:00Z,19.5,0.897,0.23,88.17,0,0,15,451,NA,16.5
ET2,MC3,2023-05-31T20:00:00Z,19.7,0.874,0.29,88.19,0,0,15,451,NA,16.4
ET2,MC3,2023-05-31T20:15:00Z,19.8,0.858,0.33,88.2,0,0,15,452,NA,16.3
ET2,MC3,2023-05-31T20:30:00Z,19.8,0.852,0.34,88.21,0,0,15,451,NA,16.3
ET2,MC3,2023-05-31T20:45:00Z,19.8,0.861,0.32,88.22,0,0,15,452,NA,16.2
ET2,MC3,2023-05-31T21:00:00Z,19.6,0.881,0.27,88.22,0,0,15,451,NA,16.2
ET2,MC3,2023-05-31T21:15:00Z,19.5,0.9,0.23,88.22,0,0,15,455,NA,16.2
ET2,MC3,2023-05-31T21:30:00Z,19.5,0.908,0.21,88.23,0,0,15,452,NA,16.1
ET2,MC3,2023-05-31T21:45:00Z,19.5,0.915,0.19,88.25,0,0,15,452,NA,16.1
ET2,MC3,2023-05-31T22:00:00Z,19.6,0.919,0.19,88.24,0,0,15,454,NA,16.2
ET2,MC3,2023-05-31T22:15:00Z,19.4,0.929,0.16,88.24,0,14,15,601,NA,16.1
ET2,MC3,2023-05-31T22:30:00Z,19,0.951,0.11,88.24,0,15,15,568,NA,16
ET2,MC3,2023-05-31T22:45:00Z,18.9,0.964,0.08,88.25,0,15,15,836,NA,16
ET2,MC3,2023-05-31T23:00:00Z,18.8,0.976,0.05,88.24,0,15,15,613,NA,15.9
ET2,MC3,2023-05-31T23:15:00Z,18.6,0.988,0.03,88.24,0,15,15,566,NA,15.9
ET2,MC3,2023-05-31T23:30:00Z,18.6,0.992,0.02,88.22,0,15,15,688,NA,15.9
ET2,MC3,2023-05-31T23:45:00Z,18.6,1,0,88.21,0,15,15,717,NA,15.9
ET2,MC3,2023-06-01T00:00:00Z,18.7,1,0,88.21,0,15,15,640,NA,15.9
ET2,MC3,2023-06-01T00:15:00Z,18.7,1.001,0,88.19,0,15,15,572,NA,15.9
ET2,MC3,2023-06-01T00:30:00Z,18.7,1.001,0,88.16,0,15,15,561,NA,16
ET2,MC3,2023-06-01T00:45:00Z,18.8,1,0,88.14,0,15,15,573,NA,16
ET2,MC3,2023-06-01T01:00:00Z,18.9,0.996,0.01,88.13,0,15,15,649,NA,15.9
ET2,MC3,2023-06-01T01:15:00Z,18.8,1,0,88.1,0,15,15,649,NA,16
ET2,MC3,2023-06-01T01:30:00Z,18.8,1.001,0,88.07,0,15,15,587,NA,16
ET2,MC3,2023-06-01T01:45:00Z,18.8,1,0,88.03,0,15,15,556,NA,16
ET2,MC3,2023-06-01T02:00:00Z,18.6,0.997,0.01,88.02,0,15,15,524,NA,15.9
ET2,MC3,2023-06-01T02:15:00Z,18.6,0.994,0.01,88.01,0,15,15,504,NA,15.9
ET2,MC3,2023-06-01T02:30:00Z,18.6,0.989,0.02,88,0,15,15,588,NA,15.9
ET2,MC3,2023-06-01T02:45:00Z,18.6,0.984,0.03,87.99,0,15,15,695,NA,15.8
ET2,MC3,2023-06-01T03:00:00Z,18.5,0.986,0.03,87.97,0,15,15,688,NA,15.8
ET2,MC3,2023-06-01T03:15:00Z,18.3,0.991,0.02,87.96,0,15,15,581,NA,15.8
ET2,MC3,2023-06-01T03:30:00Z,18.4,0.989,0.02,87.96,0,15,15,580,NA,15.7
ET2,MC3,2023-06-01T03:45:00Z,18.4,0.987,0.03,87.96,0,15,15,554,NA,15.7
ET2,MC3,2023-06-01T04:00:00Z,18.6,0.985,0.03,87.96,0,15,15,531,NA,15.8
ET2,MC3,2023-06-01T04:15:00Z,18.6,0.985,0.03,87.97,0,15,15,516,NA,15.8
ET2,MC3,2023-06-01T04:30:00Z,18.8,0.981,0.04,87.97,0,15,15,502,NA,15.8
ET2,MC3,2023-06-01T04:45:00Z,18.9,0.974,0.06,87.98,0,15,15,487,NA,15.8
ET2,MC3,2023-06-01T05:00:00Z,19.2,0.944,0.13,87.99,0,15,15,471,NA,15.9
ET2,MC3,2023-06-01T05:15:00Z,19.4,0.911,0.2,88,0,10,15,455,NA,15.9
ET2,MC3,2023-06-01T05:30:00Z,19.8,0.877,0.28,88.02,0,0,15,452,NA,15.9
ET2,MC3,2023-06-01T05:45:00Z,20,0.851,0.35,88.03,5.7,0,15,452,NA,15.9
ET2,MC3,2023-06-01T06:00:00Z,20,0.852,0.35,88.06,13,0,15,452,NA,15.9
ET2,MC3,2023-06-01T06:15:00Z,19.9,0.854,0.34,88.08,18.7,0,15,452,NA,16
ET2,MC3,2023-06-01T06:30:00Z,19.9,0.864,0.32,88.1,20.9,0,15,452,NA,16
ET2,MC3,2023-06-01T06:45:00Z,19.8,0.873,0.29,88.11,26,0,15,452,NA,16.1
ET2,MC3,2023-06-01T07:00:00Z,19.8,0.884,0.27,88.13,31.3,0,15,453,NA,16.3
ET2,MC3,2023-06-01T07:15:00Z,19.8,0.902,0.23,88.15,51.6,0,15,453,NA,16.6
ET2,MC3,2023-06-01T07:30:00Z,20.4,0.941,0.14,88.17,86.4,0,15,453,NA,17.2
ET2,MC3,2023-06-01T07:45:00Z,20.4,0.936,0.15,88.19,84.8,0,15,453,NA,17.7
ET2,MC3,2023-06-01T08:00:00Z,20.9,0.924,0.19,88.19,100.7,0,15,454,NA,18.1
ET2,MC3,2023-06-01T08:15:00Z,21,0.898,0.25,88.2,97.8,0,15,453,NA,18.3
ET2,MC3,2023-06-01T08:30:00Z,21.1,0.884,0.29,88.22,107.7,0,15,453,NA,18.2
ET2,MC3,2023-06-01T08:45:00Z,21.5,0.881,0.3,88.23,109.9,0,15,452,NA,18.5
ET2,MC3,2023-06-01T09:00:00Z,21.8,0.862,0.36,88.24,127.8,0,15,452,NA,18.8
ET2,MC3,2023-06-01T09:15:00Z,21.6,0.881,0.31,88.24,127.4,0,15,452,NA,19
ET2,MC3,2023-06-01T09:30:00Z,21.8,0.882,0.31,88.23,184.4,0,15,452,NA,19.5
ET2,MC3,2023-06-01T09:45:00Z,22,0.861,0.37,88.22,126.3,0,15,452,NA,19.8
ET2,MC3,2023-06-01T10:00:00Z,21.9,0.856,0.38,88.21,193,0,15,452,NA,19.7
ET2,MC3,2023-06-01T10:15:00Z,22.4,0.848,0.41,88.21,131.8,0,15,451,NA,20.2
ET2,MC3,2023-06-01T10:30:00Z,22.5,0.831,0.46,88.19,138.8,0,15,452,NA,20.6
ET2,MC3,2023-06-01T10:45:00Z,23,0.836,0.46,88.18,145.9,0,15,451,NA,21
ET2,MC3,2023-06-01T11:00:00Z,23.5,0.8,0.58,88.17,157.7,0,15,450,NA,21.2
ET2,MC3,2023-06-01T11:15:00Z,23.6,0.81,0.55,88.15,172.7,0,14,450,NA,20.6
ET2,MC3,2023-06-01T11:30:00Z,23,0.851,0.42,88.14,153.4,0,15,451,NA,20.3
ET2,MC3,2023-06-01T11:45:00Z,22.7,0.876,0.34,88.14,81.5,0,15,451,NA,20.6
ET2,MC3,2023-06-01T12:00:00Z,22.6,0.886,0.31,88.12,121.4,0,15,451,NA,20.4
ET2,MC3,2023-06-01T12:15:00Z,22.6,0.884,0.32,88.1,138.4,0,15,451,NA,20.9
ET2,MC3,2023-06-01T12:30:00Z,22.7,0.888,0.31,88.08,142.8,0,15,452,NA,21.1
ET2,MC3,2023-06-01T12:45:00Z,22.9,0.876,0.35,88.06,114.1,0,15,451,NA,21.2
ET2,MC3,2023-06-01T13:00:00Z,22.8,0.888,0.31,88.05,123.8,0,15,451,NA,21.1
ET2,MC3,2023-06-01T13:15:00Z,22.6,0.898,0.28,88.04,127.3,0,15,451,NA,21
ET2,MC3,2023-06-01T13:30:00Z,22.3,0.914,0.23,88.04,111,0,15,452,NA,21
ET2,MC3,2023-06-01T13:45:00Z,22.2,0.932,0.18,88.02,176,0,15,451,NA,21.1
ET2,MC3,2023-06-01T14:00:00Z,22.5,0.926,0.2,88.01,54.7,6,15,722,NA,21.4
ET2,MC3,2023-06-01T14:15:00Z,21.9,0.929,0.19,88.02,26.2,15,15,899,NA,20.3
ET2,MC3,2023-06-01T14:30:00Z,21,0.965,0.09,88.02,38.6,15,15,841,NA,19.4
ET2,MC3,2023-06-01T14:45:00Z,20.6,0.981,0.05,87.97,104.2,15,15,602,NA,19.4
ET2,MC3,2023-06-01T15:00:00Z,20.9,0.986,0.03,87.94,131.1,15,15,566,NA,19.9
ET2,MC3,2023-06-01T15:15:00Z,21.3,0.978,0.06,87.97,127.1,15,15,546,NA,20
ET2,MC3,2023-06-01T15:30:00Z,21.6,0.971,0.07,87.96,110.4,15,15,530,NA,20.5
ET2,MC3,2023-06-01T15:45:00Z,22,0.944,0.15,87.96,131.5,15,15,516,NA,21.4
ET2,MC3,2023-06-01T16:00:00Z,21.8,0.926,0.19,87.97,92.3,15,15,533,NA,21.1
ET2,MC3,2023-06-01T16:15:00Z,21.8,0.932,0.18,87.96,57.5,15,15,703,NA,20.8
ET2,MC3,2023-06-01T16:30:00Z,20.9,0.951,0.12,87.97,19.4,15,15,628,NA,19.8
ET2,MC3,2023-06-01T16:45:00Z,20.3,0.968,0.08,87.96,27.3,15,15,602,NA,19.2
ET2,MC3,2023-06-01T17:00:00Z,20.1,0.973,0.06,87.94,37.5,15,15,555,NA,19
ET2,MC3,2023-06-01T17:15:00Z,20.2,0.977,0.05,87.94,22.5,15,15,542,NA,18.8
ET2,MC3,2023-06-01T17:30:00Z,20.1,0.979,0.05,87.95,13.4,15,15,529,NA,18.6
ET2,MC3,2023-06-01T17:45:00Z,20.2,0.979,0.05,87.99,7.1,15,15,518,NA,18.4
ET2,MC3,2023-06-01T18:00:00Z,20.2,0.978,0.05,88.01,0,15,15,512,NA,18.2
ET2,MC3,2023-06-01T18:15:00Z,20.2,0.977,0.05,88.02,0,15,15,504,NA,18.1
ET2,MC3,2023-06-01T18:30:00Z,20.1,0.969,0.07,88.02,0,15,15,498,NA,18
ET2,MC3,2023-06-01T18:45:00Z,19.9,0.978,0.05,88.03,0,15,15,492,NA,17.8
ET2,MC3,2023-06-01T19:00:00Z,19.9,0.982,0.04,88.05,0,15,15,486,NA,17.7
ET2,MC3,2023-06-01T19:15:00Z,19.8,0.983,0.04,88.09,0,15,15,479,NA,17.6
ET2,MC3,2023-06-01T19:30:00Z,19.9,0.982,0.04,88.1,0,15,15,472,NA,17.5
ET2,MC3,2023-06-01T19:45:00Z,19.9,0.983,0.04,88.1,0,15,15,496,NA,17.4
ET2,MC3,2023-06-01T20:00:00Z,19.9,0.99,0.02,88.11,0,15,15,514,NA,17.4
ET2,MC3,2023-06-01T20:15:00Z,19.9,0.993,0.02,88.12,0,15,15,600,NA,17.3
ET2,MC3,2023-06-01T20:30:00Z,19.9,0.992,0.02,88.14,0,15,15,662,NA,17.3
ET2,MC3,2023-06-01T20:45:00Z,19.8,0.995,0.01,88.17,0,15,15,678,NA,17.2
ET2,MC3,2023-06-01T21:00:00Z,19.8,0.999,0,88.17,0,15,15,606,NA,17.2
ET2,MC3,2023-06-01T21:15:00Z,19.8,0.999,0,88.17,0,15,15,608,NA,17.2
ET2,MC3,2023-06-01T21:30:00Z,19.8,1,0,88.18,0,15,15,676,NA,17.1
ET2,MC3,2023-06-01T21:45:00Z,19.8,0.999,0,88.2,0,15,15,799,NA,17.1
ET2,MC3,2023-06-01T22:00:00Z,19.6,0.999,0,88.2,0,15,15,642,NA,17.1
ET2,MC3,2023-06-01T22:15:00Z,19.4,1.001,0,88.22,0,15,15,585,NA,17
ET2,MC3,2023-06-01T22:30:00Z,19.4,0.999,0,88.21,0,15,15,572,NA,16.9
ET2,MC3,2023-06-01T22:45:00Z,19.4,1,0,88.19,0,15,15,645,NA,16.8
ET2,MC3,2023-06-01T23:00:00Z,19.5,1,0,88.18,0,15,15,851,NA,16.8
ET2,MC3,2023-06-01T23:15:00Z,19.6,0.999,0,88.17,0,15,15,674,NA,16.8
ET2,MC3,2023-06-01T23:30:00Z,19.5,1,0,88.14,0,15,15,551,NA,16.7
ET2,MC3,2023-06-01T23:45:00Z,19.3,1,0,88.14,0,15,15,586,NA,16.7
ET2,MC3,2023-06-02T00:00:00Z,19.1,1,0,88.14,0,15,15,475,NA,16.6
ET2,MC3,2023-06-02T00:15:00Z,19.2,0.999,0,88.13,0,15,15,472,NA,16.6
ET2,MC3,2023-06-02T00:30:00Z,19.4,1,0,88.11,0,15,15,469,NA,16.6
ET2,MC3,2023-06-02T00:45:00Z,19.5,0.997,0.01,88.09,0,15,15,466,NA,16.6
ET2,MC3,2023-06-02T01:00:00Z,19.5,0.995,0.01,88.07,0,15,15,462,NA,16.6
ET2,MC3,2023-06-02T01:15:00Z,19.4,0.995,0.01,88.03,0,8,15,458,NA,16.6
ET2,MC3,2023-06-02T01:30:00Z,19.4,0.995,0.01,88.01,0,0,15,457,NA,16.6
ET2,MC3,2023-06-02T01:45:00Z,19.4,0.997,0.01,88,0,0,15,456,NA,16.6
ET2,MC3,2023-06-02T02:00:00Z,19.4,0.998,0,87.98,0,0,15,456,NA,16.6
ET2,MC3,2023-06-02T02:15:00Z,19.4,0.994,0.01,87.96,0,0,15,455,NA,16.6
ET2,MC3,2023-06-02T02:30:00Z,19.6,0.984,0.04,87.95,0,0,15,457,NA,16.6
ET2,MC3,2023-06-02T02:45:00Z,19.5,0.985,0.03,87.95,0,0,15,455,NA,16.6
ET2,MC3,2023-06-02T03:00:00Z,19.5,0.982,0.04,87.95,0,0,15,455,NA,16.6
ET2,MC3,2023-06-02T03:15:00Z,19.5,0.976,0.06,87.94,0,0,15,455,NA,16.6
ET2,MC3,2023-06-02T03:30:00Z,19.4,0.973,0.06,87.94,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T03:45:00Z,19.4,0.97,0.07,87.94,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T04:00:00Z,19.4,0.969,0.07,87.94,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T04:15:00Z,19.4,0.966,0.08,87.95,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T04:30:00Z,19.5,0.959,0.09,87.94,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T04:45:00Z,19.6,0.953,0.11,87.95,0,0,15,454,NA,16.5
ET2,MC3,2023-06-02T05:00:00Z,19.6,0.95,0.11,87.96,0,7,15,469,NA,16.5
ET2,MC3,2023-06-02T05:15:00Z,19.6,0.954,0.1,87.98,0,5,15,455,NA,16.5
ET2,MC3,2023-06-02T05:30:00Z,19.6,0.957,0.1,87.98,0,0,15,455,NA,16.5
ET2,MC3,2023-06-02T05:45:00Z,19.6,0.958,0.09,88,6.8,0,15,455,NA,16.5
ET2,MC3,2023-06-02T06:00:00Z,19.7,0.956,0.1,88.02,14.1,0,15,454,NA,16.5
ET2,MC3,2023-06-02T06:15:00Z,19.8,0.951,0.11,88.04,21.4,0,15,455,NA,16.6
ET2,MC3,2023-06-02T06:30:00Z,19.7,0.958,0.1,88.06,23.6,0,15,455,NA,16.7
ET2,MC3,2023-06-02T06:45:00Z,19.7,0.962,0.09,88.08,17.9,1,15,460,NA,16.7
ET2,MC3,2023-06-02T07:00:00Z,19.6,0.963,0.08,88.09,13,15,15,708,NA,16.7
ET2,MC3,2023-06-02T07:15:00Z,19.4,0.971,0.07,88.1,10.1,15,15,691,NA,16.6
ET2,MC3,2023-06-02T07:30:00Z,19,0.98,0.04,88.1,8.6,15,15,607,NA,16.5
ET2,MC3,2023-06-02T07:45:00Z,18.8,0.988,0.03,88.1,9.5,15,15,640,NA,16.4
ET2,MC3,2023-06-02T08:00:00Z,18.8,0.992,0.02,88.1,12.5,15,15,577,NA,16.3
ET2,MC3,2023-06-02T08:15:00Z,19,0.992,0.02,88.11,15,15,15,586,NA,16.3
ET2,MC3,2023-06-02T08:30:00Z,19.3,0.992,0.02,88.12,18.1,15,15,598,NA,16.4
ET2,MC3,2023-06-02T08:45:00Z,19.4,0.994,0.01,88.12,22.5,15,15,597,NA,16.4
ET2,MC3,2023-06-02T09:00:00Z,19.4,0.993,0.02,88.13,27.1,15,15,583,NA,16.5
ET2,MC3,2023-06-02T09:15:00Z,19.5,0.995,0.01,88.12,36.1,15,15,560,NA,16.6
ET2,MC3,2023-06-02T09:30:00Z,19.7,0.987,0.03,88.1,51.1,15,15,537,NA,16.7
ET2,MC3,2023-06-02T09:45:00Z,20,0.977,0.05,88.08,78.6,15,15,488,NA,16.9
ET2,MC3,2023-06-02T10:00:00Z,20.4,0.967,0.08,88.07,89.7,15,15,465,NA,17.3
ET2,MC3,2023-06-02T10:15:00Z,20.8,0.958,0.1,88.05,95.6,15,15,461,NA,17.7
ET2,MC3,2023-06-02T10:30:00Z,21.1,0.939,0.15,88.04,121,2,15,458,NA,18.1
ET2,MC3,2023-06-02T10:45:00Z,21.5,0.937,0.16,88.05,151.4,5,15,455,NA,18.6
ET2,MC3,2023-06-02T11:00:00Z,21.6,0.935,0.17,88.06,164.6,0,15,454,NA,19.2
ET2,MC3,2023-06-02T11:15:00Z,21.9,0.924,0.2,88.05,182.7,0,15,453,NA,19.6
ET2,MC3,2023-06-02T11:30:00Z,22.5,0.91,0.25,88.04,185.3,0,15,452,NA,20.2
ET2,MC3,2023-06-02T11:45:00Z,22.8,0.888,0.31,88.04,195.7,0,15,452,NA,20.5
ET2,MC3,2023-06-02T12:00:00Z,23,0.859,0.4,88.01,212.8,0,15,451,NA,20.7
ET2,MC3,2023-06-02T12:15:00Z,23,0.847,0.43,87.98,189.9,0,15,451,NA,20.6
ET2,MC3,2023-06-02T12:30:00Z,23,0.857,0.4,87.97,193.4,0,15,451,NA,20.6
ET2,MC3,2023-06-02T12:45:00Z,23.2,0.853,0.42,87.96,205.3,0,15,451,NA,21
ET2,MC3,2023-06-02T13:00:00Z,23,0.855,0.41,87.95,195.2,0,15,451,NA,21
ET2,MC3,2023-06-02T13:15:00Z,22.9,0.865,0.38,87.93,210.2,0,15,451,NA,20.8
ET2,MC3,2023-06-02T13:30:00Z,22.7,0.872,0.35,87.91,175.4,0,15,451,NA,20.6
ET2,MC3,2023-06-02T13:45:00Z,22,0.89,0.29,87.9,129.8,0,15,452,NA,20.3
ET2,MC3,2023-06-02T14:00:00Z,21.6,0.898,0.26,87.88,131.7,0,15,452,NA,20.1
ET2,MC3,2023-06-02T14:15:00Z,21.8,0.892,0.28,87.87,144.7,0,15,451,NA,20.1
ET2,MC3,2023-06-02T14:30:00Z,22.3,0.868,0.36,87.85,151.4,0,15,451,NA,20.7
ET2,MC3,2023-06-02T14:45:00Z,22.7,0.846,0.42,87.82,171,0,12,450,NA,21.3
ET2,MC3,2023-06-02T15:00:00Z,23.3,0.829,0.49,87.8,261.5,0,0,449,NA,23
ET2,MC3,2023-06-02T15:15:00Z,23.8,0.798,0.6,87.79,161.1,0,0,449,NA,25
ET2,MC3,2023-06-02T15:30:00Z,23.8,0.787,0.63,87.79,125.8,0,0,449,NA,25
ET2,MC3,2023-06-02T15:45:00Z,23.6,0.774,0.66,87.78,190.2,0,0,449,NA,26.2
ET2,MC3,2023-06-02T16:00:00Z,23.5,0.765,0.68,87.79,164.1,0,0,449,NA,27
ET2,MC3,2023-06-02T16:15:00Z,23.3,0.796,0.58,87.8,89.9,0,5,450,NA,24.7
ET2,MC3,2023-06-02T16:30:00Z,22.8,0.825,0.48,87.81,62.8,0,15,450,NA,22.9
ET2,MC3,2023-06-02T16:45:00Z,22.3,0.848,0.41,87.82,33.3,0,15,451,NA,21.6
ET2,MC3,2023-06-02T17:00:00Z,22.2,0.863,0.37,87.82,43.8,0,15,450,NA,20.9
ET2,MC3,2023-06-02T17:15:00Z,22.4,0.847,0.41,87.83,41.4,0,15,451,NA,21
ET2,MC3,2023-06-02T17:30:00Z,21.7,0.848,0.39,87.84,19,0,15,451,NA,20.1
ET2,MC3,2023-06-02T17:45:00Z,21.6,0.834,0.43,87.85,13,0,15,451,NA,19.5
ET2,MC3,2023-06-02T18:00:00Z,21.4,0.842,0.4,87.87,6.6,0,15,451,NA,19.1
ET2,MC3,2023-06-02T18:15:00Z,21.2,0.851,0.38,87.89,0,0,15,451,NA,18.7
ET2,MC3,2023-06-02T18:30:00Z,20.9,0.866,0.33,87.89,0,0,15,451,NA,18.3
ET2,MC3,2023-06-02T18:45:00Z,20.7,0.865,0.33,87.92,0,0,15,451,NA,18
ET2,MC3,2023-06-02T19:00:00Z,20.6,0.854,0.35,87.94,0,0,15,451,NA,17.8
ET2,MC3,2023-06-02T19:15:00Z,20.2,0.868,0.31,87.96,0,0,15,451,NA,17.5
ET2,MC3,2023-06-02T19:30:00Z,20.1,0.869,0.31,87.97,0,0,15,451,NA,17.3
ET2,MC3,2023-06-02T19:45:00Z,20.1,0.861,0.33,87.96,0,0,15,451,NA,17.1
ET2,MC3,2023-06-02T20:00:00Z,20,0.863,0.32,87.96,0,0,15,451,NA,16.9
ET2,MC3,2023-06-02T20:15:00Z,20.2,0.858,0.34,87.97,0,0,15,451,NA,16.8
ET2,MC3,2023-06-02T20:30:00Z,20.2,0.873,0.3,87.96,0,0,15,451,NA,16.8
ET2,MC3,2023-06-02T20:45:00Z,20.2,0.886,0.27,87.98,0,0,15,452,NA,16.7
ET2,MC3,2023-06-02T21:00:00Z,20.1,0.897,0.24,87.98,0,0,15,452,NA,16.6
ET2,MC3,2023-06-02T21:15:00Z,20,0.907,0.22,87.99,0,0,15,452,NA,16.6
ET2,MC3,2023-06-02T21:30:00Z,19.9,0.908,0.21,88.01,0,0,15,452,NA,16.5
ET2,MC3,2023-06-02T21:45:00Z,19.8,0.913,0.2,88.01,0,0,15,452,NA,16.5
ET2,MC3,2023-06-02T22:00:00Z,19.8,0.919,0.19,88,0,0,15,452,NA,16.5
ET2,MC3,2023-06-02T22:15:00Z,19.8,0.931,0.16,88,0,0,15,452,NA,16.5
ET2,MC3,2023-06-02T22:30:00Z,19.7,0.939,0.14,88.01,0,0,15,453,NA,16.4
ET2,MC3,2023-06-02T22:45:00Z,19.7,0.945,0.13,88.01,0,0,15,453,NA,16.4
ET2,MC3,2023-06-02T23:00:00Z,19.6,0.941,0.13,88,0,0,15,453,NA,16.4
ET2,MC3,2023-06-02T23:15:00Z,19.5,0.941,0.13,87.98,0,0,15,453,NA,16.4
ET2,MC3,2023-06-02T23:30:00Z,19.4,0.941,0.13,87.96,0,0,15,453,NA,16.3
ET2,MC3,2023-06-02T23:45:00Z,19.4,0.94,0.14,87.96,0,0,15,453,NA,16.3
ET2,MC3,2023-06-03T00:00:00Z,19.4,0.937,0.14,87.95,0,0,15,453,NA,16.3
ET2,MC3,2023-06-03T00:15:00Z,19.5,0.936,0.14,87.94,0,0,15,453,NA,16.3
ET2,MC3,2023-06-03T00:30:00Z,19.4,0.94,0.13,87.92,0,0,15,453,NA,16.3
ET2,MC3,2023-06-03T00:45:00Z,19.3,0.942,0.13,87.91,0,0,15,453,NA,16.3
ET2,MC3,2023-06-03T01:00:00Z,19.2,0.941,0.13,87.9,0,0,15,453,NA,16.2
ET2,MC3,2023-06-03T01:15:00Z,19.2,0.933,0.15,87.89,0,0,15,453,NA,16.2
ET2,MC3,2023-06-03T01:30:00Z,19.2,0.925,0.17,87.89,0,0,15,452,NA,16.2
ET2,MC3,2023-06-03T01:45:00Z,19.2,0.919,0.18,87.88,0,0,15,452,NA,16.2
ET2,MC3,2023-06-03T02:00:00Z,19.2,0.917,0.18,87.87,0,0,15,452,NA,16.1
ET2,MC3,2023-06-03T02:15:00Z,19.1,0.919,0.18,87.85,0,0,15,452,NA,16
ET2,MC3,2023-06-03T02:30:00Z,19,0.924,0.17,87.84,0,0,15,452,NA,16
ET2,MC3,2023-06-03T02:45:00Z,19.1,0.931,0.15,87.83,0,0,15,452,NA,16
ET2,MC3,2023-06-03T03:00:00Z,19.2,0.932,0.15,87.83,0,0,15,453,NA,16
ET2,MC3,2023-06-03T03:15:00Z,19.3,0.93,0.16,87.84,0,0,15,452,NA,16
ET2,MC3,2023-06-03T03:30:00Z,19.5,0.921,0.18,87.84,0,0,15,452,NA,16
ET2,MC3,2023-06-03T03:45:00Z,19.5,0.921,0.18,87.83,0,0,15,452,NA,16
ET2,MC3,2023-06-03T04:00:00Z,19.8,0.904,0.22,87.83,0,0,15,452,NA,16
ET2,MC3,2023-06-03T04:15:00Z,19.8,0.896,0.24,87.84,0,0,15,452,NA,16
ET2,MC3,2023-06-03T04:30:00Z,19.8,0.895,0.24,87.83,0,0,15,452,NA,16
ET2,MC3,2023-06-03T04:45:00Z,19.8,0.897,0.24,87.83,0,0,15,452,NA,16
ET2,MC3,2023-06-03T05:00:00Z,19.6,0.902,0.22,87.84,0,0,15,452,NA,15.9
ET2,MC3,2023-06-03T05:15:00Z,19.6,0.901,0.23,87.84,0,0,15,452,NA,15.9
ET2,MC3,2023-06-03T05:30:00Z,19.8,0.893,0.25,87.85,1.6,0,15,452,NA,15.9
ET2,MC3,2023-06-03T05:45:00Z,19.8,0.893,0.25,87.85,8.6,0,15,452,NA,16
ET2,MC3,2023-06-03T06:00:00Z,19.9,0.894,0.25,87.87,18.7,0,15,452,NA,16
ET2,MC3,2023-06-03T06:15:00Z,20.4,0.887,0.27,87.88,29.1,0,15,452,NA,16.3
ET2,MC3,2023-06-03T06:30:00Z,20.8,0.873,0.31,87.89,33.9,0,15,452,NA,16.6
ET2,MC3,2023-06-03T06:45:00Z,21.4,0.862,0.35,87.89,110.6,0,15,451,NA,16.8
ET2,MC3,2023-06-03T07:00:00Z,22.2,0.838,0.43,87.91,314.6,0,15,451,NA,17.2
ET2,MC3,2023-06-03T07:15:00Z,23.1,0.806,0.55,87.91,262,0,15,450,NA,17.6
ET2,MC3,2023-06-03T07:30:00Z,24.2,0.774,0.68,87.93,158.4,0,8,450,NA,18.5
ET2,MC3,2023-06-03T07:45:00Z,24,0.773,0.67,87.94,47.8,0,15,450,NA,18.7
ET2,MC3,2023-06-03T08:00:00Z,23.6,0.801,0.58,87.95,51.3,0,15,451,NA,19.2
ET2,MC3,2023-06-03T08:15:00Z,23.6,0.797,0.59,87.96,75.8,0,15,450,NA,20.2
ET2,MC3,2023-06-03T08:30:00Z,23.8,0.784,0.63,87.97,69.8,0,15,450,NA,20
ET2,MC3,2023-06-03T08:45:00Z,24.2,0.762,0.72,87.97,66.1,0,5,450,NA,20.2
ET2,MC3,2023-06-03T09:00:00Z,24.6,0.751,0.77,87.98,72.5,0,4,450,NA,20.5
ET2,MC3,2023-06-03T09:15:00Z,24.5,0.757,0.74,87.98,95,0,4,450,NA,21.6
ET2,MC3,2023-06-03T09:30:00Z,24.5,0.76,0.74,88,551.3,0,8,449,NA,21.7
ET2,MC3,2023-06-03T09:45:00Z,24.5,0.762,0.73,87.99,261.5,0,3,450,NA,23.1
ET2,MC3,2023-06-03T10:00:00Z,24.5,0.764,0.72,88,251.8,0,0,449,NA,23.2
ET2,MC3,2023-06-03T10:15:00Z,24.6,0.773,0.7,87.99,265.5,0,0,449,NA,21.6
ET2,MC3,2023-06-03T10:30:00Z,24.4,0.781,0.67,87.99,151.4,0,0,450,NA,21.4
ET2,MC3,2023-06-03T10:45:00Z,24.4,0.806,0.59,88,134.6,0,4,450,NA,21
