Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes
ET5,MC2,2023-05-31T18:45:00Z,19,0.898,87.74,0.22,4.7,2.06,124,19.1,1,6.17,0,451,0,15
ET5,MC2,2023-05-31T19:00:00Z,19,0.898,87.77,0.22,4.9,2.56,121,19.2,1,6.22,0,451,0,15
ET5,MC2,2023-05-31T19:15:00Z,19.2,0.892,87.8,0.24,5.1,2.92,129,19.3,0.9,8.7,0,451,0,15
ET5,MC2,2023-05-31T19:30:00Z,19.1,0.896,87.81,0.23,5.1,3,118,19.2,1,7.53,0,452,0,15
ET5,MC2,2023-05-31T19:45:00Z,19.3,0.887,87.84,0.25,5.1,2.97,138,19.4,0.8,6.65,0,451,0,15
ET5,MC2,2023-05-31T20:00:00Z,19.4,0.868,87.85,0.3,4.9,1.76,149,19.5,0.9,4.55,0,451,0,15
ET5,MC2,2023-05-31T20:15:00Z,19.7,0.832,87.86,0.38,4.9,2.42,139,19.8,0.9,5.18,0,451,0,15
ET5,MC2,2023-05-31T20:30:00Z,19.7,0.836,87.87,0.38,5,2.11,116,19.8,1,5.45,0,451,0,15
ET5,MC2,2023-05-31T20:45:00Z,19.6,0.852,87.88,0.34,4.8,1.83,121,19.6,0.9,4.28,0,451,0,15
ET5,MC2,2023-05-31T21:00:00Z,19.5,0.867,87.88,0.3,4.8,1.17,143,19.5,0.8,3.04,0,451,0,15
ET5,MC2,2023-05-31T21:15:00Z,19.4,0.885,87.89,0.26,4.8,1.09,181,19.4,0.8,2.88,0,452,0,15
ET5,MC2,2023-05-31T21:30:00Z,19.4,0.891,87.9,0.24,4.8,1.29,163,19.4,0.8,4.09,0,452,0,15
ET5,MC2,2023-05-31T21:45:00Z,19.4,0.9,87.91,0.23,4.9,1.33,117,19.4,1,3.55,0,452,0,15
ET5,MC2,2023-05-31T22:00:00Z,19.4,0.902,87.9,0.22,4.8,1.3,145,19.4,0.8,3.1,0,452,0,15
ET5,MC2,2023-05-31T22:15:00Z,19.2,0.91,87.9,0.2,4.8,1.32,156,19.3,0.8,4.05,0,475,13,15
ET5,MC2,2023-05-31T22:30:00Z,19.1,0.925,87.91,0.17,4.8,1.67,188,19.3,0.8,5.22,0,454,7,15
ET5,MC2,2023-05-31T22:45:00Z,19.4,0.915,87.91,0.19,4.8,1.8,169,19.3,0.8,4.49,0,634,14,15
ET5,MC2,2023-05-31T23:00:00Z,18.7,0.947,87.9,0.11,4.3,1.07,143,18.4,0.5,2.91,0,648,15,15
ET5,MC2,2023-05-31T23:15:00Z,18.5,0.961,87.9,0.08,4.1,0.93,151,18.4,0.4,3.37,0,650,15,15
ET5,MC2,2023-05-31T23:30:00Z,18.6,0.968,87.88,0.07,4.1,0.73,173,18.5,0.4,3.62,0,595,15,15
ET5,MC2,2023-05-31T23:45:00Z,18.7,0.971,87.87,0.06,4.2,1.27,164,18.7,0.4,5.91,0,612,15,15
ET5,MC2,2023-06-01T00:00:00Z,18.8,0.967,87.87,0.07,4.3,1.09,169,18.9,0.4,3.92,0,554,15,15
ET5,MC2,2023-06-01T00:15:00Z,18.8,0.963,87.85,0.08,4.3,1.77,214,18.9,0.5,9.14,0,496,15,15
ET5,MC2,2023-06-01T00:30:00Z,19,0.956,87.83,0.1,4.5,2.83,206,19,0.3,8.33,0,531,15,15
ET5,MC2,2023-06-01T00:45:00Z,19,0.948,87.8,0.11,4.6,2.93,197,19.1,0.4,6.91,0,546,15,15
ET5,MC2,2023-06-01T01:00:00Z,19,0.946,87.8,0.12,4.6,2.6,201,19,0.5,5.28,0,572,15,15
ET5,MC2,2023-06-01T01:15:00Z,18.9,0.961,87.76,0.09,4.5,1.8,206,18.9,0.4,5.63,0,567,15,15
ET5,MC2,2023-06-01T01:30:00Z,18.9,0.962,87.73,0.08,4.5,2.12,205,19,0.4,6.52,0,496,15,15
ET5,MC2,2023-06-01T01:45:00Z,18.9,0.953,87.7,0.1,4.4,1.93,206,19.1,0.5,5.4,0,467,15,15
ET5,MC2,2023-06-01T02:00:00Z,18.9,0.934,87.68,0.15,4.5,1.51,171,19,0.6,5.14,0,461,14,15
ET5,MC2,2023-06-01T02:15:00Z,18.8,0.935,87.68,0.14,4.6,1.69,167,18.8,0.5,5.64,0,464,13,15
ET5,MC2,2023-06-01T02:30:00Z,18.6,0.948,87.66,0.11,4.6,1.45,156,18.6,0.6,6.04,0,555,14,15
ET5,MC2,2023-06-01T02:45:00Z,18.9,0.934,87.66,0.14,4.5,3.48,205,19,0.5,7.74,0,528,15,15
ET5,MC2,2023-06-01T03:00:00Z,18.8,0.928,87.64,0.16,4.5,2.9,200,18.9,0.5,6.9,0,515,15,15
ET5,MC2,2023-06-01T03:15:00Z,18.9,0.921,87.63,0.17,4.9,3.87,194,19,0.4,8.54,0,464,15,15
ET5,MC2,2023-06-01T03:30:00Z,19.1,0.914,87.62,0.19,4.8,3.77,197,19.2,0.4,7.18,0,487,15,15
ET5,MC2,2023-06-01T03:45:00Z,19.2,0.915,87.62,0.19,4.6,3.9,191,19.2,0.6,7.95,0,459,11,15
ET5,MC2,2023-06-01T04:00:00Z,19.3,0.912,87.62,0.2,4.8,4.92,193,19.4,0.5,8.62,0,455,0,15
ET5,MC2,2023-06-01T04:15:00Z,19.4,0.911,87.63,0.2,5.4,4.28,188,19.5,0.3,8.41,0,454,0,15
ET5,MC2,2023-06-01T04:30:00Z,19.4,0.913,87.63,0.2,4.7,2.59,161,19.4,0.8,6.01,0,454,0,15
ET5,MC2,2023-06-01T04:45:00Z,19.8,0.887,87.63,0.26,4.7,2.2,157,19.8,0.6,7.46,0,453,0,15
ET5,MC2,2023-06-01T05:00:00Z,20.5,0.834,87.65,0.4,4.8,1.88,156,20.5,0.9,5.99,0,452,0,15
ET5,MC2,2023-06-01T05:15:00Z,20.6,0.803,87.66,0.48,4.8,1.79,164,20.7,0.8,3.92,0,451,0,15
ET5,MC2,2023-06-01T05:30:00Z,21.1,0.766,87.68,0.58,4.8,1.73,167,21.1,0.7,4.93,0.9,450,0,15
ET5,MC2,2023-06-01T05:45:00Z,21.2,0.753,87.69,0.62,4.7,1.67,167,21.2,0.7,3.66,10.3,450,0,15
ET5,MC2,2023-06-01T06:00:00Z,21.3,0.747,87.72,0.64,4.8,1.71,169,21.3,0.7,4.14,20.9,450,0,15
ET5,MC2,2023-06-01T06:15:00Z,21.3,0.749,87.74,0.64,4.9,2.49,180,21.4,0.7,4.71,31.5,450,0,7
ET5,MC2,2023-06-01T06:30:00Z,21.3,0.753,87.77,0.62,4.9,2.56,184,21.4,0.7,5.69,34.2,450,0,0
ET5,MC2,2023-06-01T06:45:00Z,21.2,0.759,87.78,0.61,4.8,1.49,184,21.3,0.7,4.03,43,450,0,0
ET5,MC2,2023-06-01T07:00:00Z,20.8,0.8,87.8,0.49,4.6,0.49,358,20.7,0.8,1.51,55.8,450,0,12
ET5,MC2,2023-06-01T07:15:00Z,20.3,0.836,87.82,0.39,4.6,0.32,329,20.6,0.8,0.69,90.1,450,0,15
ET5,MC2,2023-06-01T07:30:00Z,20.5,0.843,87.83,0.38,4.7,0.41,337,21,0.8,0.68,165.9,450,0,15
ET5,MC2,2023-06-01T07:45:00Z,21,0.87,87.85,0.32,4.7,0.41,325,21.6,0.9,0.86,309.3,450,0,15
ET5,MC2,2023-06-01T08:00:00Z,21.7,0.866,87.86,0.35,4.7,0.53,351,22.4,1,1.54,336.9,455,11,15
ET5,MC2,2023-06-01T08:15:00Z,22.1,0.821,87.87,0.48,4.8,0.59,343,22.8,1,1.55,271.9,450,0,5
ET5,MC2,2023-06-01T08:30:00Z,21.6,0.832,87.89,0.43,4.7,0.61,342,22.7,0.8,1.66,247.2,450,0,11
ET5,MC2,2023-06-01T08:45:00Z,21.9,0.842,87.9,0.41,4.8,0.54,352,23,0.9,1.69,264,450,0,9
ET5,MC2,2023-06-01T09:00:00Z,22.4,0.827,87.91,0.47,4.8,0.53,7,23.3,1,1.75,281.8,450,0,1
ET5,MC2,2023-06-01T09:15:00Z,22.4,0.835,87.91,0.45,4.8,0.57,354,23.1,0.9,1.19,243.5,450,0,8
ET5,MC2,2023-06-01T09:30:00Z,22.6,0.837,87.9,0.45,4.8,0.53,344,23.4,0.9,1.12,273.2,450,0,0
ET5,MC2,2023-06-01T09:45:00Z,22.6,0.825,87.89,0.48,4.8,0.72,6,23.1,1,2.04,213.9,450,0,2
ET5,MC2,2023-06-01T10:00:00Z,22.4,0.827,87.87,0.47,4.8,0.81,358,23,1,1.45,328.9,449,0,4
ET5,MC2,2023-06-01T10:15:00Z,22.9,0.819,87.87,0.5,4.8,0.62,19,23.5,1,1.58,286.4,449,0,0
ET5,MC2,2023-06-01T10:30:00Z,23.5,0.788,87.86,0.61,4.8,0.73,349,23.9,1,2.58,341.7,449,0,0
ET5,MC2,2023-06-01T10:45:00Z,23.5,0.79,87.85,0.61,4.8,0.67,0,24.5,1,2.08,362.7,448,0,0
ET5,MC2,2023-06-01T11:00:00Z,24.4,0.755,87.84,0.75,4.9,0.81,325,25.2,1,2.13,596.9,448,0,0
ET5,MC2,2023-06-01T11:15:00Z,23.7,0.78,87.82,0.64,4.9,0.77,323,24.9,1,1.67,432.7,449,0,0
