Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port2_ATM22_Yaxis,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_temp,Port2_Wind_direction,Port2_ATM22_Xaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET8,MC2,2023-07-05T08:45:00Z,0,1,18.9,87.96,2.4,4.16,1.87,19.1,114,-1.4,181.8,15,15,527,0.074,18.8
ET8,MC2,2023-07-05T09:00:00Z,0,0.999,19,87.98,2.4,6.29,2.22,19.1,112,-1.4,189.3,15,15,496,0.073,18.8
ET8,MC2,2023-07-05T09:15:00Z,0.02,0.992,19.2,87.98,2.6,6.48,2.55,19.3,116,-1.4,351,15,15,474,0.072,18.8
ET8,MC2,2023-07-05T09:30:00Z,0.06,0.972,19.5,87.99,2.4,5.25,2.2,19.6,115,-1.3,425,15,15,470,0.072,18.9
ET8,MC2,2023-07-05T09:45:00Z,0.09,0.962,19.9,87.99,2.3,4.78,1.98,20,114,-1.1,539.2,15,15,460,0.071,18.9
ET8,MC2,2023-07-05T10:00:00Z,0.12,0.948,20.3,87.97,2.5,6.28,2.12,20.3,110,-1.1,760.8,15,0,455,0.069,19
ET8,MC2,2023-07-05T10:15:00Z,0.15,0.939,20.4,87.98,2.5,6.43,2.59,20.4,113,-1.1,458.5,15,0,456,0.068,19
ET8,MC2,2023-07-05T10:30:00Z,0.08,0.965,20,87.98,2.5,6.71,2.12,20.1,110,-1.1,581,15,0,455,0.068,19
ET8,MC2,2023-07-05T10:45:00Z,0.14,0.944,20.5,87.97,2.5,4.77,2.41,20.6,113,-1,893.9,15,0,454,0.067,19.1
ET8,MC2,2023-07-05T11:00:00Z,0.16,0.932,20.5,87.97,2.5,4.96,2.5,20.6,111,-1.1,772.9,15,0,453,0.066,19.2
ET8,MC2,2023-07-05T11:15:00Z,0.23,0.906,20.9,87.96,2.5,6.54,2.41,21,113,-1.2,1047.5,15,0,452,0.065,19.2
ET8,MC2,2023-07-05T11:30:00Z,0.26,0.894,20.9,87.95,2.3,4.5,2.29,21,112,-1,596.4,15,0,453,0.063,19.2
ET8,MC2,2023-07-05T11:45:00Z,0.31,0.878,21.2,87.95,2.5,5.84,2.56,21.2,110,-1,628.1,15,0,453,0.063,19.2
ET8,MC2,2023-07-05T12:00:00Z,0.29,0.886,21.3,87.94,2.1,4.23,1.7,21.4,114,-0.9,367.5,15,0,452,0.062,19.2
ET8,MC2,2023-07-05T12:15:00Z,0.24,0.903,21,87.95,1.9,5.97,1.33,21.1,50,-1,154,15,0,454,0.062,19.2
ET8,MC2,2023-07-05T12:30:00Z,0.19,0.923,20.9,87.94,1.9,3.79,0.98,21.2,31,-1,241,15,0,453,0.061,19.3
ET8,MC2,2023-07-05T12:45:00Z,0.2,0.92,21,87.92,1.9,3.37,0.86,21,107,-0.9,122.5,15,0,454,0.061,19.4
ET8,MC2,2023-07-05T13:00:00Z,0.15,0.936,20.5,87.91,2,4.14,1.16,20.7,82,-0.9,137.9,15,0,454,0.061,19.4
ET8,MC2,2023-07-05T13:15:00Z,0.19,0.924,20.8,87.88,1.9,3.68,0.95,21,118,-0.9,193.7,15,0,453,0.061,19.5
ET8,MC2,2023-07-05T13:30:00Z,0.22,0.912,21,87.87,1.9,3.03,1.23,21.1,112,-0.9,223.9,15,0,453,0.06,19.5
ET8,MC2,2023-07-05T13:45:00Z,0.24,0.903,21.2,87.85,2,3.62,1.74,21.4,113,-0.9,222.1,15,0,453,0.061,19.7
ET8,MC2,2023-07-05T14:00:00Z,0.25,0.905,21.6,87.82,1.9,4.04,1.42,21.8,103,-0.9,176.5,15,0,453,0.06,19.8
ET8,MC2,2023-07-05T14:15:00Z,0.22,0.914,21.3,87.81,1.9,3.34,1.58,21.5,110,-0.9,163,15,0,454,0.059,19.8
ET8,MC2,2023-07-05T14:30:00Z,0.23,0.91,21.2,87.81,1.9,3.82,1.54,21.4,109,-0.8,159.9,15,0,453,0.059,19.9
ET8,MC2,2023-07-05T14:45:00Z,0.27,0.894,21.2,87.81,2,4.13,1.52,21.4,104,-0.8,197.9,15,0,453,0.059,19.9
ET8,MC2,2023-07-05T15:00:00Z,0.29,0.886,21.4,87.8,1.9,3.75,1.4,21.5,116,-0.8,141.4,15,0,453,0.058,19.9
ET8,MC2,2023-07-05T15:15:00Z,0.29,0.886,21.4,87.8,1.9,3.17,1.34,21.5,113,-0.8,109.5,15,0,453,0.058,19.9
ET8,MC2,2023-07-05T15:30:00Z,0.3,0.883,21.6,87.8,1.9,2.58,0.91,21.6,114,-0.8,163.7,15,0,453,0.058,19.9
ET8,MC2,2023-07-05T15:45:00Z,0.28,0.892,21.4,87.81,1.9,4.75,1.44,21.5,108,-0.8,72.7,15,0,453,0.057,19.9
ET8,MC2,2023-07-05T16:00:00Z,0.28,0.892,21.5,87.82,1.9,4.06,0.94,21.6,20,-0.9,115.5,15,0,453,0.057,19.9
ET8,MC2,2023-07-05T16:15:00Z,0.27,0.892,21.4,87.82,1.8,2.72,0.79,21.5,358,-0.9,76.2,15,0,453,0.057,19.9
ET8,MC2,2023-07-05T16:30:00Z,0.25,0.901,21.3,87.83,1.8,1.35,0.39,21.4,32,-0.9,53.6,15,0,454,0.056,19.9
ET8,MC2,2023-07-05T16:45:00Z,0.23,0.908,21,87.84,1.8,1.97,0.92,21.2,111,-0.9,34.6,15,0,454,0.056,19.9
ET8,MC2,2023-07-05T17:00:00Z,0.21,0.916,21,87.86,1.8,1.49,0.4,21.1,96,-0.8,31.3,15,0,454,0.056,19.9
ET8,MC2,2023-07-05T17:15:00Z,0.19,0.924,20.9,87.87,1.9,1.93,0.74,21,98,-0.8,25.8,15,0,454,0.056,19.8
ET8,MC2,2023-07-05T17:30:00Z,0.15,0.937,20.7,87.86,1.8,2.26,1.01,20.8,108,-0.9,15.6,15,0,455,0.056,19.8
ET8,MC2,2023-07-05T17:45:00Z,0.13,0.947,20.5,87.87,1.9,2.86,0.66,20.6,87,-0.9,7.7,15,0,455,0.056,19.8
ET8,MC2,2023-07-05T18:00:00Z,0.11,0.955,20.4,87.87,1.8,2.03,0.56,20.5,79,-0.9,4.8,15,0,455,0.055,19.7
ET8,MC2,2023-07-05T18:15:00Z,0.09,0.961,20.2,87.87,1.9,1.66,0.61,20.4,95,-0.9,0,15,0,455,0.055,19.7
ET8,MC2,2023-07-05T18:30:00Z,0.08,0.966,20.1,87.89,1.7,2.38,0.37,20.2,29,-0.9,0,15,0,456,0.055,19.7
ET8,MC2,2023-07-05T18:45:00Z,0.07,0.969,20.2,87.92,1.8,2.7,0.79,20.3,113,-0.9,0,15,9,470,0.055,19.7
ET8,MC2,2023-07-05T19:00:00Z,0.07,0.969,20.1,87.92,1.8,0.99,0.35,20.2,72,-0.8,0,15,13,458,0.055,19.6
ET8,MC2,2023-07-05T19:15:00Z,0.06,0.974,20.1,87.94,1.8,1.15,0.24,20,338,-0.9,0,15,0,457,0.055,19.6
ET8,MC2,2023-07-05T19:30:00Z,0.04,0.983,20,87.97,1.8,0.61,0.16,20,97,-0.9,0,15,0,456,0.055,19.6
ET8,MC2,2023-07-05T19:45:00Z,0.04,0.984,19.9,87.97,1.8,0.3,0.07,20,133,-0.9,0,15,0,456,0.055,19.6
ET8,MC2,2023-07-05T20:00:00Z,0.03,0.985,19.8,87.96,1.8,0.45,0.12,19.9,124,-0.9,0,15,0,458,0.055,19.6
ET8,MC2,2023-07-05T20:15:00Z,0.03,0.989,19.7,87.96,1.8,0.91,0.27,19.8,95,-0.9,0,15,0,458,0.055,19.6
ET8,MC2,2023-07-05T20:30:00Z,0.02,0.993,19.8,87.97,1.8,1.05,0.43,19.8,96,-0.9,0,15,0,457,0.055,19.5
ET8,MC2,2023-07-05T20:45:00Z,0.01,0.997,19.7,87.98,1.8,1.33,0.45,19.7,117,-0.9,0,15,0,459,0.055,19.5
ET8,MC2,2023-07-05T21:00:00Z,0,0.999,19.7,87.98,1.8,1.57,0.69,19.8,126,-0.9,0,15,0,457,0.055,19.5
ET8,MC2,2023-07-05T21:15:00Z,0.01,0.997,19.7,87.98,1.8,1.58,0.64,19.9,114,-0.9,0,15,0,457,0.055,19.5
ET8,MC2,2023-07-05T21:30:00Z,0.02,0.991,19.8,87.99,1.8,1.53,0.55,19.9,115,-0.8,0,15,0,456,0.055,19.5
ET8,MC2,2023-07-05T21:45:00Z,0.03,0.988,19.8,87.99,1.8,1.11,0.44,19.9,110,-0.9,0,15,0,458,0.055,19.5
ET8,MC2,2023-07-05T22:00:00Z,0.02,0.992,19.8,87.99,1.8,0.73,0.24,19.8,94,-0.8,0,15,0,458,0.055,19.5
ET8,MC2,2023-07-05T22:15:00Z,0.01,0.996,19.7,87.99,1.7,0.69,0.21,19.8,1,-0.9,0,15,8,523,0.055,19.5
ET8,MC2,2023-07-05T22:30:00Z,0,0.999,19.6,87.99,1.7,0.4,0.12,19.7,26,-0.9,0,15,15,521,0.055,19.4
ET8,MC2,2023-07-05T22:45:00Z,0,1,19.6,87.98,1.7,0.53,0.12,19.6,16,-0.9,0,15,15,522,0.055,19.4
ET8,MC2,2023-07-05T23:00:00Z,0,1,19.6,87.98,1.8,0.78,0.14,19.6,1,-0.8,0,15,15,522,0.055,19.4
ET8,MC2,2023-07-05T23:15:00Z,0,1,19.5,87.97,1.8,0.35,0.13,19.6,62,-0.9,0,15,15,529,0.055,19.4
ET8,MC2,2023-07-05T23:30:00Z,0,1,19.5,87.97,1.8,1.04,0.48,19.5,77,-0.9,0,15,15,523,0.055,19.4
ET8,MC2,2023-07-05T23:45:00Z,0,1,19.2,87.96,1.8,1.46,0.46,19.4,112,-0.9,0,15,15,513,0.055,19.4
ET8,MC2,2023-07-06T00:00:00Z,0,1,19.2,87.95,1.8,0.75,0.28,19.4,103,-0.9,0,15,15,518,0.055,19.4
ET8,MC2,2023-07-06T00:15:00Z,0,1,19.3,87.96,1.8,1.04,0.44,19.4,117,-0.9,0,15,15,500,0.055,19.4
ET8,MC2,2023-07-06T00:30:00Z,0.01,0.998,19.4,87.95,1.8,1.05,0.29,19.4,108,-0.9,0,15,15,488,0.055,19.3
ET8,MC2,2023-07-06T00:45:00Z,0.01,0.996,19.4,87.93,1.8,0.49,0.19,19.4,106,-0.9,0,15,15,479,0.055,19.3
ET8,MC2,2023-07-06T01:00:00Z,0.01,0.997,19.4,87.91,1.8,1.04,0.44,19.4,107,-0.9,0,15,15,473,0.055,19.3
ET8,MC2,2023-07-06T01:15:00Z,0,1,19.3,87.9,1.8,0.49,0.17,19.2,89,-0.9,0,15,15,477,0.055,19.3
ET8,MC2,2023-07-06T01:30:00Z,0,1,19.1,87.89,1.8,0.29,0.09,19.1,42,-0.9,0,15,15,482,0.054,19.2
ET8,MC2,2023-07-06T01:45:00Z,0,0.999,19.1,87.88,1.7,0.17,0.08,19.1,72,-0.9,0,15,15,487,0.055,19.2
ET8,MC2,2023-07-06T02:00:00Z,0,1,18.9,87.87,1.8,0.62,0.17,18.9,25,-1,0,15,15,491,0.055,19.2
ET8,MC2,2023-07-06T02:15:00Z,0,0.999,18.8,87.86,1.8,0.4,0.1,18.9,104,-0.9,0,15,15,490,0.055,19.1
ET8,MC2,2023-07-06T02:30:00Z,0,1,18.9,87.85,1.8,0.52,0.24,19,114,-0.9,0,15,15,481,0.054,19.1
ET8,MC2,2023-07-06T02:45:00Z,0,0.999,18.9,87.84,1.8,0.68,0.14,19,124,-0.9,0,15,15,464,0.055,19.1
ET8,MC2,2023-07-06T03:00:00Z,0.02,0.99,19.2,87.83,1.8,0.91,0.42,19.3,131,-0.9,0,15,2,457,0.054,19.1
ET8,MC2,2023-07-06T03:15:00Z,0.08,0.963,19.6,87.82,1.8,1.14,0.56,19.6,128,-0.8,0,15,0,457,0.054,19.1
ET8,MC2,2023-07-06T03:30:00Z,0.11,0.95,19.6,87.8,1.8,1.07,0.45,19.6,126,-0.8,0,15,0,456,0.054,19
ET8,MC2,2023-07-06T03:45:00Z,0.1,0.957,19.4,87.79,1.8,0.62,0.26,19.4,92,-1,0,15,0,457,0.054,19
ET8,MC2,2023-07-06T04:00:00Z,0.06,0.975,19.3,87.78,1.8,0.8,0.32,19.3,105,-0.8,0,15,0,457,0.054,19
ET8,MC2,2023-07-06T04:15:00Z,0.05,0.976,19.2,87.77,1.8,1.14,0.49,19.4,116,-0.9,0,15,0,457,0.054,19
ET8,MC2,2023-07-06T04:30:00Z,0.06,0.972,19.3,87.77,1.7,0.6,0.3,19.4,103,-0.8,0,15,0,457,0.054,19
ET8,MC2,2023-07-06T04:45:00Z,0.06,0.971,19.2,87.77,1.7,0.3,0.1,19.1,59,-0.9,0,15,0,459,0.054,18.9
ET8,MC2,2023-07-06T05:00:00Z,0.05,0.977,18.9,87.79,1.7,0.38,0.14,19,53,-0.9,0,15,0,459,0.054,18.9
ET8,MC2,2023-07-06T05:15:00Z,0.03,0.985,18.8,87.82,1.7,0.5,0.16,18.9,105,-0.9,0,15,0,458,0.054,18.9
ET8,MC2,2023-07-06T05:30:00Z,0.02,0.989,18.9,87.84,1.7,0.82,0.36,19,119,-0.9,0,15,0,457,0.054,18.8
ET8,MC2,2023-07-06T05:45:00Z,0.08,0.965,18.9,87.86,1.8,0.74,0.3,19,117,-0.9,9.3,15,0,457,0.054,18.8
ET8,MC2,2023-07-06T06:00:00Z,0.11,0.952,19.1,87.86,1.8,1.02,0.29,19.2,120,-0.9,44.5,15,0,456,0.054,18.8
ET8,MC2,2023-07-06T06:15:00Z,0.18,0.919,19.5,87.86,1.8,0.94,0.23,19.8,80,-0.9,60.6,15,0,454,0.054,18.9
ET8,MC2,2023-07-06T06:30:00Z,0.26,0.888,20.1,87.87,1.8,0.79,0.19,20.1,52,-0.9,84.2,15,0,453,0.054,19
ET8,MC2,2023-07-06T06:45:00Z,0.3,0.876,20.6,87.88,1.8,1.42,0.2,20.6,22,-0.8,212,15,0,453,0.054,19.3
ET8,MC2,2023-07-06T07:00:00Z,0.38,0.845,20.9,87.88,1.8,1.72,0.45,20.8,101,-0.7,280.9,15,0,452,0.054,19.6
ET8,MC2,2023-07-06T07:15:00Z,0.46,0.817,21,87.89,1.8,1.1,0.34,21,161,-0.7,305.1,15,0,452,0.054,19.9
ET8,MC2,2023-07-06T07:30:00Z,0.44,0.825,21.2,87.89,1.7,1.19,0.4,21.1,83,-0.7,300.7,15,0,453,0.054,20.2
ET8,MC2,2023-07-06T07:45:00Z,0.49,0.808,21.3,87.89,1.8,0.77,0.22,21,107,-0.7,227.8,15,0,452,0.053,20.4
ET8,MC2,2023-07-06T08:00:00Z,0.49,0.808,21.3,87.92,1.8,1.17,0.42,21.2,32,-0.7,269.9,15,0,452,0.053,20.5
ET8,MC2,2023-07-06T08:15:00Z,0.52,0.796,21.4,87.95,1.8,0.72,0.32,21.2,54,-0.7,262.2,15,0,451,0.053,20.4
ET8,MC2,2023-07-06T08:30:00Z,0.58,0.778,21.7,87.96,1.8,1.27,0.51,21.3,109,-0.8,316.8,15,0,452,0.052,20.5
ET8,MC2,2023-07-06T08:45:00Z,0.52,0.796,21.4,87.97,1.7,0.99,0.51,21.1,82,-0.8,218.3,15,0,452,0.052,20.4
ET8,MC2,2023-07-06T09:00:00Z,0.49,0.807,21.3,87.97,1.7,1,0.5,21.3,68,-0.7,431.6,15,0,451,0.052,20.4
ET8,MC2,2023-07-06T09:15:00Z,0.54,0.796,22.1,87.97,1.7,1.23,0.49,21.9,53,-0.7,506.3,15,0,451,0.052,20.7
ET8,MC2,2023-07-06T09:30:00Z,0.47,0.824,22.3,87.96,1.7,2,0.45,22.2,36,-0.7,626.2,15,0,452,0.051,20.7
ET8,MC2,2023-07-06T09:45:00Z,0.47,0.829,22.8,87.95,1.7,1.88,0.63,22.5,9,-0.7,805.3,15,0,452,0.051,20.7
ET8,MC2,2023-07-06T10:00:00Z,0.41,0.851,22.5,87.95,1.7,1.94,0.7,22.5,17,-0.7,787.5,15,0,452,0.051,20.8
ET8,MC2,2023-07-06T10:15:00Z,0.42,0.847,22.8,87.94,1.7,2.25,0.78,22.7,4,-0.7,789.9,15,0,451,0.05,20.8
ET8,MC2,2023-07-06T10:30:00Z,0.43,0.845,22.9,87.94,1.8,3.18,0.82,22.9,18,-0.6,650.6,15,0,451,0.05,20.9
ET8,MC2,2023-07-06T10:45:00Z,0.4,0.856,22.8,87.93,1.8,2.36,0.71,22.7,18,-0.6,410.5,15,0,452,0.05,21
ET8,MC2,2023-07-06T11:00:00Z,0.32,0.881,22.4,87.94,1.8,2.09,0.86,22.6,355,-0.7,525.3,15,0,452,0.049,21
ET8,MC2,2023-07-06T11:15:00Z,0.31,0.887,22.6,87.93,1.7,2.47,0.62,22.9,23,-0.6,361.6,15,0,451,0.049,21.1
ET8,MC2,2023-07-06T11:30:00Z,0.32,0.881,22.6,87.92,1.7,2.09,0.62,22.8,14,-0.6,234.7,15,0,452,0.049,21.2
ET8,MC2,2023-07-06T11:45:00Z,0.34,0.877,23,87.9,1.7,2.59,0.71,23.2,11,-0.6,286.2,15,0,452,0.049,21.3
ET8,MC2,2023-07-06T12:00:00Z,0.39,0.863,23.1,87.9,1.7,3.52,0.83,23.2,354,-0.6,478.1,15,0,452,0.049,21.4
ET8,MC2,2023-07-06T12:15:00Z,0.37,0.868,22.8,87.88,1.6,2.81,0.73,23.1,3,-0.7,330.7,15,0,451,0.048,21.4
ET8,MC2,2023-07-06T12:30:00Z,0.32,0.88,22.3,87.87,1.7,2.5,0.63,22.6,40,-0.6,141,15,0,453,0.048,21.4
ET8,MC2,2023-07-06T12:45:00Z,0.3,0.885,22,87.87,1.7,2,0.52,22.4,16,-0.6,120.1,15,4,797,0.048,21.3
ET8,MC2,2023-07-06T13:00:00Z,0.23,0.911,21.6,87.86,1.7,1.21,0.3,22,15,-0.7,151.1,15,15,679,0.048,21.3
ET8,MC2,2023-07-06T13:15:00Z,0.19,0.928,21.6,87.85,1.7,1.65,0.33,21.9,346,-0.8,136.2,15,15,570,0.048,21.2
ET8,MC2,2023-07-06T13:30:00Z,0.21,0.919,21.9,87.82,1.7,2.25,0.35,22.1,343,-0.7,111.5,15,15,698,0.048,21.3
ET8,MC2,2023-07-06T13:45:00Z,0.17,0.934,21.6,87.81,1.7,2.11,0.59,21.7,336,-0.7,77.5,15,15,554,0.048,21.2
ET8,MC2,2023-07-06T14:00:00Z,0.13,0.951,21.5,87.82,1.7,2.15,0.36,21.7,339,-0.8,125.1,15,15,540,0.048,21.2
ET8,MC2,2023-07-06T14:15:00Z,0.16,0.94,22,87.78,1.8,2.13,0.4,22,18,-0.8,187.1,15,15,523,0.049,21.3
ET8,MC2,2023-07-06T14:30:00Z,0.25,0.905,22.1,87.78,1.7,2.51,0.74,22.2,338,-0.8,242.6,15,15,478,0.049,21.3
ET8,MC2,2023-07-06T14:45:00Z,0.25,0.904,22,87.75,1.7,2.29,0.64,22,16,-0.8,125.6,15,15,477,0.048,21.3
ET8,MC2,2023-07-06T15:00:00Z,0.21,0.919,21.7,87.74,1.7,1.8,0.46,21.8,349,-0.7,62.6,15,15,470,0.048,21.3
ET8,MC2,2023-07-06T15:15:00Z,0.16,0.939,21.6,87.73,1.7,1.52,0.42,21.6,26,-0.7,22.5,15,15,954,0.048,21.2
ET8,MC2,2023-07-06T15:30:00Z,0.09,0.964,20.9,87.75,1.9,1.35,0.17,20.9,347,-1.3,9,15,15,644,0.073,21.1
ET8,MC2,2023-07-06T15:45:00Z,0.04,0.983,20.5,87.76,1.9,2.45,0.49,20.5,114,-1.3,16.7,15,15,603,0.073,21
ET8,MC2,2023-07-06T16:00:00Z,0.02,0.993,20.4,87.76,1.9,1.93,0.49,20.4,325,-1.4,26.2,15,15,553,0.072,20.9
ET8,MC2,2023-07-06T16:15:00Z,0.01,0.997,20.2,87.77,1.9,1.3,0.48,20.2,258,-1.3,24.2,15,15,521,0.071,20.9
ET8,MC2,2023-07-06T16:30:00Z,0,1,20.1,87.77,1.9,0.68,0.36,20.2,269,-1.3,40.8,15,15,509,0.07,20.8
ET8,MC2,2023-07-06T16:45:00Z,0,1.001,20.2,87.77,1.9,0.62,0.22,20.2,282,-1.3,29.5,15,15,501,0.069,20.8
ET8,MC2,2023-07-06T17:00:00Z,0,1,20.2,87.79,1.9,0.72,0.39,20.2,116,-1.2,17.9,15,15,523,0.069,20.7
ET8,MC2,2023-07-06T17:15:00Z,0,1,20,87.82,1.9,0.93,0.38,20,114,-1.2,14.5,15,15,505,0.068,20.7
ET8,MC2,2023-07-06T17:30:00Z,0,1,19.7,87.83,1.9,0.86,0.28,20,44,-1.2,9.5,15,15,488,0.068,20.6
ET8,MC2,2023-07-06T17:45:00Z,0,1,19.8,87.84,1.9,0.57,0.2,19.8,353,-1.3,2.6,15,15,482,0.068,20.5
ET8,MC2,2023-07-06T18:00:00Z,0,1,19.8,87.83,1.9,1.62,0.33,19.8,348,-1.3,0,15,15,476,0.067,20.5
ET8,MC2,2023-07-06T18:15:00Z,0,1,19.7,87.85,2,1.1,0.39,19.7,341,-1.3,0,15,15,474,0.067,20.4
ET8,MC2,2023-07-06T18:30:00Z,0,1.001,19.6,87.86,1.9,0.91,0.3,19.6,81,-1.3,0,15,15,473,0.067,20.3
ET8,MC2,2023-07-06T18:45:00Z,0,0.998,19.5,87.87,1.9,0.97,0.28,19.6,39,-1.3,0,15,15,472,0.066,20.2
ET8,MC2,2023-07-06T19:00:00Z,0.02,0.99,19.4,87.87,1.9,0.93,0.19,19.4,92,-1.3,0,15,15,472,0.066,20.2
ET8,MC2,2023-07-06T19:15:00Z,0.04,0.984,19.4,87.86,1.9,0.88,0.17,19.4,125,-1.3,0,15,15,473,0.066,20.1
ET8,MC2,2023-07-06T19:30:00Z,0.05,0.979,19.5,87.87,1.9,0.9,0.38,19.5,129,-1.2,0,15,15,471,0.066,20
ET8,MC2,2023-07-06T19:45:00Z,0.09,0.96,19.8,87.89,1.9,1.5,0.44,19.6,141,-1.2,0,15,15,469,0.066,20
ET8,MC2,2023-07-06T20:00:00Z,0.15,0.938,20.2,87.91,1.9,1.66,0.39,19.8,140,-1.1,0,15,15,468,0.065,19.9
ET8,MC2,2023-07-06T20:15:00Z,0.14,0.94,20,87.92,1.9,1.31,0.21,19.5,116,-1.1,0,15,15,472,0.065,19.9
ET8,MC2,2023-07-06T20:30:00Z,0.1,0.954,19.6,87.94,1.8,0.85,0.18,19.4,65,-1.2,0,15,15,471,0.064,19.8
ET8,MC2,2023-07-06T20:45:00Z,0.1,0.955,19.6,87.94,1.9,0.69,0.2,19.4,119,-1.2,0,15,15,469,0.064,19.7
ET8,MC2,2023-07-06T21:00:00Z,0.12,0.949,19.7,87.95,1.8,1.08,0.2,19.3,253,-1.2,0,15,15,470,0.064,19.6
ET8,MC2,2023-07-06T21:15:00Z,0.13,0.945,19.8,87.96,1.9,0.68,0.28,19.4,256,-1.1,0,15,15,468,0.063,19.6
ET8,MC2,2023-07-06T21:30:00Z,0.13,0.944,19.8,87.97,1.9,0.6,0.21,19.2,241,-1.1,0,15,15,464,0.063,19.5
ET8,MC2,2023-07-06T21:45:00Z,0.18,0.923,20.2,87.96,1.9,0.66,0.25,19.5,249,-1.1,0,15,15,465,0.062,19.5
ET8,MC2,2023-07-06T22:00:00Z,0.19,0.919,20.3,87.98,1.8,0.44,0.17,19.5,266,-1.1,0,15,15,462,0.062,19.4
ET8,MC2,2023-07-06T22:15:00Z,0.21,0.914,20.5,87.99,1.9,0.53,0.19,19.6,315,-1,0,15,15,462,0.062,19.4
ET8,MC2,2023-07-06T22:30:00Z,0.17,0.928,20,88,1.8,0.28,0.18,19.3,76,-1.1,0,15,13,459,0.061,19.4
ET8,MC2,2023-07-06T22:45:00Z,0.14,0.942,19.9,87.99,1.9,0.3,0.18,19.4,100,-1.1,0,15,1,456,0.061,19.3
ET8,MC2,2023-07-06T23:00:00Z,0.17,0.928,20.2,87.98,1.8,0.47,0.2,19.5,112,-1,0,15,0,456,0.061,19.3
ET8,MC2,2023-07-06T23:15:00Z,0.22,0.909,20.5,87.97,1.9,1.03,0.27,19.7,116,-1,0,15,0,455,0.061,19.3
ET8,MC2,2023-07-06T23:30:00Z,0.2,0.915,20.3,87.96,1.9,0.56,0.17,19.5,355,-1,0,15,0,456,0.061,19.2
ET8,MC2,2023-07-06T23:45:00Z,0.15,0.933,19.8,87.96,1.8,1.17,0.29,19.6,136,-1,0,15,0,455,0.061,19.2
ET8,MC2,2023-07-07T00:00:00Z,0.16,0.931,19.9,87.93,1.9,1.25,0.27,19.6,69,-1,0,15,0,455,0.06,19.2
ET8,MC2,2023-07-07T00:15:00Z,0.15,0.935,19.7,87.92,1.9,1.39,0.47,19.6,95,-1,0,15,0,456,0.06,19.1
ET8,MC2,2023-07-07T00:30:00Z,0.13,0.942,19.5,87.89,1.9,0.86,0.4,19.4,90,-1.1,0,15,0,456,0.06,19.1
ET8,MC2,2023-07-07T00:45:00Z,0.11,0.951,19.3,87.87,1.8,1.12,0.35,19.3,60,-1,0,15,0,456,0.06,19.1
ET8,MC2,2023-07-07T01:00:00Z,0.1,0.953,19.3,87.84,1.8,1.41,0.38,19.3,68,-1.1,0,15,0,456,0.06,19
ET8,MC2,2023-07-07T01:15:00Z,0.11,0.95,19.3,87.81,1.9,1.59,0.54,19.4,89,-1.1,0,15,0,456,0.06,19
ET8,MC2,2023-07-07T01:30:00Z,0.14,0.937,19.4,87.79,1.8,1.68,0.56,19.4,100,-1.1,0,15,0,455,0.06,19
ET8,MC2,2023-07-07T01:45:00Z,0.15,0.933,19.4,87.79,1.8,1.16,0.48,19.4,96,-1.1,0,15,0,455,0.06,18.9
ET8,MC2,2023-07-07T02:00:00Z,0.17,0.927,19.6,87.77,1.8,1.7,0.46,19.5,101,-1,0,15,0,455,0.06,18.9
ET8,MC2,2023-07-07T02:15:00Z,0.18,0.92,19.6,87.77,1.8,1.37,0.46,19.5,114,-0.9,0,15,0,455,0.06,18.9
ET8,MC2,2023-07-07T02:30:00Z,0.27,0.884,19.9,87.75,1.8,1.32,0.47,19.4,123,-0.9,0,15,0,454,0.059,18.8
ET8,MC2,2023-07-07T02:45:00Z,0.26,0.886,19.7,87.75,1.9,1.49,0.43,19.1,136,-0.9,0,15,0,454,0.059,18.8
ET8,MC2,2023-07-07T03:00:00Z,0.23,0.898,19.4,87.75,1.8,1.09,0.47,18.9,136,-0.9,0,15,0,454,0.059,18.6
ET8,MC2,2023-07-07T03:15:00Z,0.26,0.887,19.7,87.76,1.8,0.79,0.36,19,130,-1,0,15,0,454,0.059,18.6
ET8,MC2,2023-07-07T03:30:00Z,0.26,0.889,20,87.77,1.9,1,0.45,19.2,131,-1.1,0,15,0,455,0.059,18.5
ET8,MC2,2023-07-07T03:45:00Z,0.19,0.915,19.6,87.8,1.8,0.56,0.32,19.1,128,-1,0,15,0,455,0.059,18.5
ET8,MC2,2023-07-07T04:00:00Z,0.12,0.947,19.1,87.8,1.8,1.81,0.68,19,117,-1,0,15,0,456,0.058,18.4
ET8,MC2,2023-07-07T04:15:00Z,0.06,0.974,18.8,87.79,1.9,2.54,0.91,18.8,120,-1,0,15,0,457,0.058,18.4
ET8,MC2,2023-07-07T04:30:00Z,0.02,0.991,18.7,87.8,1.9,1.76,0.77,18.7,125,-1,0,15,0,457,0.059,18.4
ET8,MC2,2023-07-07T04:45:00Z,0,0.998,18.6,87.82,1.9,1.94,0.6,18.7,130,-1,0,15,0,457,0.058,18.4
ET8,MC2,2023-07-07T05:00:00Z,0,1.001,18.6,87.81,1.8,1.62,0.47,18.7,130,-1,0,15,0,458,0.058,18.4
