Tree,MC,Timestamp,Port5_Temp,Port5_Atmos_pressure,Port5_VPD,Port5_RH,Port3_Temp,Port3_RH,Port3_VPD,Port3_Atmos_pressure,Port2_ATM22_temp,Port2_ATM22_Xaxis,Port2_Wind_direction,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_Yaxis,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET3,MC3,2023-05-31T18:45:00Z,19,87.74,0.22,0.898,19,0.912,0.19,87.78,19.2,2.1,91,6.33,1.79,1.7,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:00:00Z,19.1,87.77,0.23,0.896,19.1,0.909,0.2,87.81,19.2,2.1,84,4.93,1.75,1.6,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:15:00Z,19.1,87.8,0.24,0.892,19.2,0.906,0.21,87.84,19.3,2.1,109,6.56,1.3,1.6,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:30:00Z,19.1,87.81,0.23,0.895,19.2,0.908,0.2,87.85,19.3,2,93,4.72,1.48,1.7,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:45:00Z,19.2,87.84,0.24,0.891,19.2,0.901,0.22,87.88,19.4,2,99,3.05,0.93,1.6,0,451,15,0,453,15,0
ET3,MC3,2023-05-31T20:00:00Z,19.4,87.85,0.3,0.865,19.5,0.874,0.29,87.89,19.6,2,111,2.4,0.91,1.5,0,451,15,0,452,15,0
ET3,MC3,2023-05-31T20:15:00Z,19.6,87.86,0.37,0.837,19.7,0.842,0.36,87.9,19.8,2,115,2.62,0.77,1.5,0,450,15,0,456,15,0
ET3,MC3,2023-05-31T20:30:00Z,19.6,87.87,0.37,0.836,19.8,0.842,0.36,87.91,19.8,2,108,3.16,0.94,1.6,0,451,15,0,453,15,1
ET3,MC3,2023-05-31T20:45:00Z,19.5,87.88,0.33,0.853,19.6,0.86,0.32,87.92,19.7,2,113,2.57,0.83,1.6,0,451,15,0,474,15,13
ET3,MC3,2023-05-31T21:00:00Z,19.4,87.88,0.29,0.871,19.5,0.879,0.28,87.93,19.6,2,106,3.04,1.1,1.6,0,451,15,0,453,15,4
ET3,MC3,2023-05-31T21:15:00Z,19.3,87.88,0.25,0.888,19.4,0.898,0.23,87.93,19.5,2,107,2.95,0.77,1.5,0,452,15,0,463,15,5
ET3,MC3,2023-05-31T21:30:00Z,19.3,87.89,0.23,0.896,19.4,0.905,0.21,87.94,19.5,2,124,3.06,0.94,1.5,0,452,15,0,453,15,2
ET3,MC3,2023-05-31T21:45:00Z,19.3,87.91,0.22,0.901,19.4,0.915,0.19,87.95,19.5,2,108,2.7,0.87,1.5,0,452,15,0,454,15,0
ET3,MC3,2023-05-31T22:00:00Z,19.3,87.9,0.21,0.908,19.4,0.916,0.19,87.94,19.5,2,131,4.14,0.77,1.5,0,452,15,0,540,15,14
ET3,MC3,2023-05-31T22:15:00Z,19.1,87.9,0.17,0.921,19.2,0.925,0.17,87.94,19.3,2,109,2.13,0.74,1.5,0,552,15,15,839,15,15
ET3,MC3,2023-05-31T22:30:00Z,18.8,87.9,0.12,0.946,19.1,0.944,0.12,87.95,19.2,2,160,3.39,1.01,1.4,0,473,15,15,720,15,15
ET3,MC3,2023-05-31T22:45:00Z,19.2,87.91,0.15,0.931,19.2,0.941,0.13,87.95,19.3,2,171,3.37,0.91,1.5,0,1005,15,14,918,15,15
ET3,MC3,2023-05-31T23:00:00Z,18.5,87.9,0.08,0.96,18.8,0.964,0.08,87.94,18.6,2.1,142,2.2,0.67,1.3,0,883,15,15,865,15,15
ET3,MC3,2023-05-31T23:15:00Z,18.4,87.9,0.05,0.975,18.6,0.979,0.05,87.94,18.5,2.1,158,2.41,0.86,1.2,0,728,15,15,792,15,15
ET3,MC3,2023-05-31T23:30:00Z,18.4,87.88,0.04,0.98,18.6,0.986,0.03,87.92,18.6,2,160,1.41,0.52,1.2,0,788,15,15,718,15,15
ET3,MC3,2023-05-31T23:45:00Z,18.5,87.87,0.03,0.984,18.6,0.994,0.01,87.91,18.6,2.1,118,3.93,0.78,1.2,0,768,15,15,862,15,15
ET3,MC3,2023-06-01T00:00:00Z,18.6,87.87,0.03,0.986,18.8,0.994,0.01,87.91,18.7,2.1,164,2.93,0.91,1.2,0,623,15,15,549,15,15
ET3,MC3,2023-06-01T00:15:00Z,18.6,87.85,0.03,0.987,18.7,0.994,0.01,87.89,18.6,2.1,188,3.93,0.83,1.3,0,611,15,15,486,15,15
ET3,MC3,2023-06-01T00:30:00Z,18.8,87.82,0.04,0.981,18.7,0.995,0.01,87.87,18.8,2.1,205,5.92,1.85,1.2,0,561,15,15,501,15,15
ET3,MC3,2023-06-01T00:45:00Z,19,87.8,0.08,0.963,18.8,0.991,0.02,87.84,18.9,2.2,200,5.2,2.5,1.2,0,569,15,15,555,15,15
ET3,MC3,2023-06-01T01:00:00Z,19,87.79,0.1,0.955,18.9,0.984,0.03,87.84,19,2.1,200,5.31,1.9,1.2,0,536,15,15,561,15,15
ET3,MC3,2023-06-01T01:15:00Z,18.9,87.76,0.07,0.968,18.8,0.989,0.02,87.8,18.8,2.1,195,3.53,1.42,1.2,0,550,15,15,563,15,15
ET3,MC3,2023-06-01T01:30:00Z,18.8,87.72,0.06,0.972,18.8,0.992,0.02,87.77,18.8,2.1,177,3.1,1.16,1.3,0,548,15,15,492,15,15
ET3,MC3,2023-06-01T01:45:00Z,18.8,87.69,0.07,0.967,18.6,0.991,0.02,87.74,18.7,2,189,2.42,0.9,1.3,0,533,15,15,458,15,10
ET3,MC3,2023-06-01T02:00:00Z,18.8,87.68,0.1,0.955,18.6,0.987,0.03,87.72,18.6,2,159,3.31,0.85,1.3,0,528,15,15,457,15,0
ET3,MC3,2023-06-01T02:15:00Z,18.5,87.67,0.08,0.961,18.6,0.981,0.04,87.71,18.6,2.1,133,3.05,0.87,1.4,0,514,15,15,457,15,0
ET3,MC3,2023-06-01T02:30:00Z,18.4,87.65,0.07,0.967,18.6,0.977,0.05,87.7,18.5,2.1,121,1.86,0.86,1.4,0,582,15,15,867,15,10
ET3,MC3,2023-06-01T02:45:00Z,18.6,87.65,0.09,0.959,18.6,0.969,0.07,87.69,18.6,2.1,200,4.08,1.28,1.3,0,576,15,15,616,15,15
ET3,MC3,2023-06-01T03:00:00Z,18.5,87.63,0.09,0.955,18.5,0.97,0.06,87.68,18.4,2.1,155,3.45,1,1.3,0,543,15,15,535,15,15
ET3,MC3,2023-06-01T03:15:00Z,18.4,87.62,0.09,0.957,18.6,0.966,0.07,87.66,18.5,2,176,3.45,1.08,1.3,0,507,15,15,465,15,15
ET3,MC3,2023-06-01T03:30:00Z,18.6,87.61,0.11,0.949,18.7,0.96,0.09,87.66,18.6,2,177,2.74,1.1,1.3,0,517,15,15,540,15,12
ET3,MC3,2023-06-01T03:45:00Z,18.8,87.61,0.11,0.948,18.8,0.957,0.09,87.66,18.7,2,186,3.68,1.5,1.3,0,495,15,15,478,15,15
ET3,MC3,2023-06-01T04:00:00Z,19,87.62,0.13,0.941,18.9,0.955,0.1,87.66,18.8,2.2,174,3.89,1.68,1.4,0,472,15,15,455,15,6
ET3,MC3,2023-06-01T04:15:00Z,19,87.62,0.13,0.941,19,0.954,0.1,87.67,19,2.1,168,3.71,1.64,1.5,0,465,15,10,455,15,0
ET3,MC3,2023-06-01T04:30:00Z,19.1,87.63,0.13,0.94,19.3,0.943,0.13,87.67,19.1,2.1,138,3.46,1.14,1.4,0,479,15,9,455,15,0
ET3,MC3,2023-06-01T04:45:00Z,19.4,87.63,0.19,0.915,19.7,0.91,0.21,87.67,19.4,2.2,144,3.37,1.07,1.5,0,452,15,9,454,15,0
ET3,MC3,2023-06-01T05:00:00Z,20.2,87.64,0.34,0.855,20.4,0.85,0.36,87.69,20,2.1,164,3.13,0.95,1.4,0,451,15,0,453,15,0
ET3,MC3,2023-06-01T05:15:00Z,20.6,87.66,0.46,0.809,20.6,0.818,0.44,87.7,20.1,2.1,147,2.67,0.84,1.4,0,451,15,0,452,15,0
ET3,MC3,2023-06-01T05:30:00Z,21,87.67,0.58,0.768,21,0.78,0.55,87.72,20.5,2.2,162,4.88,1,1.4,0,450,15,0,452,15,0
ET3,MC3,2023-06-01T05:45:00Z,21.2,87.69,0.63,0.75,21.1,0.765,0.59,87.73,20.7,2.1,158,2.69,1.01,1.4,1.3,450,9,0,452,15,0
ET3,MC3,2023-06-01T06:00:00Z,21.4,87.71,0.66,0.742,21.3,0.754,0.62,87.76,20.9,2.1,167,2.85,1.08,1.4,9,450,0,0,451,15,0
ET3,MC3,2023-06-01T06:15:00Z,21.4,87.74,0.64,0.746,21.2,0.762,0.6,87.78,20.9,2.2,173,4.27,1.09,1.4,12.5,450,0,0,451,15,0
ET3,MC3,2023-06-01T06:30:00Z,21.3,87.76,0.63,0.75,21.1,0.768,0.58,87.8,21,2.1,184,3.58,1.35,1.5,14.1,450,0,0,451,15,0
ET3,MC3,2023-06-01T06:45:00Z,21.2,87.78,0.61,0.757,21,0.775,0.56,87.82,20.8,2.1,176,2.99,1.01,1.4,17.8,450,0,0,451,15,0
ET3,MC3,2023-06-01T07:00:00Z,21.1,87.8,0.55,0.779,20.9,0.793,0.51,87.84,20.4,2.1,161,1.23,0.42,1.5,22.2,450,8,0,451,15,0
ET3,MC3,2023-06-01T07:15:00Z,20.6,87.82,0.44,0.817,20.6,0.83,0.41,87.86,20,2.1,186,0.97,0.45,1.4,32.6,450,15,0,451,15,0
ET3,MC3,2023-06-01T07:30:00Z,20.6,87.83,0.4,0.837,20.5,0.865,0.33,87.87,20.2,2.1,178,0.84,0.42,1.5,51.1,451,15,0,451,15,0
ET3,MC3,2023-06-01T07:45:00Z,21.2,87.85,0.32,0.874,20.8,0.905,0.23,87.89,20.6,2,134,0.89,0.4,1.4,67.6,455,15,0,475,15,2
ET3,MC3,2023-06-01T08:00:00Z,21.6,87.86,0.3,0.883,21.2,0.914,0.21,87.9,21.2,2.1,114,1.15,0.45,1.4,74.9,451,15,0,455,15,13
ET3,MC3,2023-06-01T08:15:00Z,22,87.87,0.39,0.851,21.4,0.876,0.32,87.91,21.5,2.2,86,0.73,0.29,1.4,65,450,15,0,451,15,0
ET3,MC3,2023-06-01T08:30:00Z,21.8,87.89,0.43,0.836,21.5,0.869,0.34,87.93,21.4,2.2,141,1.52,0.46,1.4,83.1,450,15,0,450,15,0
ET3,MC3,2023-06-01T08:45:00Z,22.3,87.9,0.45,0.834,21.6,0.869,0.34,87.94,21.6,2.1,115,1.5,0.54,1.4,76.9,450,12,0,450,10,0
ET3,MC3,2023-06-01T09:00:00Z,22.5,87.91,0.48,0.822,21.5,0.865,0.35,87.95,21.7,2.2,96,2.05,0.58,1.4,80.9,451,12,0,449,0,0
ET3,MC3,2023-06-01T09:15:00Z,22.7,87.9,0.46,0.833,21.8,0.878,0.32,87.95,21.8,2.2,123,1.43,0.43,1.4,81.5,450,14,0,449,2,0
ET3,MC3,2023-06-01T09:30:00Z,23.6,87.89,0.54,0.814,22,0.882,0.31,87.94,22.1,2.1,126,0.96,0.46,1.4,93.6,450,13,0,447,0,0
ET3,MC3,2023-06-01T09:45:00Z,24,87.88,0.64,0.784,22.2,0.86,0.37,87.93,22.1,2.2,122,1.23,0.43,1.5,73.1,450,12,0,448,0,0
ET3,MC3,2023-06-01T10:00:00Z,23.3,87.87,0.56,0.805,22,0.865,0.36,87.92,22.3,2.2,112,0.92,0.43,1.4,131.5,450,12,0,445,2,0
ET3,MC3,2023-06-01T10:15:00Z,24.6,87.87,0.71,0.77,22.5,0.85,0.41,87.91,22.6,2.2,128,1.17,0.58,1.5,95.4,450,2,0,446,0,0
ET3,MC3,2023-06-01T10:30:00Z,25.5,87.86,0.82,0.75,22.8,0.848,0.42,87.9,23.1,2.2,141,1.48,0.58,1.4,104.6,449,1,0,444,0,0
ET3,MC3,2023-06-01T10:45:00Z,24.6,87.85,0.79,0.744,22.8,0.82,0.5,87.89,23.4,2.3,167,2.84,0.74,1.5,114.4,449,0,0,443,0,0
ET3,MC3,2023-06-01T11:00:00Z,25.6,87.84,0.95,0.711,23.9,0.79,0.62,87.88,24.2,2.3,174,2.36,0.72,1.4,116.8,449,0,0,445,0,0
ET3,MC3,2023-06-01T11:15:00Z,23.4,87.83,0.65,0.773,23.1,0.802,0.56,87.86,23.6,2.3,220,3.15,1.09,1.4,109.9,450,0,0,448,0,0
ET3,MC3,2023-06-01T11:30:00Z,24.3,87.81,0.54,0.823,23.3,0.867,0.38,87.85,24,2.2,148,0.95,0.53,1.5,105.3,450,2,0,446,0,0
ET3,MC3,2023-06-01T11:45:00Z,24.7,87.81,0.64,0.793,23.5,0.862,0.4,87.84,23.7,2.3,161,1.27,0.58,1.4,57.1,450,8,0,449,0,0
ET3,MC3,2023-06-01T12:00:00Z,23,87.79,0.41,0.853,22.9,0.88,0.33,87.83,23.3,2.2,155,1.71,0.56,1.5,77.3,451,15,0,449,0,0
ET3,MC3,2023-06-01T12:15:00Z,24.4,87.76,0.48,0.842,23.2,0.897,0.29,87.8,23.5,2.2,150,0.92,0.51,1.4,90.5,450,15,0,446,0,0
ET3,MC3,2023-06-01T12:30:00Z,26,87.74,0.7,0.791,23.6,0.885,0.33,87.78,23.8,2.2,136,0.93,0.46,1.4,105.5,450,15,0,446,0,0
ET3,MC3,2023-06-01T12:45:00Z,25.9,87.73,0.76,0.771,23.6,0.876,0.36,87.77,23.8,2.3,145,1.4,0.54,1.4,78.9,450,13,0,447,0,0
ET3,MC3,2023-06-01T13:00:00Z,25.2,87.71,0.67,0.791,23.2,0.88,0.34,87.75,23.6,2.3,151,1.13,0.53,1.5,68.5,450,15,0,448,0,0
ET3,MC3,2023-06-01T13:15:00Z,25.6,87.7,0.68,0.791,23.1,0.889,0.31,87.74,23.4,2.2,157,1.16,0.5,1.5,77.3,451,15,0,447,0,0
ET3,MC3,2023-06-01T13:30:00Z,24.5,87.71,0.56,0.819,23,0.906,0.26,87.75,23.2,2.3,153,1.13,0.49,1.4,65.9,451,15,0,449,0,0
ET3,MC3,2023-06-01T13:45:00Z,24.7,87.69,0.47,0.847,23.1,0.92,0.23,87.73,23.3,2.2,144,1.33,0.52,1.5,211.5,450,14,0,446,0,0
ET3,MC3,2023-06-01T14:00:00Z,24.2,87.68,0.53,0.823,23.1,0.89,0.31,87.71,23.1,2.2,191,3.59,0.91,1.4,35.3,614,12,7,655,9,7
ET3,MC3,2023-06-01T14:15:00Z,21.6,87.7,0.29,0.887,21.6,0.909,0.23,87.73,21.6,2.2,204,3.96,1.58,1.3,15,881,15,15,946,15,15
ET3,MC3,2023-06-01T14:30:00Z,20.7,87.69,0.15,0.94,20.8,0.956,0.11,87.72,20.8,2.2,180,2.74,0.86,1.2,27.6,986,15,15,871,15,15
ET3,MC3,2023-06-01T14:45:00Z,20.6,87.64,0.13,0.946,20.4,0.968,0.08,87.68,20.2,2.2,176,7.51,2.13,1.2,71.4,606,15,15,470,15,15
ET3,MC3,2023-06-01T15:00:00Z,20.9,87.61,0.13,0.947,20.7,0.967,0.08,87.65,20.3,2.1,178,3.47,1.21,1.3,88.6,509,15,15,452,15,2
ET3,MC3,2023-06-01T15:15:00Z,21.7,87.64,0.19,0.925,21.3,0.961,0.1,87.67,21.2,2.2,199,4.01,0.91,1.3,76.5,520,15,15,451,15,0
ET3,MC3,2023-06-01T15:30:00Z,22.5,87.62,0.19,0.929,21.4,0.971,0.07,87.67,21.1,2.2,163,2.44,0.77,1.3,74.5,499,15,15,450,15,0
ET3,MC3,2023-06-01T15:45:00Z,22.1,87.63,0.31,0.882,21.3,0.951,0.12,87.67,21.5,2.3,192,4.34,1.61,1.3,78.6,490,15,15,451,15,0
ET3,MC3,2023-06-01T16:00:00Z,22.1,87.63,0.32,0.881,21.4,0.934,0.17,87.67,21.4,2.2,179,3.39,0.99,1.3,61.3,488,15,15,465,15,2
ET3,MC3,2023-06-01T16:15:00Z,21.6,87.63,0.28,0.892,21.2,0.932,0.17,87.67,21.2,2.2,191,3.61,1.36,1.4,48.7,627,15,15,633,15,9
ET3,MC3,2023-06-01T16:30:00Z,20.8,87.63,0.2,0.918,20.7,0.94,0.15,87.68,20.6,2.2,180,3.61,1.06,1.3,11.7,596,15,15,552,15,15
ET3,MC3,2023-06-01T16:45:00Z,20.2,87.62,0.16,0.932,20.2,0.95,0.12,87.66,20.2,2.2,193,5.71,1.6,1.3,16.7,535,15,15,557,15,15
ET3,MC3,2023-06-01T17:00:00Z,20.4,87.61,0.19,0.919,20.3,0.942,0.14,87.65,20.3,2.2,174,5.17,1.31,1.4,25.1,496,15,15,456,15,9
ET3,MC3,2023-06-01T17:15:00Z,20.1,87.6,0.13,0.945,20.2,0.958,0.1,87.64,20.1,2.1,145,2.81,1.14,1.4,14.6,493,15,15,455,15,0
ET3,MC3,2023-06-01T17:30:00Z,20.2,87.61,0.13,0.943,20.2,0.959,0.1,87.65,20.2,2.1,173,2.48,1.08,1.4,8.8,474,15,15,454,15,0
ET3,MC3,2023-06-01T17:45:00Z,20.2,87.65,0.13,0.945,20.4,0.955,0.11,87.69,20.2,2.2,135,4.44,1.14,1.5,2.6,455,15,6,455,15,0
ET3,MC3,2023-06-01T18:00:00Z,20.2,87.68,0.12,0.948,20.3,0.96,0.09,87.72,20.2,2.1,163,2.38,1.06,1.4,0,455,15,0,455,15,0
ET3,MC3,2023-06-01T18:15:00Z,20,87.68,0.12,0.951,20.2,0.96,0.09,87.72,20.1,2.2,109,2.85,1.2,1.5,0,454,15,0,455,15,0
ET3,MC3,2023-06-01T18:30:00Z,19.8,87.68,0.11,0.951,20,0.96,0.09,87.73,19.9,2.1,125,3.79,1.11,1.5,0,455,15,0,458,15,0
ET3,MC3,2023-06-01T18:45:00Z,19.9,87.7,0.11,0.953,19.9,0.967,0.08,87.74,19.8,2.1,174,4.16,1.03,1.4,0,455,15,0,455,15,0
ET3,MC3,2023-06-01T19:00:00Z,19.9,87.72,0.11,0.951,19.8,0.97,0.07,87.76,19.8,2.2,154,4.08,1.23,1.4,0,458,15,7,455,15,0
ET3,MC3,2023-06-01T19:15:00Z,19.8,87.75,0.11,0.953,19.9,0.969,0.07,87.79,19.8,2.2,152,4.62,1.47,1.4,0,455,15,0,461,15,1
ET3,MC3,2023-06-01T19:30:00Z,20,87.76,0.12,0.947,20,0.966,0.08,87.8,20,2.1,184,4.85,1.74,1.4,0,455,15,0,456,15,1
ET3,MC3,2023-06-01T19:45:00Z,20.1,87.76,0.12,0.95,20.1,0.967,0.08,87.8,20,2.1,188,3.96,1.61,1.4,0,464,15,5,587,15,14
ET3,MC3,2023-06-01T20:00:00Z,20.1,87.77,0.1,0.957,20.1,0.972,0.07,87.82,20,2.2,192,5.75,1.84,1.4,0,463,15,4,623,15,15
ET3,MC3,2023-06-01T20:15:00Z,20,87.78,0.1,0.958,20,0.976,0.06,87.83,20,2.2,188,5.34,1.59,1.4,0,459,15,6,669,15,15
ET3,MC3,2023-06-01T20:30:00Z,20.1,87.8,0.11,0.954,20,0.975,0.06,87.85,20,2.1,188,4.06,1.41,1.5,0,457,15,11,699,15,15
ET3,MC3,2023-06-01T20:45:00Z,19.8,87.83,0.08,0.964,19.8,0.978,0.05,87.87,19.8,2.1,181,2.91,1.09,1.4,0,463,15,1,815,15,15
ET3,MC3,2023-06-01T21:00:00Z,19.8,87.83,0.07,0.97,19.8,0.987,0.03,87.87,19.7,2.1,176,4.01,1.04,1.5,0,532,15,15,759,15,15
ET3,MC3,2023-06-01T21:15:00Z,19.8,87.83,0.07,0.969,19.8,0.986,0.03,87.87,19.8,2.1,173,4.48,1.2,1.4,0,527,15,15,621,15,15
ET3,MC3,2023-06-01T21:30:00Z,20,87.84,0.08,0.967,19.9,0.986,0.03,87.88,20,2,188,3.46,1.53,1.3,0,821,15,15,728,15,15
ET3,MC3,2023-06-01T21:45:00Z,20,87.85,0.1,0.957,19.9,0.98,0.05,87.9,19.9,2.1,187,4.9,1.65,1.4,0,789,15,15,872,15,15
ET3,MC3,2023-06-01T22:00:00Z,19.5,87.87,0.07,0.969,19.6,0.985,0.03,87.91,19.5,2.2,161,3.74,1.42,1.3,0,641,15,15,544,15,15
ET3,MC3,2023-06-01T22:15:00Z,19.5,87.88,0.07,0.97,19.4,0.99,0.02,87.92,19.4,2.2,200,5.29,2.07,1.3,0,556,15,15,461,15,15
ET3,MC3,2023-06-01T22:30:00Z,19.5,87.87,0.08,0.964,19.4,0.99,0.02,87.91,19.4,2.2,203,6.87,2.21,1.3,0,536,15,15,463,15,6
ET3,MC3,2023-06-01T22:45:00Z,19.5,87.85,0.07,0.968,19.3,0.994,0.01,87.89,19.4,2.2,201,7.28,2.5,1.3,0,561,15,15,541,15,15
ET3,MC3,2023-06-01T23:00:00Z,19.7,87.84,0.07,0.968,19.5,0.995,0.01,87.88,19.6,2.3,200,9.52,3.5,1.4,0,517,15,15,585,15,15
ET3,MC3,2023-06-01T23:15:00Z,19.8,87.83,0.09,0.959,19.7,0.988,0.03,87.87,19.7,2.3,200,7.62,3.49,1.2,0,518,15,15,659,15,15
ET3,MC3,2023-06-01T23:30:00Z,19.6,87.81,0.1,0.957,19.5,0.984,0.04,87.85,19.5,2.3,196,9.26,2.86,1.2,0,493,15,15,539,15,15
ET3,MC3,2023-06-01T23:45:00Z,19.4,87.81,0.08,0.963,19.3,0.986,0.03,87.84,19.3,2.3,197,9.04,3.04,1.5,0,471,15,15,519,15,15
ET3,MC3,2023-06-02T00:00:00Z,19.3,87.8,0.1,0.957,19.2,0.983,0.04,87.84,19.2,2.2,197,7.15,2.76,1.3,0,456,15,4,477,15,15
ET3,MC3,2023-06-02T00:15:00Z,19.5,87.79,0.11,0.953,19.4,0.978,0.05,87.83,19.4,2.2,198,5.8,2.96,1.3,0,456,15,0,470,15,15
ET3,MC3,2023-06-02T00:30:00Z,19.6,87.77,0.11,0.954,19.5,0.979,0.05,87.81,19.6,2.5,198,5.98,2.77,1.4,0,455,15,0,457,15,12
ET3,MC3,2023-06-02T00:45:00Z,19.8,87.76,0.11,0.952,19.6,0.977,0.05,87.79,19.7,2.1,201,7.65,2.78,1.1,0,455,15,0,456,15,0
ET3,MC3,2023-06-02T01:00:00Z,20,87.73,0.14,0.94,19.8,0.967,0.07,87.78,19.8,2.2,188,5.06,2.03,1.4,0,455,15,0,456,15,0
ET3,MC3,2023-06-02T01:15:00Z,19.7,87.7,0.13,0.943,19.6,0.968,0.07,87.74,19.6,2.3,178,4.72,2,1.5,0,455,15,0,456,15,0
ET3,MC3,2023-06-02T01:30:00Z,19.6,87.67,0.13,0.945,19.6,0.968,0.07,87.72,19.5,2.2,177,5.27,2.11,1.4,0,456,15,0,457,15,0
ET3,MC3,2023-06-02T01:45:00Z,19.5,87.66,0.09,0.959,19.4,0.98,0.05,87.7,19.5,2.1,190,6.71,2.25,1.3,0,456,15,0,456,15,0
ET3,MC3,2023-06-02T02:00:00Z,19.6,87.64,0.1,0.956,19.5,0.981,0.04,87.69,19.6,2.2,184,5.53,2.05,1.4,0,455,15,0,456,15,0
ET3,MC3,2023-06-02T02:15:00Z,20.1,87.62,0.17,0.927,19.9,0.958,0.1,87.66,20.1,2.3,194,8.57,2.84,1.4,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T02:30:00Z,20.1,87.61,0.19,0.918,20,0.94,0.14,87.66,20,2.3,193,6.84,2.82,1.5,0,454,15,0,456,15,0
ET3,MC3,2023-06-02T02:45:00Z,19.8,87.62,0.14,0.937,19.7,0.957,0.1,87.65,19.7,2.4,188,7.02,2.45,1.4,0,454,15,0,456,15,0
ET3,MC3,2023-06-02T03:00:00Z,19.9,87.61,0.17,0.928,19.7,0.952,0.11,87.65,19.8,2.3,189,5.84,2.19,1.4,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T03:15:00Z,19.8,87.6,0.17,0.926,19.7,0.949,0.12,87.65,19.7,2.1,189,4.61,1.91,1.4,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T03:30:00Z,19.8,87.6,0.18,0.923,19.7,0.944,0.13,87.64,19.7,2.1,159,4.54,1.34,1.5,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T03:45:00Z,19.8,87.59,0.18,0.921,19.7,0.94,0.14,87.64,19.7,2.1,154,3.71,1.37,1.4,0,454,15,0,456,15,0
ET3,MC3,2023-06-02T04:00:00Z,19.6,87.6,0.17,0.926,19.6,0.945,0.13,87.65,19.6,2.1,160,3.66,1.42,1.5,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T04:15:00Z,19.8,87.61,0.19,0.916,19.7,0.935,0.15,87.65,19.7,2.2,177,4.6,1.39,1.4,0,453,15,0,455,15,0
ET3,MC3,2023-06-02T04:30:00Z,20.1,87.6,0.24,0.897,19.9,0.921,0.18,87.65,20,2.1,180,5.08,1.75,1.4,0,453,15,0,455,15,0
ET3,MC3,2023-06-02T04:45:00Z,20.1,87.61,0.26,0.891,20,0.91,0.21,87.65,19.9,2.1,170,5.64,1.48,1.6,0,453,15,0,455,15,0
ET3,MC3,2023-06-02T05:00:00Z,20.1,87.63,0.25,0.895,20,0.912,0.21,87.67,20,2.1,169,3.75,1.43,1.4,0,454,15,0,458,15,5
ET3,MC3,2023-06-02T05:15:00Z,20.2,87.64,0.24,0.897,20.1,0.917,0.19,87.68,20.2,2.2,185,6.1,1.63,1.5,0,453,15,0,455,15,0
ET3,MC3,2023-06-02T05:30:00Z,20,87.64,0.22,0.906,20,0.924,0.18,87.69,19.9,2.2,157,3.24,1.13,1.5,0,454,15,0,455,15,0
ET3,MC3,2023-06-02T05:45:00Z,19.8,87.66,0.19,0.917,19.8,0.933,0.15,87.71,19.8,2.2,146,3.07,1,1.4,2.6,453,15,0,455,15,0
ET3,MC3,2023-06-02T06:00:00Z,20.2,87.68,0.25,0.895,20.1,0.91,0.21,87.72,20.2,2.1,178,3.04,1.34,1.5,9.2,452,15,0,454,15,0
ET3,MC3,2023-06-02T06:15:00Z,20.4,87.7,0.29,0.879,20.2,0.901,0.23,87.74,20.2,2.1,177,4.66,1.06,1.4,13.4,453,15,0,454,15,0
ET3,MC3,2023-06-02T06:30:00Z,20,87.72,0.21,0.908,19.8,0.931,0.16,87.76,19.9,2.2,152,3.16,0.93,1.5,15.6,453,15,0,454,15,0
ET3,MC3,2023-06-02T06:45:00Z,20.1,87.74,0.24,0.898,19.9,0.921,0.18,87.78,20,2.2,189,4.18,1.4,1.5,11.5,453,15,0,464,15,1
ET3,MC3,2023-06-02T07:00:00Z,19.8,87.75,0.21,0.911,19.8,0.924,0.18,87.79,19.8,2.1,171,4.1,1.24,1.5,8.4,599,15,15,726,15,15
ET3,MC3,2023-06-02T07:15:00Z,19.2,87.76,0.13,0.941,19.4,0.942,0.13,87.81,19.4,2.1,123,3.37,1.05,1.5,6.6,795,15,15,736,15,15
ET3,MC3,2023-06-02T07:30:00Z,18.7,87.77,0.08,0.963,19.1,0.955,0.1,87.81,19.1,2.1,120,2.81,1.08,1.4,2.7,674,15,15,842,15,15
ET3,MC3,2023-06-02T07:45:00Z,18.6,87.76,0.07,0.966,19.1,0.948,0.12,87.81,19.1,2.2,146,4.73,1.41,1.5,6.2,808,15,15,643,15,15
ET3,MC3,2023-06-02T08:00:00Z,18.9,87.76,0.08,0.965,19.4,0.944,0.13,87.8,19.3,2.2,163,3.45,1.57,1.4,7.7,652,15,15,641,15,15
ET3,MC3,2023-06-02T08:15:00Z,19.2,87.77,0.09,0.959,19.6,0.944,0.13,87.81,19.5,2.2,164,6.67,1.85,1.4,9.5,600,15,15,646,15,15
